date,volume,open,high,low,close,MACD,RSI
2023-01-18,657936.66,25.66,42.9,25.66,31.48,0.0,
2023-01-19,204406.04,31.44,34.48,30.53,32.49,0.08,
2023-01-20,254152.15,32.49,38.0,32.25,37.52,0.54,
2023-01-21,112109.43,37.61,38.2,33.88,34.87,0.69,
2023-01-22,59849.77,35.05,36.43,33.97,34.18,0.74,
2023-01-23,90787.56,34.32,37.43,34.16,36.63,0.97,
2023-01-24,209994.35,36.71,42.4,35.16,36.6,1.13,
2023-01-25,82528.7,36.73,40.58,35.59,40.26,1.54,
2023-01-26,65052.69,40.16,41.13,38.17,38.84,1.73,
2023-01-27,56824.97,38.84,39.8,37.5,39.54,1.91,
2023-01-28,29712.83,39.54,40.44,37.77,37.83,1.9,
2023-01-29,33046.98,37.84,40.65,37.81,40.16,2.05,
2023-01-30,38240.46,40.19,40.49,37.06,37.6,1.94,
2023-01-31,23760.89,37.55,39.15,37.42,38.1,1.88,
2023-02-01,50839.97,38.25,40.14,36.41,39.86,1.94,65.81
2023-02-02,87976.78,39.86,44.28,39.77,41.67,2.12,66.81
2023-02-03,62306.0,41.67,43.84,40.29,41.02,2.18,57.64
2023-02-04,37189.82,41.02,41.35,39.77,40.41,2.15,63.27
2023-02-05,29396.1,40.43,40.6,38.28,38.9,1.99,60.88
2023-02-06,183703.43,38.88,44.04,38.66,40.58,1.97,59.44
2023-02-07,132709.89,40.57,44.2,40.55,43.16,2.14,63.97
2023-02-08,65852.32,43.15,44.0,39.68,41.28,2.1,52.35
2023-02-09,460742.42,41.33,52.3,41.08,49.05,2.66,68.2
2023-02-10,365045.14,49.04,56.6,44.5,45.48,2.79,59.61
2023-02-11,89290.83,45.49,47.37,43.51,46.3,2.92,64.1
2023-02-12,90538.07,46.3,48.46,44.03,46.38,3.0,61.2
2023-02-13,120023.21,46.38,46.38,38.66,41.86,2.66,57.16
2023-02-14,75970.1,41.86,43.7,40.5,42.67,2.43,57.6
2023-02-15,66599.58,42.73,48.28,42.26,47.57,2.62,61.61
2023-02-16,86123.18,47.6,49.7,44.74,46.41,2.64,57.28
2023-02-17,221859.63,46.54,57.99,46.0,51.62,3.04,64.29
2023-02-18,108090.36,51.68,56.0,50.6,53.65,3.49,67.19
