date,volume,open,high,low,close,MACD,RSI
2020-09-04,4450694.4,0.7063,1.3,0.6517,0.8183,0.0,
2020-09-05,3914855.7,0.8114,0.855,0.5502,0.6371,-0.01,
2020-09-06,2731454.97,0.639,0.8092,0.615,0.781,-0.01,
2020-09-07,2623376.57,0.7777,0.8118,0.6222,0.7221,-0.02,
2020-09-08,2507920.3,0.7178,0.7625,0.6503,0.6969,-0.02,
2020-09-09,2395211.17,0.6953,0.7636,0.6541,0.7274,-0.02,
2020-09-10,2328015.82,0.7302,0.8252,0.7022,0.7229,-0.03,
2020-09-11,2615911.74,0.7287,0.7628,0.6624,0.7486,-0.02,
2020-09-12,3840095.06,0.7476,0.8087,0.695,0.7998,-0.02,
2020-09-13,3832413.85,0.7986,0.8023,0.6534,0.7064,-0.02,
2020-09-14,4410993.24,0.7082,0.7138,0.629,0.6429,-0.03,
2020-09-15,4808512.58,0.6429,0.65,0.5265,0.5823,-0.04,
2020-09-16,5647333.79,0.5814,0.6429,0.54,0.592,-0.05,
2020-09-17,7198135.72,0.5914,0.61,0.4609,0.5171,-0.06,
2020-09-18,3339362.72,0.5145,0.551,0.4981,0.5241,-0.06,32.28
2020-09-19,2436864.87,0.5239,0.531,0.476,0.4916,-0.07,39.33
2020-09-20,3044102.47,0.4933,0.525,0.435,0.4515,-0.08,21.48
2020-09-21,11905956.9,0.453,0.46,0.3224,0.3844,-0.09,21.18
2020-09-22,4880955.09,0.3844,0.42,0.36,0.3892,-0.1,22.79
2020-09-23,4213742.7,0.3892,0.3924,0.3301,0.3389,-0.11,16.81
2020-09-24,5716485.21,0.3399,0.4053,0.3296,0.3974,-0.11,24.54
2020-09-25,4558872.25,0.398,0.4933,0.3824,0.4844,-0.1,31.14
2020-09-26,2958461.81,0.4845,0.5348,0.447,0.5288,-0.09,30.47
2020-09-27,6462399.23,0.5304,0.6365,0.5,0.6316,-0.07,44.68
2020-09-28,5145080.99,0.6314,0.6363,0.5404,0.5537,-0.06,43.78
2020-09-29,4187982.55,0.5539,0.5809,0.5042,0.531,-0.06,46.23
2020-09-30,5230001.54,0.5308,0.5315,0.4625,0.4848,-0.06,42.52
2020-10-01,5587497.01,0.487,0.5467,0.4566,0.4827,-0.05,47.33
2020-10-02,5288633.24,0.4836,0.4871,0.404,0.4573,-0.06,44.95
2020-10-03,3736864.7,0.459,0.4999,0.4536,0.4592,-0.05,47.43
2020-10-04,2216882.39,0.4566,0.4623,0.431,0.4543,-0.05,50.23
2020-10-05,2612288.79,0.4543,0.47,0.4083,0.4113,-0.06,52.35
2020-10-06,6146283.14,0.4116,0.4138,0.35,0.3835,-0.06,49.52
2020-10-07,5601375.41,0.3812,0.4447,0.3734,0.435,-0.06,58.06
2020-10-08,3877124.4,0.4368,0.48,0.4024,0.4779,-0.05,56.93
2020-10-09,8353536.08,0.4779,0.571,0.47,0.485,-0.05,50.06
2020-10-10,5217447.2,0.4834,0.5812,0.48,0.5361,-0.04,50.72
2020-10-11,4875297.79,0.5351,0.577,0.4998,0.5384,-0.03,38.54
2020-10-12,10474538.12,0.5387,0.604,0.5346,0.582,-0.02,53.8
2020-10-13,9489702.64,0.583,0.62,0.536,0.5773,-0.01,56.53
2020-10-14,5938169.02,0.5775,0.63,0.538,0.558,-0.01,61.17
2020-10-15,3632128.98,0.558,0.558,0.5081,0.5321,-0.01,57.03
2020-10-16,1862544.3,0.5309,0.5414,0.4954,0.4993,-0.01,55.85
