date,volume,open,high,low,close,MACD,RSI
2024-04-09,177842190.2,0.04,7.89,0.04,6.5562,0.0,
2024-04-10,42382695.6,6.5526,6.735,5.5899,6.126,-0.03,
2024-04-11,31534701.5,6.126,6.1283,4.975,5.0988,-0.14,
2024-04-12,36457139.8,5.1007,5.33,3.5,4.1012,-0.31,
2024-04-13,32095131.8,4.1018,4.3793,3.3218,3.9073,-0.45,
2024-04-14,29142395.4,3.9072,4.5828,3.6781,4.4426,-0.51,
2024-04-15,15399740.9,4.443,4.4434,3.7826,3.99,-0.59,
2024-04-16,21705591.3,3.99,4.34,3.7,4.018,-0.64,
2024-04-17,13864997.4,4.018,4.0932,3.32,3.4803,-0.72,
2024-04-18,13303847.4,3.4804,3.5088,3.0917,3.3895,-0.77,
2024-04-19,29985244.7,3.3895,4.456,3.0338,4.3166,-0.74,
2024-04-20,23374076.4,4.3166,4.8855,4.115,4.608,-0.68,
2024-04-21,10715255.2,4.609,4.6399,4.2289,4.3129,-0.65,
2024-04-22,10355544.1,4.3111,4.52,4.0618,4.1821,-0.63,
2024-04-23,10208963.7,4.182,4.4512,3.9754,4.036,-0.61,29.29
2024-04-24,8762290.2,4.0359,4.1245,3.7708,3.8415,-0.61,30.47
2024-04-25,8120012.1,3.8416,3.9632,3.6523,3.7832,-0.61,36.52
2024-04-26,5985524.8,3.7832,3.8503,3.5746,3.6195,-0.61,44.05
2024-04-27,5490839.8,3.6198,3.8655,3.4,3.7446,-0.6,47.95
2024-04-28,7123989.9,3.7458,3.9975,3.6571,3.6938,-0.58,39.28
2024-04-29,5363466.2,3.6935,3.7263,3.483,3.6067,-0.57,43.87
2024-04-30,8518917.2,3.6066,3.6687,3.15,3.2192,-0.59,38.54
2024-05-01,11096241.7,3.2195,3.2983,2.8,3.2041,-0.6,45.34
2024-05-02,3896160.2,3.204,3.3015,3.0562,3.2102,-0.6,46.89
2024-05-03,6721825.6,3.212,3.4744,3.169,3.4142,-0.57,29.07
2024-05-04,5234682.9,3.4139,3.5324,3.29,3.3561,-0.55,17.44
2024-05-05,4405245.9,3.3575,3.55,3.2372,3.3649,-0.53,21.03
2024-05-06,6888268.2,3.3656,3.53,3.1564,3.1628,-0.52,20.15
2024-05-07,8911228.2,3.1628,3.2448,2.9023,2.9275,-0.52,19.15
2024-05-08,8613428.3,2.9268,2.9889,2.7563,2.8199,-0.53,20.12
2024-05-09,5297445.8,2.8186,2.9415,2.7828,2.9154,-0.52,25.16
2024-05-10,5496380.0,2.9154,2.945,2.7,2.753,-0.53,25.18
2024-05-11,4201785.8,2.753,2.89,2.7159,2.7917,-0.52,21.28
2024-05-12,4802686.5,2.7921,2.9419,2.7601,2.8189,-0.5,23.25
2024-05-13,14643908.2,2.8198,2.8432,2.3622,2.4244,-0.52,19.57
2024-05-14,13571417.8,2.4251,2.4348,2.1622,2.2307,-0.54,21.74
2024-05-15,8929912.0,2.231,2.3111,2.0869,2.2553,-0.55,23.02
2024-05-16,10826328.9,2.2542,2.38,2.0573,2.1495,-0.55,21.46
2024-05-17,6101513.5,2.1506,2.2988,2.0935,2.2053,-0.55,14.65
2024-05-18,12600690.9,2.2059,2.4087,2.1211,2.251,-0.54,17.45
2024-05-19,6069380.0,2.2514,2.263,2.0574,2.072,-0.54,15.39
2024-05-20,11077068.2,2.0718,2.3657,1.936,2.3104,-0.51,27.62
