date,volume,open,high,low,close,MACD,RSI
2021-12-01,15330884.2,2.5,35.993,2.5,10.41,0.0,
2021-12-02,5792399.16,10.404,11.542,7.867,8.428,-0.16,
2021-12-03,3012962.94,8.45,8.486,5.645,5.802,-0.49,
2021-12-04,2618855.69,5.821,6.084,4.064,4.6,-0.84,
2021-12-05,14650968.26,4.592,7.689,4.517,5.836,-1.01,
2021-12-06,3712918.09,5.833,6.453,4.802,5.263,-1.17,
2021-12-07,1000930.74,5.269,5.65,5.0,5.0,-1.31,
2021-12-08,782015.64,5.007,5.1,4.521,4.809,-1.41,
2021-12-09,3618021.76,4.809,5.896,4.651,5.11,-1.46,
2021-12-10,1764312.8,5.11,5.525,4.682,4.696,-1.51,
2021-12-11,691186.93,4.704,4.873,4.527,4.762,-1.53,
2021-12-12,545888.14,4.773,5.172,4.649,4.76,-1.52,
2021-12-13,543808.19,4.76,5.049,4.048,4.138,-1.55,
2021-12-14,363600.5,4.139,4.293,3.871,4.015,-1.57,
2021-12-15,880812.92,4.015,4.463,3.816,4.115,-1.55,17.55
2021-12-16,347088.94,4.115,4.286,3.957,3.961,-1.54,21.63
2021-12-17,343042.17,3.96,4.075,3.649,3.726,-1.53,31.07
2021-12-18,185580.94,3.725,3.825,3.695,3.753,-1.5,40.17
2021-12-19,175752.08,3.745,3.794,3.596,3.628,-1.47,15.46
2021-12-20,957948.55,3.628,4.0,3.36,3.801,-1.41,23.86
2021-12-21,521636.58,3.803,3.95,3.634,3.833,-1.35,27.25
2021-12-22,312389.84,3.826,3.926,3.653,3.759,-1.3,28.55
2021-12-23,423793.28,3.75,3.904,3.65,3.838,-1.23,21.43
2021-12-24,253179.32,3.843,3.904,3.761,3.793,-1.17,25.69
2021-12-25,1509354.46,3.795,4.8,3.794,4.292,-1.07,39.74
2021-12-26,550249.35,4.292,4.595,4.222,4.307,-0.97,40.17
2021-12-27,438692.49,4.304,4.528,4.243,4.312,-0.89,55.16
2021-12-28,721194.39,4.312,4.38,3.824,3.891,-0.85,46.88
2021-12-29,276123.03,3.891,3.915,3.619,3.653,-0.82,39.11
2021-12-30,183042.62,3.653,3.713,3.552,3.579,-0.8,40.65
2021-12-31,333646.6,3.57,3.866,3.465,3.496,-0.78,43.92
2022-01-01,141255.96,3.5,3.644,3.496,3.609,-0.75,46.36
2022-01-02,159776.7,3.607,3.634,3.53,3.564,-0.72,48.31
2022-01-03,204374.1,3.553,3.639,3.444,3.467,-0.69,40.82
2022-01-04,179115.85,3.467,3.486,3.334,3.363,-0.67,37.58
2022-01-05,219002.96,3.363,3.452,3.0,3.067,-0.67,33.63
2022-01-06,852807.2,3.065,3.384,2.961,3.064,-0.67,31.01
2022-01-07,290163.53,3.063,3.09,2.836,2.889,-0.67,29.15
2022-01-08,194714.38,2.891,2.952,2.751,2.815,-0.67,7.63
2022-01-09,86126.47,2.814,2.893,2.77,2.823,-0.66,7.26
2022-01-10,193216.85,2.821,2.831,2.58,2.704,-0.65,6.54
2022-01-11,11179262.55,2.702,4.594,2.687,3.766,-0.56,47.49
2022-01-12,2931055.34,3.766,3.85,3.305,3.605,-0.49,49.01
2022-01-13,649131.11,3.61,3.636,3.333,3.355,-0.45,45.68
2022-01-14,472777.82,3.361,3.545,3.3,3.372,-0.41,47.54
2022-01-15,147591.2,3.361,3.387,3.328,3.34,-0.38,44.49
2022-01-16,257193.34,3.34,3.4,3.214,3.303,-0.35,44.64
2022-01-17,2231260.57,3.308,3.954,3.223,3.294,-0.33,46.31
2022-01-18,1358984.69,3.292,3.687,3.222,3.378,-0.3,50.32
2022-01-19,353948.59,3.377,3.473,3.251,3.282,-0.28,55.05
2022-01-20,336570.33,3.28,3.398,3.088,3.095,-0.28,50.67
2022-01-21,1119315.72,3.09,3.265,2.704,2.795,-0.3,48.07
2022-01-22,765305.11,2.791,2.845,2.451,2.567,-0.33,45.21
2022-01-23,435342.35,2.57,2.702,2.522,2.649,-0.34,46.73
2022-01-24,913659.42,2.649,2.771,2.398,2.568,-0.35,47.41
2022-01-25,341198.55,2.567,2.685,2.506,2.615,-0.35,14.28
2022-01-26,365793.81,2.615,2.714,2.512,2.541,-0.36,15.09
2022-01-27,514906.58,2.54,2.8,2.501,2.637,-0.35,23.8
2022-01-28,286463.87,2.634,2.698,2.559,2.647,-0.34,23.4
2022-01-29,132854.51,2.647,2.73,2.624,2.667,-0.32,25.09
