date,volume,open,high,low,close,MACD,RSI
2022-01-21,1143637.4,7.304,9.8,4.6,6.249,0.0,
2022-01-22,1886930.3,6.232,6.808,4.845,5.607,-0.05,
2022-01-23,935155.1,5.593,6.1,5.261,5.72,-0.08,
2022-01-24,1098386.6,5.7,5.701,4.518,5.464,-0.13,
2022-01-25,1339129.7,5.469,6.36,5.136,6.244,-0.1,
2022-01-26,1534105.9,6.247,6.97,5.734,5.909,-0.1,
2022-01-27,1461145.4,5.919,6.144,5.404,5.772,-0.11,
2022-01-28,1246303.7,5.779,5.874,5.28,5.555,-0.13,
2022-01-29,590131.1,5.539,5.838,5.508,5.613,-0.15,
2022-01-30,526535.5,5.61,5.702,5.027,5.285,-0.18,
2022-01-31,665479.7,5.298,5.48,4.925,5.23,-0.21,
2022-02-01,721101.9,5.231,5.528,5.022,5.351,-0.22,
2022-02-02,558797.4,5.351,5.473,4.768,4.893,-0.27,
2022-02-03,744281.0,4.881,5.158,4.6,5.138,-0.28,
2022-02-04,707357.3,5.154,5.69,5.037,5.662,-0.24,43.12
2022-02-05,427429.4,5.664,5.76,5.501,5.624,-0.21,50.23
2022-02-06,410908.4,5.64,5.9,5.64,5.847,-0.17,51.68
2022-02-07,1360166.8,5.852,6.855,5.734,6.773,-0.06,64.72
2022-02-08,1247013.6,6.782,7.042,6.111,6.403,-0.01,51.97
2022-02-09,1096498.5,6.416,6.785,6.165,6.607,0.05,58.94
2022-02-10,2005925.0,6.607,7.395,6.532,6.711,0.11,62.13
2022-02-11,875193.5,6.702,7.031,6.283,6.368,0.12,60.17
2022-02-12,699952.2,6.366,6.407,5.987,6.13,0.12,56.19
2022-02-13,460063.5,6.128,6.271,5.838,5.862,0.09,57.01
2022-02-14,601070.7,5.862,6.011,5.703,5.948,0.07,58.65
2022-02-15,992514.7,5.952,6.9,5.88,6.822,0.12,65.01
2022-02-16,613704.7,6.809,6.921,6.41,6.641,0.15,68.9
2022-02-17,831672.7,6.638,6.8,6.023,6.102,0.13,59.8
2022-02-18,772622.6,6.105,6.428,6.017,6.057,0.11,54.45
2022-02-19,398250.1,6.056,6.26,5.878,5.996,0.08,54.17
2022-02-20,519404.3,5.992,5.998,5.48,5.606,0.03,47.4
2022-02-21,763068.4,5.606,5.926,5.372,5.403,-0.03,32.46
2022-02-22,588019.1,5.402,5.509,5.117,5.358,-0.07,35.41
2022-02-23,450443.1,5.351,5.606,5.153,5.157,-0.13,29.74
2022-02-24,1462737.4,5.159,5.183,4.229,4.848,-0.19,25.38
2022-02-25,839649.0,4.851,5.383,4.833,5.228,-0.21,35.08
2022-02-26,634170.0,5.225,5.58,5.213,5.489,-0.2,41.66
2022-02-27,513197.6,5.492,5.54,4.923,5.032,-0.23,39.71
2022-02-28,703881.4,5.029,5.69,4.956,5.577,-0.2,45.87
2022-03-01,1709497.5,5.577,5.662,5.174,5.263,-0.21,30.17
2022-03-02,1558038.3,5.264,5.32,4.983,5.062,-0.22,30.02
2022-03-03,1079527.8,5.058,5.107,4.706,4.94,-0.24,33.56
2022-03-04,945259.1,4.943,4.945,4.45,4.516,-0.29,30.31
2022-03-05,503469.8,4.515,4.74,4.437,4.694,-0.31,33.85
2022-03-06,676484.8,4.692,4.713,4.263,4.324,-0.35,34.01
2022-03-07,675329.7,4.325,4.555,4.236,4.35,-0.37,36.26
2022-03-08,1204877.3,4.356,4.55,4.148,4.53,-0.38,39.57
2022-03-09,2629770.8,4.53,5.039,4.527,4.74,-0.36,44.76
2022-03-10,1318630.0,4.735,4.789,4.337,4.612,-0.35,46.89
2022-03-11,1277297.5,4.612,5.01,4.439,4.71,-0.33,42.63
2022-03-12,1096240.6,4.719,5.016,4.702,4.76,-0.31,38.96
2022-03-13,636823.3,4.759,4.818,4.405,4.469,-0.31,41.03
2022-03-14,451970.3,4.464,4.633,4.414,4.553,-0.3,30.87
2022-03-15,547073.8,4.553,4.586,4.352,4.454,-0.3,33.56
2022-03-16,1149435.0,4.452,4.699,4.12,4.696,-0.27,42.69
2022-03-17,395278.4,4.696,4.77,4.669,4.685,-0.25,44.67
2022-03-18,1610561.4,4.686,4.691,4.366,4.607,-0.24,52.22
2022-03-19,624301.3,4.607,4.813,4.542,4.709,-0.22,50.38
2022-03-20,339768.4,4.704,4.731,4.47,4.539,-0.21,56.08
2022-03-21,354037.6,4.538,4.67,4.49,4.609,-0.2,57.14
2022-03-22,431568.3,4.617,4.815,4.581,4.668,-0.18,54.08
2022-03-23,453182.4,4.67,4.819,4.601,4.813,-0.15,52.24
2022-03-24,1508212.0,4.818,5.15,4.769,4.848,-0.13,57.69
2022-03-25,589975.3,4.848,4.99,4.702,4.815,-0.11,53.57
2022-03-26,269511.3,4.818,4.876,4.696,4.86,-0.09,53.42
2022-03-27,1064699.2,4.86,5.07,4.85,5.001,-0.06,70.24
2022-03-28,1390393.4,5.001,5.477,5.001,5.242,-0.02,73.42
2022-03-29,1109247.1,5.242,5.556,5.226,5.43,0.03,81.28
2022-03-30,913775.8,5.428,5.52,5.265,5.409,0.06,76.62
2022-03-31,1020985.0,5.411,5.634,5.15,5.256,0.08,69.28
2022-04-01,1344672.0,5.262,6.0,5.161,5.959,0.14,82.1
2022-04-02,1984544.0,5.96,6.764,5.895,6.309,0.22,83.98
2022-04-03,1832328.6,6.309,6.848,6.138,6.383,0.29,90.83
2022-04-04,1079060.4,6.383,6.538,5.987,6.253,0.32,85.46
2022-04-05,465779.0,6.252,6.384,6.166,6.186,0.34,82.63
2022-04-06,811801.3,6.18,6.2,5.604,5.631,0.31,64.95
2022-04-07,649489.9,5.635,5.825,5.58,5.681,0.29,65.14
2022-04-08,1121522.7,5.682,5.78,5.247,5.279,0.23,57.44
2022-04-09,1198614.7,5.274,5.5,5.146,5.387,0.2,58.28
2022-04-10,809373.2,5.384,5.47,5.116,5.13,0.14,51.96
2022-04-11,1050915.9,5.127,5.206,4.662,4.703,0.07,42.27
2022-04-12,973676.4,4.713,5.097,4.679,4.898,0.02,42.38
2022-04-13,980150.3,4.881,5.297,4.847,5.16,0.01,46.66
2022-04-14,600782.5,5.163,5.214,4.861,4.903,-0.02,45.4
2022-04-15,261865.6,4.904,4.999,4.869,4.948,-0.05,34.1
2022-04-16,328027.7,4.948,4.973,4.801,4.851,-0.07,25.09
2022-04-17,316000.4,4.851,4.876,4.611,4.635,-0.1,21.51
2022-04-18,723764.3,4.636,4.891,4.475,4.842,-0.11,27.57
2022-04-19,652169.9,4.842,5.144,4.8,5.098,-0.1,33.68
2022-04-20,762612.2,5.103,5.182,4.926,5.016,-0.09,39.25
2022-04-21,908359.4,5.014,5.238,4.813,4.894,-0.1,36.58
