date,volume,open,high,low,close,MACD,RSI
2021-05-10,95302311917668.0,1.412e-05,5e-05,1.412e-05,3.466e-05,0.0,
2021-05-11,64512785938482.0,3.468e-05,3.799e-05,2.78e-05,3.042e-05,-0.0,
2021-05-12,86909144958765.0,3.04e-05,3.15e-05,1.752e-05,1.821e-05,-0.0,
2021-05-13,91254881005748.0,1.817e-05,2.357e-05,1.53e-05,2.102e-05,-0.0,
2021-05-14,40927854276575.0,2.103e-05,2.224e-05,1.816e-05,1.84e-05,-0.0,
2021-05-15,43727275531961.0,1.841e-05,1.897e-05,1.501e-05,1.553e-05,-0.0,
2021-05-16,61634752660696.0,1.552e-05,1.962e-05,1.237e-05,1.784e-05,-0.0,
2021-05-17,60156822115985.0,1.783e-05,1.808e-05,1.408e-05,1.651e-05,-0.0,
2021-05-18,27976612440989.0,1.65e-05,1.8e-05,1.517e-05,1.56e-05,-0.0,
2021-05-19,90539301007324.0,1.562e-05,1.58e-05,6.3e-06,9.07e-06,-0.0,
2021-05-20,67205967066890.0,9.07e-06,1.219e-05,8e-06,9.64e-06,-0.0,
2021-05-21,54603903901459.0,9.64e-06,1.035e-05,6.55e-06,8.2e-06,-0.0,
2021-05-22,46318180421814.0,8.21e-06,9.83e-06,6.72e-06,8.42e-06,-0.0,
2021-05-23,60549130370846.0,8.42e-06,9.65e-06,6.94e-06,8.09e-06,-0.0,
2021-05-24,66920838464554.0,8.08e-06,1.208e-05,7.73e-06,1.065e-05,-0.0,20.68
2021-05-25,43096086882356.0,1.065e-05,1.115e-05,8.76e-06,9.39e-06,-0.0,22.31
2021-05-26,29880109514903.0,9.38e-06,1.05e-05,9.14e-06,9.49e-06,-0.0,33.14
2021-05-27,21377807919679.0,9.49e-06,9.5e-06,8.5e-06,8.79e-06,-0.0,24.25
2021-05-28,22969674539465.0,8.79e-06,8.85e-06,7.5e-06,7.9e-06,-0.0,26.16
2021-05-29,15473428469390.0,7.91e-06,8.21e-06,7.3e-06,7.89e-06,-0.0,30.06
2021-05-30,12847617230998.0,7.9e-06,8.13e-06,7.52e-06,7.86e-06,-0.0,20.44
2021-05-31,29008796041217.0,7.85e-06,9.98e-06,7.69e-06,9.28e-06,-0.0,28.7
2021-06-01,23622771954244.0,9.28e-06,9.43e-06,8.28e-06,8.82e-06,-0.0,29.48
