date,volume,open,high,low,close,MACD,RSI
2020-12-01,302561822.4,0.03,0.14,0.03,0.07223,0.0,
2020-12-02,53294347.3,0.07189,0.082,0.0693,0.08148,0.0,
2020-12-03,130851320.6,0.0815,0.11009,0.07869,0.0989,0.0,
2020-12-04,253469365.2,0.09925,0.1639,0.09883,0.148,0.01,
2020-12-05,198892539.0,0.14879,0.157,0.11952,0.139,0.01,
2020-12-06,103551117.5,0.13867,0.15013,0.10888,0.11542,0.01,
2020-12-07,134387122.7,0.11559,0.13757,0.11037,0.11921,0.01,
2020-12-08,192783547.7,0.11959,0.13751,0.10718,0.12343,0.01,
2020-12-09,216468152.5,0.12342,0.145,0.11018,0.13765,0.02,
2020-12-10,166793403.8,0.13764,0.15,0.123,0.12436,0.02,
2020-12-11,107349760.7,0.12436,0.1264,0.11354,0.1153,0.01,
2020-12-12,80736013.4,0.11535,0.13134,0.11511,0.12288,0.01,
2020-12-13,62555234.8,0.12288,0.12666,0.11553,0.11815,0.01,
2020-12-14,56995728.3,0.11815,0.12016,0.11005,0.11561,0.01,
2020-12-15,59356351.5,0.11532,0.1235,0.11306,0.11662,0.01,63.15
2020-12-16,61058522.4,0.11641,0.119,0.10715,0.11278,0.01,59.58
2020-12-17,66875203.6,0.11277,0.115,0.09621,0.09905,0.01,50.05
2020-12-18,68532245.8,0.099,0.10801,0.09244,0.10624,0.01,32.27
2020-12-19,109415179.7,0.10664,0.13164,0.10211,0.12042,0.01,42.44
2020-12-20,123997331.5,0.12042,0.13296,0.104,0.10682,0.01,46.19
2020-12-21,61191647.9,0.10653,0.11463,0.094,0.09891,0.0,41.33
2020-12-22,46573277.9,0.09891,0.10039,0.09,0.09441,0.0,37.64
2020-12-23,90401794.7,0.09478,0.09487,0.0588,0.06787,-0.0,23.1
2020-12-24,97200359.1,0.06755,0.08243,0.06541,0.08157,-0.0,33.56
2020-12-25,64037394.8,0.0815,0.0922,0.07525,0.08988,-0.0,40.17
2020-12-26,45508965.7,0.08993,0.09557,0.08099,0.09103,-0.0,37.05
2020-12-27,64534830.3,0.09103,0.09745,0.08523,0.08943,-0.0,38.01
2020-12-28,27799022.9,0.08954,0.0955,0.0861,0.08731,-0.0,38.15
2020-12-29,54290784.7,0.08739,0.09279,0.07468,0.08031,-0.0,35.52
2020-12-30,23502979.0,0.08058,0.08121,0.075,0.07726,-0.01,35.74
2020-12-31,18959780.8,0.07726,0.08089,0.07337,0.07878,-0.01,40.98
2021-01-01,34381732.8,0.07879,0.084,0.07427,0.07997,-0.01,37.65
2021-01-02,34859290.5,0.08006,0.08039,0.0747,0.07659,-0.01,27.07
2021-01-03,43222259.3,0.07671,0.09062,0.07652,0.08656,-0.01,38.98
2021-01-04,54088783.1,0.08656,0.09497,0.0805,0.09401,-0.0,47.32
2021-01-05,86306686.7,0.09404,0.11321,0.08569,0.11089,-0.0,57.93
2021-01-06,47367497.1,0.1112,0.11612,0.10344,0.11199,-0.0,78.13
2021-01-07,39266166.0,0.112,0.12203,0.1045,0.11235,0.0,73.65
2021-01-08,46214206.2,0.1127,0.11884,0.09702,0.10936,0.0,66.3
2021-01-09,29586257.8,0.10945,0.11385,0.10598,0.11008,0.0,66.05
2021-01-10,91228164.0,0.10997,0.125,0.09496,0.10221,0.0,59.74
2021-01-11,128021288.2,0.10224,0.10333,0.0868,0.09774,0.0,57.67
2021-01-12,38088781.6,0.09748,0.1067,0.09343,0.10107,0.0,66.15
2021-01-13,37971165.7,0.10064,0.11862,0.09966,0.11184,0.0,74.01
2021-01-14,48406505.8,0.11196,0.129,0.10688,0.12825,0.0,78.47
2021-01-15,53297550.9,0.12825,0.14669,0.11965,0.13304,0.01,79.32
2021-01-16,34451017.6,0.13346,0.155,0.12566,0.13413,0.01,82.62
2021-01-17,26277086.4,0.13411,0.1433,0.12517,0.13991,0.01,81.75
2021-01-18,24538878.2,0.14014,0.14995,0.13232,0.14571,0.01,81.39
2021-01-19,41174584.9,0.14573,0.16281,0.1417,0.14246,0.01,72.97
2021-01-20,47252567.1,0.14244,0.14493,0.12759,0.1362,0.01,66.38
2021-01-21,49694740.0,0.13627,0.1409,0.1156,0.11622,0.01,52.07
2021-01-22,90739624.9,0.11624,0.123,0.0909,0.11391,0.01,52.45
2021-01-23,43210074.6,0.11372,0.125,0.11123,0.11826,0.01,54.24
2021-01-24,44309891.5,0.11797,0.13962,0.11704,0.13397,0.01,65.23
2021-01-25,40973243.6,0.13412,0.13707,0.1251,0.12941,0.01,65.17
2021-01-26,118602533.3,0.12904,0.1699,0.1251,0.1596,0.01,72.3
2021-01-27,85244875.6,0.15959,0.1637,0.12628,0.13062,0.01,56.28
2021-01-28,52754240.0,0.13071,0.1478,0.12783,0.13608,0.01,52.83
2021-01-29,49024830.5,0.13602,0.13976,0.12908,0.13785,0.01,51.78
2021-01-30,44428626.5,0.13781,0.14465,0.126,0.13833,0.01,51.56
2021-01-31,31650332.0,0.13834,0.14398,0.1303,0.13373,0.01,47.69
2021-02-01,37319480.0,0.13374,0.14374,0.12927,0.13767,0.01,46.95
2021-02-02,46659312.2,0.1377,0.15413,0.132,0.14927,0.01,52.43
2021-02-03,28895556.9,0.14924,0.15999,0.14457,0.1583,0.01,57.73
2021-02-04,59093865.7,0.1585,0.18191,0.1546,0.1623,0.01,68.14
2021-02-05,32865755.9,0.16225,0.17609,0.16,0.17126,0.01,71.46
2021-02-06,39799729.3,0.1712,0.17411,0.1468,0.15873,0.01,64.27
2021-02-07,51722349.3,0.15868,0.16795,0.144,0.1602,0.01,60.28
2021-02-08,70624200.8,0.15975,0.218,0.15915,0.21072,0.02,73.43
2021-02-09,40802222.6,0.21052,0.22888,0.19746,0.2049,0.02,65.19
2021-02-10,56361606.2,0.20525,0.24472,0.19819,0.22268,0.02,83.36
2021-02-11,138094374.3,0.22268,0.4,0.21454,0.34539,0.03,91.01
2021-02-12,74073864.7,0.34636,0.36,0.29175,0.33,0.04,85.74
2021-02-13,67469142.1,0.33078,0.373,0.30504,0.33425,0.05,85.94
2021-02-14,31854271.8,0.33482,0.33791,0.28536,0.29438,0.05,76.09
2021-02-15,94017791.0,0.29466,0.35463,0.22779,0.30782,0.05,76.81
2021-02-16,41801524.0,0.30769,0.33001,0.26982,0.28117,0.05,69.84
2021-02-17,38356032.5,0.28168,0.30714,0.2497,0.28958,0.05,69.78
2021-02-18,33272074.8,0.28964,0.32273,0.282,0.3031,0.05,70.63
2021-02-19,30680521.0,0.30279,0.33,0.2818,0.3282,0.05,71.95
2021-02-20,38183427.7,0.32833,0.33795,0.26098,0.2857,0.04,66.39
2021-02-21,21551453.9,0.2857,0.31732,0.27777,0.29796,0.04,67.3
2021-02-22,37723081.4,0.29845,0.29965,0.21818,0.27213,0.04,58.22
2021-02-23,73524663.9,0.27304,0.29324,0.19002,0.24611,0.03,55.23
2021-02-24,32137247.0,0.24581,0.27733,0.22528,0.23986,0.03,52.25
2021-02-25,18361205.8,0.23991,0.255,0.21368,0.21684,0.02,27.25
2021-02-26,27058713.5,0.21684,0.24,0.19278,0.21497,0.02,28.62
2021-02-27,23126697.9,0.21516,0.24582,0.21476,0.22741,0.01,30.73
2021-02-28,13837061.5,0.22718,0.22865,0.193,0.20902,0.01,33.31
2021-03-01,26011851.7,0.20876,0.25068,0.20688,0.24079,0.01,37.77
2021-03-02,38521472.8,0.24086,0.29,0.22837,0.28159,0.01,50.07
2021-03-03,32780570.6,0.28114,0.29586,0.26202,0.27315,0.01,47.15
2021-03-04,52048838.3,0.27204,0.32884,0.26578,0.29047,0.01,47.84
2021-03-05,37870014.0,0.29045,0.322,0.26023,0.31814,0.02,48.29
2021-03-06,22109932.6,0.31797,0.33038,0.29277,0.29544,0.02,51.77
2021-03-07,14601669.3,0.295,0.315,0.295,0.31029,0.02,52.22
2021-03-08,30751457.5,0.31029,0.3578,0.28573,0.34872,0.02,63.21
2021-03-09,166877327.4,0.34876,0.584,0.33699,0.55705,0.04,82.92
2021-03-10,236541731.6,0.55787,0.66345,0.5,0.52194,0.06,78.14
2021-03-11,263104183.2,0.52276,0.87954,0.50606,0.7832,0.09,88.3
2021-03-12,431651057.9,0.78373,1.24443,0.78266,0.8804,0.12,89.86
2021-03-13,113850156.4,0.88191,0.99655,0.80181,0.82737,0.13,84.27
2021-03-14,71255356.3,0.82734,0.88,0.76218,0.8115,0.14,84.51
2021-03-15,41138992.6,0.81377,0.86604,0.7211,0.74173,0.15,77.5
2021-03-16,30296371.0,0.74477,0.778,0.68134,0.69914,0.14,72.88
2021-03-17,42805731.6,0.69995,0.77,0.68215,0.72373,0.14,74.26
2021-03-18,35101129.9,0.72551,0.75775,0.67798,0.69174,0.13,71.27
2021-03-19,23729254.1,0.69139,0.73305,0.67951,0.69325,0.13,70.45
2021-03-20,22791243.3,0.69359,0.72615,0.68333,0.68392,0.12,71.49
2021-03-21,26508949.6,0.68393,0.68393,0.63757,0.66084,0.11,69.22
2021-03-22,54192435.5,0.66092,0.7567,0.63175,0.69332,0.11,69.01
