date,volume,open,high,low,close,MACD,RSI
2020-07-09,814828.589,2.893,3.398,2.71,2.956,0.0,
2020-07-10,336121.948,2.956,2.974,2.763,2.921,-0.0,
2020-07-11,285697.148,2.921,2.927,2.654,2.809,-0.01,
2020-07-12,267451.597,2.806,2.843,2.73,2.78,-0.02,
2020-07-13,420242.131,2.78,2.84,2.5,2.541,-0.05,
2020-07-14,469580.081,2.538,2.75,2.384,2.747,-0.06,
2020-07-15,708397.187,2.747,3.15,2.704,3.05,-0.03,
2020-07-16,791153.526,3.05,3.25,2.782,3.097,-0.01,
2020-07-17,838226.636,3.097,3.6,3.053,3.308,0.02,
2020-07-18,381798.329,3.307,3.52,3.169,3.371,0.05,
2020-07-19,369647.946,3.381,3.535,3.288,3.297,0.07,
2020-07-20,1475062.96,3.299,4.199,3.27,3.849,0.13,
2020-07-21,737082.149,3.84,4.029,3.341,3.479,0.14,
2020-07-22,393948.785,3.479,3.79,3.351,3.479,0.15,
2020-07-23,420492.048,3.479,3.62,3.1,3.35,0.14,58.31
2020-07-24,543597.809,3.346,3.627,3.235,3.337,0.14,58.86
2020-07-25,347211.694,3.337,3.721,3.296,3.541,0.15,65.0
2020-07-26,658936.948,3.542,3.565,3.0,3.155,0.12,56.7
2020-07-27,958131.721,3.154,3.22,2.67,2.869,0.08,55.77
2020-07-28,869146.27,2.869,3.48,2.869,3.372,0.08,59.95
2020-07-29,542519.377,3.372,3.386,3.07,3.273,0.08,53.8
2020-07-30,825362.161,3.273,3.683,3.265,3.547,0.1,57.11
2020-07-31,971801.455,3.547,3.965,3.486,3.952,0.14,59.59
2020-08-01,1223189.479,3.951,4.111,3.577,3.793,0.16,56.11
2020-08-02,1298727.708,3.792,4.437,3.5,4.266,0.21,62.57
2020-08-03,877651.957,4.266,4.387,3.89,4.148,0.24,54.37
2020-08-04,1021141.217,4.148,4.563,4.136,4.47,0.29,64.7
2020-08-05,456892.4,4.461,4.69,4.28,4.339,0.31,62.28
2020-08-06,420306.831,4.339,4.74,4.292,4.45,0.33,65.79
2020-08-07,331415.652,4.451,4.627,4.13,4.297,0.33,63.25
2020-08-08,292458.027,4.297,4.45,4.2,4.349,0.34,61.64
2020-08-09,383272.29,4.344,4.383,4.175,4.241,0.32,67.0
2020-08-10,851456.172,4.243,5.039,4.243,4.822,0.36,77.99
2020-08-11,703164.114,4.817,4.899,4.17,4.879,0.39,74.76
2020-08-12,1561796.633,4.879,5.921,4.847,5.643,0.46,81.96
2020-08-13,1690119.639,5.644,6.0,4.736,5.072,0.47,69.04
2020-08-14,2240420.405,5.07,6.495,4.93,6.15,0.56,73.49
2020-08-15,3868282.053,6.146,7.46,5.9,6.859,0.68,79.32
2020-08-16,1016350.406,6.859,6.887,6.1,6.405,0.73,70.53
2020-08-17,1206308.714,6.398,6.875,6.072,6.177,0.74,69.07
2020-08-18,1375748.454,6.156,6.68,5.519,6.145,0.74,66.65
2020-08-19,1880672.801,6.146,6.409,5.4,6.091,0.73,67.69
2020-08-20,1595979.893,6.092,6.77,6.061,6.175,0.72,67.51
