date,volume,open,high,low,close,MACD,RSI
2020-08-11,1552384.78,2.85,3.5208,2.8433,3.2985,0.0,
2020-08-12,1737042.95,3.2985,3.9289,3.08,3.7558,0.04,
2020-08-13,1685759.24,3.75,4.1387,3.5003,3.73,0.06,
2020-08-14,1474161.79,3.7207,3.7676,3.321,3.4099,0.06,
2020-08-15,1070233.2,3.4181,3.74,3.15,3.173,0.03,
2020-08-16,668106.53,3.173,3.4907,3.12,3.3885,0.03,
2020-08-17,729413.64,3.3885,3.3952,3.1,3.11,0.01,
2020-08-18,2713115.94,3.11,3.7092,2.8105,3.3407,0.01,
2020-08-19,1433243.76,3.334,3.49,2.8,2.8868,-0.03,
2020-08-20,1277827.32,2.8962,3.445,2.8871,3.2038,-0.03,
2020-08-21,1131895.9,3.2038,3.24,2.89,2.9317,-0.06,
2020-08-22,1169417.78,2.9213,3.2,2.7431,3.0126,-0.07,
2020-08-23,1198036.69,3.0224,3.4,3.0014,3.25,-0.06,
2020-08-24,1315196.06,3.2658,3.62,3.21,3.3405,-0.04,
2020-08-25,1149187.37,3.3406,3.3654,3.0001,3.25,-0.04,49.27
2020-08-26,2290030.56,3.2576,3.7999,3.1809,3.5684,-0.01,47.04
2020-08-27,2412974.8,3.5557,3.8575,3.2434,3.4501,0.01,45.71
2020-08-28,2581936.84,3.4503,4.3091,3.4503,4.0063,0.06,58.53
2020-08-29,1342844.2,4.007,4.1121,3.7748,3.9535,0.1,61.78
2020-08-30,1815681.99,3.9531,4.7117,3.9,4.4309,0.17,64.58
2020-08-31,1497129.12,4.4127,4.8865,4.1,4.7435,0.25,72.63
2020-09-01,1267574.76,4.7432,4.9475,4.3,4.3397,0.27,63.21
2020-09-02,2002058.36,4.3213,4.3506,3.66,4.17,0.27,68.34
2020-09-03,3275612.26,4.17,4.459,3.4772,3.5051,0.22,53.92
2020-09-04,2052197.24,3.5062,3.8346,3.1739,3.5301,0.18,58.31
2020-09-05,4426267.38,3.5301,3.6637,2.0926,2.6052,0.07,45.41
2020-09-06,2898758.91,2.6119,3.18,2.2575,3.0941,0.02,48.34
2020-09-07,2680083.17,3.0785,3.1983,2.38,2.9237,-0.03,45.63
2020-09-08,1626389.7,2.9237,2.9499,2.4,2.468,-0.11,42.39
2020-09-09,6691121.99,2.468,3.8838,2.3821,3.6001,-0.08,50.27
2020-09-10,4356890.66,3.6107,3.875,3.304,3.4761,-0.06,50.22
2020-09-11,2227636.94,3.4707,3.5036,3.0316,3.3965,-0.05,44.44
2020-09-12,1161542.47,3.3967,3.47,3.1494,3.3316,-0.05,44.34
2020-09-13,2024779.41,3.3386,3.47,2.9838,3.2603,-0.06,38.5
2020-09-14,3351649.61,3.2656,3.5393,3.0752,3.2641,-0.06,34.52
2020-09-15,1698391.09,3.264,3.3249,2.8955,2.9295,-0.09,35.03
2020-09-16,4886766.99,2.9288,2.9293,2.4282,2.5327,-0.14,33.42
