date,volume,open,high,low,close,MACD,RSI
2020-08-11,60097839.17,0.11,5.0,0.11,1.5629,0.0,
2020-08-12,68986888.28,1.5609,1.985,1.555,1.6658,0.01,
2020-08-13,33962576.51,1.6609,2.23,1.62,2.0068,0.04,
2020-08-14,14275597.59,2.0066,2.1469,1.8,1.8574,0.06,
2020-08-15,10974441.78,1.86,1.9287,1.64,1.6651,0.05,
2020-08-16,10224160.88,1.6629,1.85,1.5173,1.73,0.05,
2020-08-17,5436284.29,1.7313,1.7869,1.625,1.6503,0.04,
2020-08-18,6518368.37,1.6504,1.7998,1.5252,1.6714,0.04,
2020-08-19,4227230.65,1.6669,1.77,1.55,1.5993,0.03,
2020-08-20,3816748.6,1.5994,1.789,1.595,1.7748,0.04,
2020-08-21,4208793.15,1.7711,1.774,1.5,1.5098,0.02,
2020-08-22,2832406.14,1.5098,1.5656,1.41,1.5425,0.01,
2020-08-23,2298987.2,1.5445,1.5961,1.4657,1.5307,0.0,
2020-08-24,10285232.94,1.5307,1.8456,1.5028,1.8354,0.02,
2020-08-25,6069308.57,1.8354,1.8779,1.571,1.6721,0.02,52.76
2020-08-26,13917619.5,1.6721,2.107,1.6461,2.0703,0.05,58.9
2020-08-27,24969423.25,2.0702,2.6,2.0205,2.5395,0.11,61.1
2020-08-28,19833979.34,2.5344,2.8,2.3203,2.4149,0.15,61.74
2020-08-29,13782778.73,2.4132,2.97,2.28,2.823,0.21,72.35
2020-08-30,11608996.43,2.822,2.9716,2.6434,2.8882,0.26,72.35
2020-08-31,15548216.56,2.8848,3.6,2.629,3.2905,0.33,78.15
2020-09-01,14647470.5,3.2906,3.7948,3.11,3.12,0.36,73.65
2020-09-02,14742597.13,3.12,3.67,2.75,3.5872,0.42,78.74
2020-09-03,12030576.36,3.5805,3.6103,2.843,2.8881,0.41,63.98
2020-09-04,8931570.04,2.8883,3.3,2.5231,2.889,0.4,68.55
2020-09-05,13072954.94,2.8914,3.1495,1.9686,2.2051,0.33,57.58
2020-09-06,13415887.97,2.2051,2.712,1.9566,2.6024,0.3,61.27
2020-09-07,9947428.63,2.6002,2.7069,2.03,2.4388,0.26,56.54
2020-09-08,8092188.82,2.4347,2.473,2.07,2.1315,0.2,54.83
2020-09-09,10366012.64,2.1324,2.595,2.069,2.4575,0.18,54.13
2020-09-10,7100279.22,2.458,2.5697,2.2592,2.2864,0.15,47.12
2020-09-11,4558417.97,2.2864,2.4097,2.18,2.3837,0.13,49.64
2020-09-12,4664005.05,2.384,2.4846,2.25,2.4124,0.12,44.84
2020-09-13,12201452.29,2.4101,2.647,2.205,2.38,0.1,43.56
2020-09-14,8791251.25,2.38,2.5482,2.2355,2.3984,0.09,37.48
2020-09-15,9043188.69,2.3984,2.52,2.0023,2.0374,0.05,35.58
2020-09-16,8597549.97,2.0374,2.041,1.7505,1.8234,0.0,24.81
2020-09-17,6355698.63,1.8234,1.9831,1.8,1.9399,-0.02,33.75
2020-09-18,9861950.83,1.9378,2.28,1.9,2.11,-0.03,37.39
2020-09-19,3822540.49,2.1071,2.1471,1.9541,2.0119,-0.05,46.14
2020-09-20,3552004.95,2.0119,2.0124,1.801,1.8839,-0.07,33.91
2020-09-21,7547619.66,1.8863,1.93,1.6174,1.7348,-0.09,34.13
2020-09-22,4025324.52,1.7381,1.8798,1.6617,1.8581,-0.11,43.28
2020-09-23,5700826.91,1.8599,1.9002,1.74,1.7501,-0.12,30.52
2020-09-24,4809615.55,1.7498,1.999,1.7351,1.9779,-0.11,41.76
2020-09-25,8107043.2,1.9777,2.048,1.83,1.969,-0.11,38.38
2020-09-26,3023129.33,1.9698,2.007,1.8509,1.8955,-0.11,35.87
2020-09-27,1934511.13,1.8938,1.9254,1.8101,1.8831,-0.11,36.27
2020-09-28,2197527.75,1.8836,1.8955,1.762,1.7831,-0.11,33.73
