date,volume,open,high,low,close,MACD,RSI
2022-04-22,34725711.1,0.5988,0.6688,0.5002,0.5163,0.0,
2022-04-23,21692607.6,0.5172,0.5233,0.4622,0.4696,-0.0,
2022-04-24,8725873.3,0.4689,0.5,0.4251,0.4414,-0.01,
2022-04-25,7401671.1,0.4415,0.4532,0.3906,0.4251,-0.01,
2022-04-26,50160726.6,0.4242,0.52,0.4011,0.4381,-0.02,
2022-04-27,123998162.5,0.4385,0.59,0.4176,0.5426,-0.01,
2022-04-28,50026080.4,0.5421,0.5888,0.4735,0.4758,-0.01,
2022-04-29,25589291.9,0.4754,0.5325,0.44,0.4568,-0.01,
2022-04-30,7023498.5,0.4561,0.4579,0.377,0.3796,-0.02,
2022-05-01,5191639.1,0.3797,0.4309,0.3797,0.4044,-0.02,
2022-05-02,2489628.1,0.4055,0.42,0.3789,0.3876,-0.03,
2022-05-03,2325705.6,0.3882,0.3908,0.3531,0.3565,-0.03,
2022-05-04,3756631.0,0.3568,0.3971,0.3381,0.3966,-0.03,
2022-05-05,35347915.7,0.3953,0.4975,0.3763,0.4007,-0.03,
2022-05-06,4665659.5,0.4001,0.401,0.3662,0.3759,-0.03,36.33
2022-05-07,5520549.8,0.3753,0.4212,0.373,0.3856,-0.03,41.18
2022-05-08,2139499.2,0.3856,0.3913,0.3751,0.383,-0.03,43.52
2022-05-09,3562890.5,0.3829,0.3841,0.3015,0.3015,-0.04,38.02
2022-05-10,3889964.0,0.3021,0.3477,0.2893,0.2929,-0.04,35.81
2022-05-11,5901726.3,0.2947,0.3149,0.183,0.1956,-0.06,15.6
2022-05-12,5506430.6,0.1954,0.2291,0.1565,0.1771,-0.06,17.25
2022-05-13,4978106.3,0.1778,0.239,0.1743,0.2185,-0.07,25.1
2022-05-14,2662187.5,0.2189,0.262,0.2189,0.2542,-0.07,35.65
2022-05-15,1193654.2,0.2563,0.2689,0.2446,0.2689,-0.06,34.13
2022-05-16,2368982.2,0.2688,0.2878,0.2629,0.284,-0.06,37.82
2022-05-17,1360314.0,0.2817,0.2999,0.274,0.2999,-0.06,43.1
2022-05-18,2117763.3,0.2997,0.2999,0.2502,0.2515,-0.05,32.66
2022-05-19,2352993.0,0.2511,0.261,0.2339,0.2599,-0.05,33.34
2022-05-20,3643705.0,0.259,0.2965,0.2465,0.2592,-0.05,35.36
2022-05-21,1818513.2,0.2595,0.2673,0.2509,0.265,-0.05,34.72
2022-05-22,2639183.2,0.2652,0.291,0.2651,0.2818,-0.04,37.62
2022-05-23,1264589.3,0.2812,0.288,0.2621,0.265,-0.04,44.7
2022-05-24,1023444.7,0.2642,0.2728,0.2476,0.2617,-0.04,45.4
2022-05-25,1014701.7,0.2617,0.2731,0.2545,0.2579,-0.04,62.7
2022-05-26,1485918.2,0.2571,0.263,0.2345,0.2446,-0.04,64.06
2022-05-27,2386952.4,0.2454,0.2499,0.2278,0.2344,-0.04,53.81
2022-05-28,774014.0,0.2355,0.2452,0.2329,0.2403,-0.04,46.12
2022-05-29,714291.5,0.2404,0.2474,0.2348,0.2466,-0.03,43.47
2022-05-30,1367717.2,0.2463,0.2716,0.2451,0.266,-0.03,44.86
2022-05-31,3117618.7,0.2655,0.2754,0.2533,0.27,-0.03,40.83
2022-06-01,2491929.5,0.27,0.2747,0.2524,0.2594,-0.03,53.15
2022-06-02,908830.1,0.2595,0.2747,0.2546,0.2728,-0.02,54.95
2022-06-03,476508.9,0.2728,0.2755,0.2552,0.2618,-0.02,50.92
2022-06-04,308979.2,0.2619,0.2622,0.2549,0.2596,-0.02,48.03
2022-06-05,74840272.4,0.2592,0.3988,0.2571,0.3016,-0.02,56.1
2022-06-06,12799614.8,0.3024,0.31,0.2746,0.284,-0.01,55.83
2022-06-07,4864100.4,0.2841,0.2843,0.2486,0.2614,-0.01,49.92
2022-06-08,3253672.1,0.2609,0.2695,0.2508,0.2544,-0.01,49.06
2022-06-09,4376251.4,0.2541,0.2834,0.2489,0.2571,-0.01,53.57
2022-06-10,2693100.8,0.2569,0.2665,0.2421,0.2497,-0.01,54.45
2022-06-11,4705425.8,0.2509,0.2772,0.2369,0.2405,-0.01,50.06
2022-06-12,3318109.2,0.2411,0.2416,0.2015,0.208,-0.02,40.43
2022-06-13,3627435.0,0.2079,0.2124,0.1693,0.1835,-0.02,30.04
2022-06-14,4759783.3,0.1835,0.1998,0.1725,0.1927,-0.02,31.76
2022-06-15,4073342.1,0.1922,0.1987,0.1709,0.1965,-0.02,34.67
2022-06-16,5081405.7,0.1971,0.2051,0.1783,0.1854,-0.03,28.45
2022-06-17,2789062.0,0.1857,0.2055,0.1839,0.2011,-0.03,35.37
2022-06-18,5133906.4,0.2005,0.2061,0.1695,0.1826,-0.03,32.8
2022-06-19,3516262.9,0.1834,0.208,0.1744,0.2001,-0.03,24.54
2022-06-20,4337738.0,0.2008,0.2128,0.1821,0.2088,-0.02,30.25
2022-06-21,3129648.9,0.2094,0.2202,0.2035,0.2151,-0.02,36.7
2022-06-22,6185643.7,0.2145,0.2324,0.2054,0.2187,-0.02,39.54
2022-06-23,3058960.0,0.2184,0.2295,0.2143,0.2285,-0.02,41.96
2022-06-24,3294329.1,0.2285,0.2337,0.2114,0.2308,-0.01,44.53
2022-06-25,1404039.4,0.2302,0.2302,0.21,0.228,-0.01,46.24
2022-06-26,617916.5,0.2275,0.2286,0.2195,0.221,-0.01,54.62
2022-06-27,9951610.4,0.2213,0.267,0.2167,0.2229,-0.01,66.67
2022-06-28,16648185.6,0.223,0.2707,0.2171,0.219,-0.01,61.65
2022-06-29,2348515.4,0.2211,0.231,0.2111,0.2193,-0.01,60.42
2022-06-30,2410171.0,0.2195,0.2265,0.1956,0.2177,-0.01,66.17
2022-07-01,1879307.1,0.218,0.2252,0.2076,0.2149,-0.01,57.93
2022-07-02,629081.8,0.2149,0.2169,0.21,0.2145,-0.01,73.15
2022-07-03,630966.4,0.2145,0.2148,0.2055,0.209,-0.01,57.82
2022-07-04,1068717.3,0.2075,0.2234,0.2058,0.219,-0.01,58.76
2022-07-05,954584.7,0.2195,0.2209,0.2076,0.2136,-0.01,48.69
2022-07-06,793636.5,0.2142,0.2168,0.2086,0.2151,-0.01,46.74
2022-07-07,2010613.9,0.2143,0.2213,0.212,0.2195,-0.01,40.96
2022-07-08,16866367.8,0.2195,0.2728,0.2138,0.2249,-0.0,44.42
2022-07-09,57085427.3,0.2263,0.48,0.2253,0.2545,-0.0,66.62
2022-07-10,14319338.9,0.2545,0.2629,0.2279,0.2361,-0.0,58.29
2022-07-11,8160764.3,0.2368,0.2391,0.2112,0.2128,-0.0,45.51
2022-07-12,6699813.5,0.213,0.2131,0.1949,0.199,-0.0,41.83
2022-07-13,6075402.1,0.199,0.2074,0.1844,0.2049,-0.0,44.38
2022-07-14,3487617.6,0.205,0.2112,0.192,0.2025,-0.01,44.1
2022-07-15,4150462.2,0.2027,0.2103,0.1952,0.2001,-0.01,44.24
2022-07-16,10328113.6,0.2001,0.24,0.1969,0.2194,-0.0,51.66
2022-07-17,3275709.7,0.2189,0.2265,0.2081,0.2123,-0.0,51.11
2022-07-18,4357095.3,0.2117,0.2276,0.2104,0.22,-0.0,50.34
2022-07-19,2031340.1,0.219,0.2297,0.2092,0.2258,-0.0,54.15
2022-07-20,36247842.1,0.2263,0.2878,0.223,0.2543,0.0,61.26
2022-07-21,5000293.4,0.2542,0.2604,0.237,0.2489,0.0,58.4
2022-07-22,2303126.4,0.2493,0.2532,0.2407,0.2438,0.0,55.41
2022-07-23,723793.5,0.2437,0.2473,0.2385,0.2431,0.0,46.09
2022-07-24,975684.9,0.2432,0.2455,0.2395,0.2409,0.01,51.85
2022-07-25,5599258.3,0.2411,0.2465,0.2277,0.2309,0.0,57.78
2022-07-26,5743340.0,0.2312,0.2497,0.2267,0.2335,0.0,66.41
2022-07-27,2065810.0,0.2333,0.245,0.2288,0.2449,0.01,68.08
