date,volume,open,high,low,close,MACD,RSI
2022-08-19,352024980.8,0.3364,0.94,0.3364,0.8429,0.0,
2022-08-20,191296283.8,0.8419,1.094,0.6743,0.7115,-0.01,
2022-08-21,44777848.0,0.7102,0.762,0.6002,0.6403,-0.02,
2022-08-22,78900552.0,0.6408,0.782,0.6351,0.705,-0.03,
2022-08-23,58536280.4,0.7053,0.8089,0.673,0.7614,-0.03,
2022-08-24,84932129.1,0.7614,0.9,0.7321,0.7409,-0.03,
2022-08-25,169124709.4,0.7421,1.08,0.7217,1.0268,-0.01,
2022-08-26,130981396.3,1.0283,1.1531,0.8869,0.9301,0.0,
2022-08-27,77945746.9,0.9304,0.9481,0.74,0.7957,-0.0,
2022-08-28,52696807.8,0.7957,0.8495,0.7447,0.801,-0.0,
2022-08-29,49501858.0,0.8008,0.8557,0.7616,0.8365,-0.0,
2022-08-30,48256462.3,0.8362,0.8555,0.69,0.7117,-0.01,
2022-08-31,37960950.2,0.7112,0.7499,0.64,0.665,-0.02,
2022-09-01,59592945.1,0.6657,0.6868,0.57,0.6327,-0.03,
2022-09-02,51172217.8,0.6321,0.7081,0.6276,0.6534,-0.04,41.59
2022-09-03,17543563.3,0.6538,0.664,0.6084,0.6216,-0.04,45.62
2022-09-04,15484888.9,0.6228,0.6423,0.6,0.6302,-0.05,49.48
2022-09-05,20521542.4,0.6299,0.6346,0.5705,0.6036,-0.05,44.53
2022-09-06,53705328.3,0.6045,0.6797,0.5903,0.6247,-0.05,42.33
2022-09-07,96347898.3,0.6247,0.7852,0.6247,0.7782,-0.04,51.82
2022-09-08,69911767.6,0.7782,0.8446,0.7496,0.8129,-0.03,36.16
2022-09-09,65670713.5,0.8129,0.8846,0.76,0.7921,-0.02,40.1
2022-09-10,41065917.5,0.7922,0.8111,0.7285,0.7658,-0.02,47.46
2022-09-11,38254491.1,0.7643,0.799,0.707,0.7288,-0.02,44.18
2022-09-12,43998386.8,0.7285,0.7368,0.6305,0.6398,-0.02,35.41
2022-09-13,46350399.2,0.6405,0.6722,0.6075,0.6497,-0.03,44.45
2022-09-14,37026191.9,0.6492,0.6658,0.58,0.5968,-0.03,43.97
2022-09-15,25096367.2,0.5967,0.5987,0.543,0.5492,-0.04,42.81
2022-09-16,25434058.1,0.549,0.592,0.5432,0.5725,-0.05,43.06
2022-09-17,13248835.3,0.5729,0.5818,0.5625,0.5802,-0.05,46.3
