date,volume,open,high,low,close,MACD,RSI
2020-07-30,1363261.74,0.1823,0.2143,0.1689,0.1932,0.0,
2020-07-31,428205.95,0.1924,0.1972,0.1647,0.1859,-0.0,
2020-08-01,814644.73,0.1857,0.1916,0.15,0.1872,-0.0,
2020-08-02,941067.81,0.1863,0.1978,0.17,0.1878,-0.0,
2020-08-03,668011.34,0.1864,0.2,0.1841,0.1871,-0.0,
2020-08-04,428413.89,0.1882,0.1952,0.1847,0.1899,-0.0,
2020-08-05,1279680.69,0.1902,0.2006,0.1886,0.1974,-0.0,
2020-08-06,679608.8,0.1974,0.2024,0.1942,0.1976,-0.0,
2020-08-07,751138.99,0.1976,0.205,0.1835,0.195,0.0,
2020-08-08,1321963.68,0.1937,0.2045,0.1924,0.2025,0.0,
2020-08-09,1009769.94,0.2025,0.21,0.1964,0.2087,0.0,
2020-08-10,1973321.65,0.2096,0.23,0.1986,0.2242,0.0,
2020-08-11,1917301.61,0.2224,0.2346,0.1966,0.203,0.0,
2020-08-12,1294165.05,0.2048,0.2295,0.1925,0.2244,0.01,
2020-08-13,5587964.11,0.224,0.3678,0.22,0.2734,0.01,77.89
2020-08-14,4287858.44,0.2712,0.31,0.258,0.2969,0.02,84.69
2020-08-15,1896716.61,0.2969,0.3,0.27,0.2751,0.02,74.35
2020-08-16,1982122.46,0.2737,0.3287,0.2705,0.3287,0.02,80.17
2020-08-17,1514379.09,0.3286,0.3355,0.29,0.2981,0.03,71.07
2020-08-18,1676385.99,0.2977,0.3042,0.261,0.2825,0.03,66.76
2020-08-19,1205687.44,0.2812,0.2832,0.2513,0.2552,0.02,59.76
2020-08-20,603971.74,0.2564,0.2894,0.2543,0.2892,0.03,63.89
2020-08-21,1313870.09,0.2896,0.297,0.2516,0.2626,0.02,59.55
2020-08-22,747054.65,0.2626,0.2899,0.25,0.2819,0.02,60.86
2020-08-23,15172068.04,0.2818,0.4936,0.2794,0.3953,0.03,69.73
2020-08-24,13127141.44,0.3959,0.4683,0.3602,0.3831,0.04,66.92
2020-08-25,4466312.16,0.3831,0.3956,0.3241,0.3475,0.04,64.93
2020-08-26,9463616.28,0.3475,0.5005,0.3305,0.4732,0.05,71.15
2020-08-27,14756661.59,0.4711,0.5295,0.4162,0.448,0.05,65.47
2020-08-28,12094922.4,0.4461,0.59,0.4461,0.5814,0.07,71.1
2020-08-29,31960236.01,0.5813,0.7876,0.5748,0.6849,0.09,77.1
2020-08-30,9304968.55,0.685,0.698,0.622,0.6474,0.1,71.54
2020-08-31,5392076.93,0.6464,0.6998,0.5807,0.6033,0.1,70.25
2020-09-01,6462686.24,0.6033,0.6125,0.5456,0.5643,0.1,68.14
2020-09-02,4728241.33,0.5632,0.6166,0.47,0.533,0.1,67.79
2020-09-03,4286848.33,0.5316,0.54,0.38,0.4009,0.08,56.35
2020-09-04,18960343.81,0.406,0.63,0.4,0.5905,0.08,65.74
2020-09-05,10444763.54,0.5928,0.6087,0.4669,0.5301,0.08,61.46
2020-09-06,4160978.73,0.5289,0.5419,0.48,0.5215,0.07,56.45
2020-09-07,2888604.84,0.5246,0.56,0.4503,0.4999,0.07,55.91
2020-09-08,1853145.12,0.5018,0.516,0.451,0.4634,0.06,55.86
2020-09-09,2438221.4,0.464,0.4836,0.4372,0.4654,0.05,49.55
2020-09-10,3086718.27,0.4653,0.5287,0.4573,0.5051,0.05,53.25
2020-09-11,6516693.48,0.5035,0.58,0.5026,0.5362,0.05,47.09
2020-09-12,2922280.8,0.5386,0.5594,0.5004,0.5378,0.05,39.11
2020-09-13,2960144.99,0.536,0.537,0.4629,0.4818,0.04,38.06
2020-09-14,2892835.66,0.4818,0.493,0.4605,0.4723,0.04,40.06
2020-09-15,3021301.31,0.4729,0.508,0.4478,0.4513,0.03,41.19
2020-09-16,2902033.32,0.4514,0.4568,0.4153,0.4416,0.02,42.62
