date,volume,open,high,low,close,MACD,RSI
2020-03-25,71062677.4,0.02297,0.0248,0.0177,0.01915,0.0,
2020-03-26,34940404.1,0.01893,0.01899,0.01589,0.01664,-0.0,
2020-03-27,25999902.5,0.01664,0.01708,0.01421,0.0147,-0.0,
2020-03-28,60561036.8,0.0147,0.01756,0.01377,0.016,-0.0,
2020-03-29,33550700.1,0.01607,0.01664,0.01388,0.01468,-0.0,
2020-03-30,21249138.4,0.01468,0.01538,0.014,0.01474,-0.0,
2020-03-31,24307949.1,0.01474,0.01623,0.014,0.01498,-0.0,
2020-04-01,10422935.6,0.01492,0.01492,0.01384,0.01485,-0.0,
2020-04-02,114590064.2,0.01485,0.01846,0.01405,0.0151,-0.0,
2020-04-03,27021445.0,0.0151,0.01528,0.0141,0.01449,-0.0,
2020-04-04,14136321.9,0.01448,0.0149,0.01401,0.01459,-0.0,
2020-04-05,17771722.1,0.01458,0.0152,0.01418,0.01458,-0.0,
2020-04-06,31545844.9,0.01455,0.01484,0.01376,0.01473,-0.0,
2020-04-07,21319067.5,0.01466,0.01478,0.01375,0.01411,-0.0,
2020-04-08,9884076.8,0.01411,0.0145,0.0138,0.01417,-0.0,23.23
2020-04-09,10935771.8,0.01408,0.01418,0.01352,0.01364,-0.0,29.51
2020-04-10,20116614.7,0.01364,0.01366,0.01187,0.01221,-0.0,31.72
2020-04-11,4747251.4,0.01221,0.01259,0.01185,0.01218,-0.0,15.52
2020-04-12,5938760.4,0.01235,0.01266,0.01185,0.0124,-0.0,24.32
2020-04-13,6655852.5,0.01208,0.01217,0.01151,0.01179,-0.0,20.44
2020-04-14,6905629.6,0.01182,0.01275,0.01167,0.01208,-0.0,21.23
2020-04-15,6796343.1,0.01209,0.0128,0.01161,0.01172,-0.0,20.3
2020-04-16,6408601.0,0.01161,0.01234,0.01137,0.012,-0.0,20.75
2020-04-17,11314484.3,0.01192,0.01204,0.01143,0.01161,-0.0,21.65
2020-04-18,14604310.6,0.01161,0.01247,0.01161,0.01222,-0.0,28.8
2020-04-19,8560730.1,0.01219,0.01273,0.01191,0.01202,-0.0,27.85
2020-04-20,7398303.6,0.01212,0.01239,0.01137,0.01154,-0.0,23.9
2020-04-21,7380818.2,0.0115,0.01172,0.0108,0.01118,-0.0,24.96
2020-04-22,12000482.2,0.01124,0.01182,0.01102,0.0116,-0.0,29.31
