date,volume,open,high,low,close,MACD,RSI
2024-02-20,194055514.31,0.2,7.71,0.2,1.965,0.0,
2024-02-21,188378887.49,1.965,2.189,1.673,1.892,-0.01,
2024-02-22,102619065.23,1.892,2.043,1.802,1.93,-0.01,
2024-02-23,122304826.77,1.929,2.178,1.849,1.927,-0.01,
2024-02-24,36500144.61,1.927,1.965,1.86,1.895,-0.01,
2024-02-25,30751708.31,1.895,1.957,1.876,1.948,-0.01,
2024-02-26,50584453.76,1.948,2.014,1.858,1.971,-0.01,
2024-02-27,64541173.39,1.971,2.063,1.871,1.913,-0.01,
2024-02-28,72470624.68,1.913,1.975,1.675,1.839,-0.02,
2024-02-29,53330216.45,1.839,1.919,1.7,1.747,-0.03,
2024-03-01,36189920.14,1.748,1.843,1.747,1.816,-0.03,
2024-03-02,29897302.96,1.816,1.85,1.79,1.842,-0.03,
2024-03-03,50953441.98,1.842,1.94,1.707,1.843,-0.03,
2024-03-04,43415480.26,1.844,1.874,1.741,1.795,-0.04,
2024-03-05,244567758.35,1.795,2.358,1.743,2.252,-0.0,63.71
2024-03-06,154395955.47,2.252,2.566,2.18,2.548,0.05,75.83
2024-03-07,60781330.14,2.548,2.579,2.307,2.423,0.07,68.17
2024-03-08,66477607.65,2.423,2.488,2.18,2.293,0.09,62.33
2024-03-09,69172349.77,2.293,2.5,2.267,2.41,0.1,66.41
2024-03-10,61896978.64,2.409,2.527,2.3,2.426,0.12,65.6
2024-03-11,88292300.53,2.427,2.597,2.3,2.591,0.14,68.52
2024-03-12,68570102.66,2.591,2.673,2.3,2.48,0.15,66.42
2024-03-13,70082046.39,2.481,2.67,2.366,2.629,0.16,71.92
2024-03-14,74923259.39,2.629,2.654,2.252,2.389,0.15,66.46
2024-03-15,74761654.3,2.389,2.425,2.002,2.197,0.13,59.19
2024-03-16,52799169.69,2.197,2.26,1.984,2.039,0.1,54.47
2024-03-17,41273862.49,2.039,2.146,1.916,2.116,0.08,55.98
