date,volume,open,high,low,close,MACD,RSI
2019-10-25,22543439.71,0.3012,0.5,0.2,0.376,0.0,
2019-10-26,11681713.87,0.376,0.3795,0.2503,0.262,-0.01,
2019-10-27,6204081.96,0.262,0.2736,0.2084,0.2121,-0.02,
2019-10-28,7968877.3,0.2136,0.25,0.205,0.2126,-0.03,
2019-10-29,3277198.86,0.2133,0.2229,0.2076,0.211,-0.03,
2019-10-30,2725399.59,0.211,0.214,0.1932,0.1974,-0.04,
2019-10-31,5337839.39,0.1962,0.2096,0.1816,0.1921,-0.04,
2019-11-01,2527720.46,0.193,0.1967,0.1869,0.1911,-0.05,
2019-11-02,3273725.12,0.1903,0.2024,0.1881,0.1954,-0.05,
2019-11-03,12606871.74,0.1954,0.262,0.1929,0.2352,-0.05,
2019-11-04,11232858.59,0.2328,0.2467,0.2174,0.2211,-0.05,
2019-11-05,6719134.79,0.2215,0.2287,0.2104,0.2206,-0.04,
2019-11-06,4348726.7,0.2215,0.2272,0.2025,0.2028,-0.04,
2019-11-07,5459661.46,0.2032,0.2231,0.2008,0.2203,-0.04,
2019-11-08,5359697.86,0.2196,0.2208,0.1985,0.2149,-0.04,21.77
2019-11-09,3965826.21,0.2129,0.2231,0.2018,0.2056,-0.04,34.39
2019-11-10,2438251.58,0.2056,0.21,0.1991,0.1995,-0.04,45.39
2019-11-11,2088239.06,0.1996,0.2027,0.1915,0.1951,-0.04,43.78
2019-11-12,1297003.57,0.1952,0.196,0.1874,0.1916,-0.04,43.2
2019-11-13,948242.34,0.1914,0.196,0.1902,0.1932,-0.04,48.39
2019-11-14,1509655.21,0.1945,0.195,0.1822,0.1825,-0.03,46.47
2019-11-15,2818162.23,0.1826,0.1856,0.1732,0.185,-0.03,47.78
2019-11-16,1344544.2,0.1847,0.1893,0.1822,0.1822,-0.03,45.15
2019-11-17,932831.87,0.1821,0.1841,0.1786,0.1792,-0.03,21.77
2019-11-18,1499495.06,0.179,0.1793,0.165,0.1676,-0.03,22.34
2019-11-19,2196885.76,0.169,0.169,0.1529,0.157,-0.03,20.22
2019-11-20,1281751.56,0.157,0.1591,0.1452,0.1469,-0.03,21.8
2019-11-21,2539048.26,0.1469,0.1485,0.1267,0.1295,-0.03,4.14
2019-11-22,5083336.52,0.1295,0.1322,0.1049,0.114,-0.04,3.76
2019-11-23,6631005.07,0.114,0.1357,0.1083,0.1231,-0.04,12.12
2019-11-24,9471139.3,0.1225,0.1404,0.1199,0.1257,-0.04,14.99
2019-11-25,8706539.61,0.1257,0.1257,0.1045,0.1155,-0.04,14.21
2019-11-26,2727102.39,0.115,0.1159,0.1105,0.1138,-0.04,14.44
2019-11-27,2614524.02,0.1148,0.1161,0.1065,0.1129,-0.04,13.06
2019-11-28,3217861.77,0.1134,0.1225,0.112,0.1151,-0.04,16.37
2019-11-29,1528806.69,0.1152,0.1203,0.114,0.1164,-0.03,15.35
2019-11-30,1365602.6,0.1164,0.1173,0.1085,0.1102,-0.03,14.84
2019-12-01,917153.91,0.1104,0.1104,0.1054,0.1071,-0.03,14.83
2019-12-02,1315887.43,0.1071,0.1084,0.1035,0.1046,-0.03,16.27
2019-12-03,2185524.76,0.1047,0.1056,0.1,0.1018,-0.03,17.76
2019-12-04,2219699.53,0.1018,0.102,0.095,0.0969,-0.03,18.91
2019-12-05,1254021.72,0.0964,0.097,0.0911,0.0932,-0.03,22.79
2019-12-06,1638680.0,0.0934,0.0998,0.0928,0.0984,-0.03,36.17
2019-12-07,1035540.84,0.098,0.0988,0.0939,0.094,-0.03,21.86
2019-12-08,2506281.67,0.0945,0.103,0.0928,0.1006,-0.03,27.47
2019-12-09,2388062.03,0.0999,0.1066,0.0976,0.0989,-0.03,32.42
2019-12-10,1405869.64,0.0981,0.0987,0.0883,0.0902,-0.02,28.23
