date,volume,open,high,low,close,MACD,RSI
2023-05-03,446598493.4,0.1,2.0,0.1,1.4016,0.0,
2023-05-04,160696442.6,1.4016,1.499,1.2961,1.3303,-0.01,
2023-05-05,109103877.3,1.3303,1.38,1.26,1.3064,-0.01,
2023-05-06,84666618.7,1.3067,1.3752,1.27,1.3297,-0.01,
2023-05-07,41904640.0,1.3299,1.3469,1.22,1.2431,-0.02,
2023-05-08,120746101.0,1.243,1.2439,1.0222,1.1374,-0.04,
2023-05-09,84746956.6,1.1377,1.2158,1.0932,1.1842,-0.05,
2023-05-10,168123621.3,1.1842,1.2448,1.0988,1.1787,-0.05,
2023-05-11,86830478.7,1.1788,1.1819,1.0336,1.0736,-0.07,
2023-05-12,66590394.8,1.0737,1.1229,1.013,1.1152,-0.07,
2023-05-13,35948047.8,1.115,1.14,1.0855,1.0994,-0.08,
2023-05-14,51193444.1,1.0993,1.2049,1.0677,1.1591,-0.07,
2023-05-15,76750994.5,1.1589,1.2548,1.1241,1.193,-0.07,
2023-05-16,48656185.5,1.1934,1.2071,1.1405,1.1651,-0.07,
2023-05-17,64546515.1,1.1654,1.2155,1.1115,1.2131,-0.06,36.44
2023-05-18,40533612.5,1.2131,1.2245,1.1266,1.1415,-0.06,36.43
2023-05-19,25089190.2,1.1413,1.1494,1.1153,1.1304,-0.06,37.11
2023-05-20,16142067.7,1.1304,1.1343,1.108,1.124,-0.06,34.55
2023-05-21,36820639.0,1.1241,1.153,1.051,1.073,-0.06,36.5
2023-05-22,30744865.3,1.0729,1.0781,1.0337,1.0502,-0.07,42.03
2023-05-23,34139550.2,1.0502,1.098,1.0228,1.0533,-0.07,37.0
2023-05-24,72513876.8,1.0532,1.0532,0.9413,0.9784,-0.08,32.52
2023-05-25,37633870.0,0.9784,1.0103,0.9366,0.982,-0.08,40.28
2023-05-26,28806851.3,0.9821,1.01,0.9627,0.9911,-0.08,35.86
2023-05-27,21366911.7,0.9911,1.0176,0.9827,0.998,-0.08,38.21
2023-05-28,37999706.8,0.998,1.0729,0.9926,1.0617,-0.08,38.78
2023-05-29,66909993.1,1.0619,1.1,1.0225,1.0392,-0.07,31.8
2023-05-30,43521177.6,1.0391,1.0619,0.9893,1.0011,-0.07,31.05
2023-05-31,33706491.5,1.001,1.0097,0.9429,0.9743,-0.07,20.99
2023-06-01,27771579.7,0.9746,0.9794,0.94,0.9461,-0.07,23.47
2023-06-02,47950317.1,0.946,0.963,0.905,0.9414,-0.07,23.88
2023-06-03,33017243.7,0.9414,0.9568,0.9068,0.9333,-0.07,23.77
2023-06-04,34127551.5,0.9332,0.9785,0.9266,0.9602,-0.07,33.38
2023-06-05,109983171.5,0.9604,0.9715,0.75,0.8169,-0.08,24.64
2023-06-06,52909918.4,0.8171,0.8496,0.7553,0.8314,-0.09,26.46
2023-06-07,47751309.2,0.8314,0.8314,0.7433,0.7572,-0.09,26.5
2023-06-08,50960158.8,0.7572,0.7937,0.715,0.7287,-0.1,24.44
2023-06-09,48520864.7,0.7287,0.7627,0.7102,0.7382,-0.11,24.5
2023-06-10,122857844.8,0.7382,0.7417,0.51,0.6095,-0.12,18.55
2023-06-11,45461605.7,0.6095,0.6242,0.5865,0.6055,-0.13,9.12
2023-06-12,95056078.1,0.6054,0.6876,0.5693,0.6633,-0.13,18.32
2023-06-13,95846339.6,0.6633,0.7294,0.6618,0.6983,-0.12,24.35
2023-06-14,62548997.7,0.6982,0.7131,0.6273,0.6506,-0.12,23.51
2023-06-15,41482584.6,0.6505,0.6592,0.6201,0.649,-0.12,24.59
2023-06-16,50201474.9,0.6489,0.7217,0.6227,0.7072,-0.12,31.65
2023-06-17,92206443.8,0.7072,0.785,0.7043,0.7541,-0.1,36.76
2023-06-18,70237006.6,0.7539,0.7961,0.7096,0.7207,-0.1,32.47
2023-06-19,70115654.4,0.7206,0.7926,0.7093,0.7851,-0.09,47.37
2023-06-20,85994336.2,0.7851,0.8278,0.7485,0.8189,-0.07,49.0
2023-06-21,94202270.2,0.819,0.8506,0.7686,0.8312,-0.06,56.59
2023-06-22,86075057.7,0.8312,0.8899,0.7901,0.803,-0.05,56.62
2023-06-23,60864747.1,0.803,0.8361,0.7781,0.7984,-0.05,55.41
2023-06-24,43638069.7,0.7983,0.7984,0.7232,0.7528,-0.05,65.13
2023-06-25,38325250.1,0.7529,0.7805,0.74,0.7451,-0.04,64.63
2023-06-26,44135736.0,0.7451,0.7605,0.7114,0.7265,-0.04,57.21
2023-06-27,49588516.9,0.7264,0.7575,0.7022,0.7203,-0.04,52.69
2023-06-28,46258388.0,0.7203,0.7208,0.6366,0.6631,-0.05,51.49
2023-06-29,52593167.4,0.6634,0.715,0.6603,0.6807,-0.05,53.65
2023-06-30,59113408.0,0.6808,0.7118,0.628,0.6891,-0.05,47.65
2023-07-01,26995655.8,0.6888,0.691,0.6672,0.6893,-0.05,40.42
2023-07-02,26703763.7,0.6895,0.6943,0.659,0.6907,-0.05,45.1
2023-07-03,53810585.1,0.6907,0.7168,0.6854,0.7,-0.04,33.05
2023-07-04,52601686.8,0.6998,0.7389,0.6788,0.6855,-0.04,21.23
2023-07-05,36465148.3,0.6855,0.6917,0.645,0.6624,-0.04,15.21
2023-07-06,29123683.3,0.6624,0.6821,0.6344,0.6495,-0.04,16.23
2023-07-07,24612864.4,0.649,0.6667,0.6396,0.6613,-0.04,20.77
