date,volume,open,high,low,close,MACD,RSI
2020-12-04,226253.7,1.0,1.018,0.9913,1.0075,0.0,
2020-12-05,211645.68,1.0075,1.0079,0.9976,1.005,-0.0,
2020-12-06,255975.19,1.005,1.1053,0.995,0.999,-0.0,
2020-12-07,93121.15,0.999,1.0252,0.9963,1.0112,-0.0,
2020-12-08,145384.51,1.0067,1.0658,1.0056,1.008,-0.0,
2020-12-09,34907.8,1.0081,1.02,1.0025,1.0052,-0.0,
2020-12-10,60955.58,1.0053,1.0148,1.0047,1.0118,0.0,
2020-12-11,653995.26,1.0054,1.8313,0.9814,1.012,0.0,
2020-12-12,428162.73,1.012,1.0861,0.9955,1.0103,0.0,
2020-12-13,47083.47,1.0097,1.015,1.0003,1.0056,0.0,
2020-12-14,25332.84,1.0116,1.0199,1.0056,1.0196,0.0,
2020-12-15,90884.31,1.0195,1.0196,1.003,1.0103,0.0,
2020-12-16,30834.05,1.0104,1.0145,1.0041,1.0115,0.0,
2020-12-17,80118.82,1.0119,1.0175,1.0041,1.0071,0.0,
2020-12-18,231549.12,1.0071,1.0376,1.004,1.0079,0.0,50.29
2020-12-19,121587.56,1.0044,1.0183,1.0041,1.0093,0.0,53.14
2020-12-20,64694.27,1.0055,1.013,1.0041,1.0075,0.0,56.61
2020-12-21,133781.71,1.0075,1.0159,1.0015,1.0062,0.0,45.32
2020-12-22,97290.45,1.0062,1.0168,1.0015,1.0057,-0.0,47.73
2020-12-23,161057.13,1.0057,1.0111,1.0015,1.0062,-0.0,51.03
2020-12-24,121090.93,1.0062,1.0096,1.0015,1.006,-0.0,43.1
2020-12-25,120423.55,1.006,1.0131,1.003,1.0031,-0.0,40.04
2020-12-26,52347.17,1.0031,1.009,1.0022,1.0062,-0.0,45.55
2020-12-27,186978.04,1.0044,1.0089,1.0023,1.0045,-0.0,48.72
2020-12-28,136223.15,1.0067,1.01,1.004,1.01,-0.0,36.13
2020-12-29,211164.83,1.0069,1.02,1.004,1.02,0.0,63.74
