date,volume,open,high,low,close,MACD,RSI
2020-12-10,10343.71,10.0,11.072,9.418,10.414,0.0,
2020-12-11,38537.14,10.414,13.376,10.414,12.867,0.2,
2020-12-12,33532.52,12.841,12.841,9.676,10.413,0.15,
2020-12-13,130709.94,10.413,10.504,7.808,7.9,-0.09,
2020-12-14,162006.27,7.9,9.17,6.409,6.63,-0.37,
2020-12-15,366548.83,6.63,6.63,4.881,5.23,-0.7,
2020-12-16,588531.49,5.241,5.765,3.801,4.249,-1.03,
2020-12-17,257888.74,4.218,5.172,3.767,4.945,-1.23,
2020-12-18,166855.9,5.0,5.327,4.117,4.288,-1.41,
2020-12-19,251135.78,4.276,4.782,3.366,3.984,-1.57,
2020-12-20,149869.61,3.989,4.686,3.757,4.542,-1.63,
2020-12-21,230391.72,4.539,5.547,4.24,5.27,-1.6,
2020-12-22,206631.22,5.2,6.372,3.824,3.98,-1.66,
2020-12-23,657745.37,3.979,15.101,0.97,2.89,-1.78,
2020-12-24,906103.95,2.887,3.522,1.72,1.766,-1.94,25.32
2020-12-25,705964.79,1.737,2.019,1.631,1.789,-2.04,13.29
2020-12-26,370084.34,1.785,2.104,1.771,1.99,-2.08,17.19
2020-12-27,619674.79,1.988,2.137,1.442,1.61,-2.12,20.61
2020-12-28,835442.02,1.598,1.639,1.234,1.541,-2.13,23.22
2020-12-29,603948.41,1.543,1.915,1.458,1.658,-2.1,28.27
2020-12-30,435653.34,1.682,1.872,1.32,1.446,-2.08,31.19
2020-12-31,1714544.48,1.446,1.563,1.003,1.03,-2.07,22.69
2021-01-01,1845235.62,1.042,1.077,0.8,0.801,-2.05,24.14
2021-01-02,2514667.69,0.801,0.93,0.762,0.829,-2.02,25.6
2021-01-03,2263016.92,0.83,1.001,0.617,0.661,-1.98,18.06
2021-01-04,5776262.26,0.659,0.752,0.44,0.523,-1.94,6.73
2021-01-05,5983480.1,0.524,0.687,0.413,0.445,-1.89,8.64
2021-01-06,2876718.85,0.446,0.525,0.392,0.441,-1.83,11.58
2021-01-07,4314250.46,0.446,0.544,0.281,0.317,-1.77,16.87
2021-01-08,24502227.53,0.312,0.462,0.195,0.203,-1.72,15.19
2021-01-09,24754285.64,0.202,0.202,0.136,0.161,-1.66,6.84
2021-01-10,16258971.85,0.16,0.227,0.143,0.17,-1.59,8.81
2021-01-11,28224191.14,0.17,0.344,0.158,0.193,-1.52,10.4
2021-01-12,51538207.22,0.195,0.227,0.105,0.129,-1.45,3.64
2021-01-13,74347779.69,0.129,0.148,0.07,0.072,-1.38,4.02
2021-01-14,61789222.31,0.071,0.076,0.0527,0.0557,-1.32,5.48
2021-01-15,139900037.98,0.055,0.05939,0.03225,0.03835,-1.25,6.8
2021-01-16,68150720.27,0.038,0.043,0.02412,0.0272,-1.19,3.7
2021-01-17,88454954.02,0.02752,0.02952,0.02218,0.02777,-1.12,4.66
2021-01-18,67425867.19,0.02736,0.02923,0.02242,0.024,-1.06,5.77
2021-01-19,62258413.24,0.02376,0.03554,0.02217,0.03131,-1.0,8.08
2021-01-20,152198078.61,0.03158,0.03749,0.0222,0.02241,-0.94,8.0
2021-01-21,94779800.28,0.02224,0.04393,0.022,0.0396,-0.88,14.58
2021-01-22,153520143.31,0.0395,0.04769,0.02011,0.02227,-0.83,19.35
2021-01-23,139036827.77,0.02227,0.02337,0.0172,0.0195,-0.77,22.32
2021-01-24,225929233.54,0.01945,0.02006,0.01132,0.01229,-0.73,18.94
2021-01-25,652972208.26,0.01206,0.01244,0.00423,0.0098,-0.68,10.74
2021-01-26,516291866.74,0.0098,0.01231,0.00735,0.0078,-0.64,14.63
2021-01-27,361454221.05,0.00785,0.01165,0.00772,0.01124,-0.59,24.21
2021-01-28,381647869.02,0.01124,0.01181,0.00611,0.00695,-0.55,26.95
2021-01-29,343518453.93,0.00695,0.00784,0.0052,0.00526,-0.52,31.64
2021-01-30,934355648.12,0.00534,0.00638,0.00342,0.00344,-0.48,35.29
2021-01-31,1020040844.02,0.00341,0.00361,0.00245,0.00318,-0.45,34.72
2021-02-01,1438574692.1,0.0032,0.00359,0.001625,0.001637,-0.42,35.71
2021-02-02,1910771343.24,0.001646,0.001797,0.00137,0.00164,-0.39,29.09
2021-02-03,1811078700.63,0.001625,0.0017,0.00106,0.001169,-0.36,33.01
2021-02-04,1844472469.91,0.001153,0.00119,0.000752,0.000976,-0.34,7.57
2021-02-05,873665969.75,0.000981,0.001097,0.000914,0.001052,-0.31,12.45
2021-02-06,1734476759.65,0.001061,0.001369,0.00097,0.001124,-0.29,14.05
2021-02-07,1260871131.29,0.001128,0.00168,0.00109,0.001205,-0.27,19.93
2021-02-08,1145472898.95,0.001214,0.001355,0.000822,0.000918,-0.25,22.63
2021-02-09,617250456.89,0.000918,0.001002,0.000814,0.000918,-0.23,25.81
2021-02-10,1395337920.21,0.000923,0.001005,0.000715,0.00085,-0.22,2.14
2021-02-11,2494083683.63,0.00085,0.00098,0.000519,0.000593,-0.2,3.4
2021-02-12,2753796040.03,0.0006,0.000745,0.000556,0.000631,-0.19,5.22
2021-02-13,2833374934.16,0.000633,0.000724,0.000563,0.00069,-0.17,9.65
2021-02-14,1910130791.59,0.000688,0.000826,0.000654,0.000815,-0.16,13.87
2021-02-15,20016751304.25,0.000811,0.0012,0.000396,0.000444,-0.15,21.61
2021-02-16,14091284353.23,0.000442,0.00058,0.000399,0.000494,-0.14,23.32
2021-02-17,7413687638.52,0.000493,0.00065,0.000439,0.000519,-0.13,30.9
2021-02-18,3296443959.07,0.000515,0.000589,0.00045,0.00056,-0.12,36.58
2021-02-19,5247571827.48,0.000559,0.000745,0.00045,0.00067,-0.11,37.94
2021-02-20,15867288600.89,0.00067,0.00069,0.000275,0.000286,-0.1,27.9
2021-02-21,7285014732.61,0.000286,0.000339,0.000246,0.000322,-0.1,26.15
2021-02-22,15272203486.0,0.000319,0.0006,0.000183,0.000202,-0.09,28.74
2021-02-23,21593472199.53,0.000201,0.000449,0.000175,0.000202,-0.08,28.74
2021-02-24,14430183220.64,0.000201,0.000246,0.000165,0.000184,-0.08,29.62
2021-02-25,27120668904.79,0.000184,0.000198,0.000114,0.000179,-0.07,35.02
2021-02-26,25997264712.87,0.00018,0.000219,0.000111,0.000132,-0.07,32.06
2021-02-27,31856713698.97,0.000132,0.000132,9.6e-05,0.000111,-0.06,28.6
2021-02-28,27937608647.42,0.00011,0.000177,0.000108,0.000127,-0.06,22.35
2021-03-01,38185268467.31,0.000126,0.000128,7.5e-05,7.5e-05,-0.05,30.05
2021-03-02,94707069638.82,7.6e-05,9e-05,5.7e-05,7.6e-05,-0.05,26.14
