date,volume,open,high,low,close,MACD,RSI
2020-12-10,30974.06,10.0,10.418,8.993,9.78,0.0,
2020-12-11,80698.69,9.73,9.73,7.201,7.515,-0.18,
2020-12-12,55419.74,7.522,9.48,7.481,9.109,-0.19,
2020-12-13,57103.31,9.119,11.53,8.966,10.817,-0.06,
2020-12-14,79411.95,11.017,13.499,9.622,12.972,0.21,
2020-12-15,122953.68,13.4,15.683,12.562,14.824,0.57,
2020-12-16,136245.52,14.824,17.5,12.97,16.144,0.95,
2020-12-17,58846.92,16.227,17.8,13.677,14.25,1.09,
2020-12-18,45488.76,14.251,16.631,13.13,16.016,1.32,
2020-12-19,85354.57,16.016,19.983,14.29,16.818,1.55,
2020-12-20,70011.72,16.773,17.786,14.084,14.699,1.55,
2020-12-21,47909.99,14.482,15.665,11.81,12.595,1.36,
2020-12-22,61603.55,12.844,14.76,10.727,14.724,1.37,
2020-12-23,1327992.62,14.499,14.787,1.462,5.896,0.65,
2020-12-24,307650.32,6.05,7.704,4.955,7.541,0.22,46.52
2020-12-25,276130.38,7.634,8.146,6.475,7.255,-0.15,49.57
2020-12-26,133553.94,7.38,7.4,6.094,6.501,-0.5,45.56
2020-12-27,126891.74,6.542,8.5,6.01,7.82,-0.66,44.83
2020-12-28,130567.62,7.82,9.507,7.59,7.874,-0.77,40.51
2020-12-29,173771.67,7.9,8.044,6.481,7.438,-0.88,35.49
2020-12-30,134896.01,7.258,8.69,6.592,7.744,-0.94,32.82
2020-12-31,93427.3,7.849,9.902,6.918,9.513,-0.83,40.26
2021-01-01,189329.1,9.504,12.221,9.029,12.176,-0.53,42.39
2021-01-02,186026.39,12.219,12.461,10.272,11.292,-0.35,39.08
2021-01-03,262708.91,11.303,13.226,10.0,12.473,-0.11,45.43
2021-01-04,198484.74,12.551,15.849,11.24,13.066,0.12,51.03
2021-01-05,150762.79,12.982,14.744,10.8,14.16,0.39,48.71
2021-01-06,117166.18,14.152,15.29,12.766,14.188,0.6,81.86
2021-01-07,144940.62,14.285,16.5,8.969,12.531,0.62,69.16
2021-01-08,320057.56,12.539,14.665,7.133,13.07,0.68,71.9
2021-01-09,294216.77,13.176,18.559,12.312,14.765,0.85,79.06
2021-01-10,286059.5,14.82,16.759,9.678,11.841,0.74,62.71
2021-01-11,359103.97,11.974,11.974,5.796,8.95,0.41,52.88
2021-01-12,408368.03,8.931,13.218,7.709,10.44,0.27,57.61
2021-01-13,468452.2,10.44,16.91,8.361,16.356,0.63,67.0
2021-01-14,368124.09,16.258,21.63,15.305,20.414,1.23,69.74
2021-01-15,352841.25,20.569,31.138,17.805,25.0,2.05,71.71
2021-01-16,204233.59,25.255,35.685,22.316,32.233,3.25,79.18
2021-01-17,157915.63,32.217,38.824,28.943,31.398,4.08,76.63
2021-01-18,91013.7,31.427,37.999,29.0,35.48,5.01,78.72
2021-01-19,272488.15,35.5,37.819,20.289,24.369,4.8,60.41
2021-01-20,352097.67,24.369,29.706,20.01,29.536,4.99,64.16
2021-01-21,328175.05,29.543,29.81,16.0,17.306,4.11,53.69
2021-01-22,381154.38,17.364,31.0,14.393,28.379,4.25,60.17
2021-01-23,164280.59,28.134,34.5,26.655,31.212,4.54,60.76
2021-01-24,181105.74,31.23,44.0,30.4,42.571,5.62,68.11
2021-01-25,328859.94,42.6,75.242,26.811,28.812,5.31,60.37
2021-01-26,389915.8,28.816,36.812,21.641,32.432,5.29,61.24
2021-01-27,283416.51,32.432,32.677,23.0,23.95,4.54,53.78
2021-01-28,231198.51,24.006,36.722,22.678,32.657,4.6,55.83
2021-01-29,163029.44,32.75,38.99,28.243,38.427,5.05,56.32
2021-01-30,150946.84,38.756,52.631,33.182,52.371,6.45,58.91
2021-01-31,161809.1,52.627,61.924,44.16,49.209,7.23,57.72
2021-02-01,193027.7,49.191,85.0,45.001,84.375,10.56,66.7
2021-02-02,99147.01,84.691,95.0,74.0,79.835,12.69,69.84
2021-02-03,68535.04,80.144,107.198,77.242,98.5,15.7,72.49
2021-02-04,77532.13,98.458,134.011,96.299,106.415,18.52,79.9
2021-02-05,60505.04,106.25,114.163,92.0,97.333,19.78,73.45
2021-02-06,180250.06,96.901,104.0,66.605,77.409,18.96,64.08
2021-02-07,174524.36,77.307,80.251,48.423,66.678,17.25,57.37
2021-02-08,156446.42,66.678,82.365,61.409,75.849,16.44,64.8
2021-02-09,91010.4,75.851,84.89,69.128,75.803,15.61,63.96
2021-02-10,108816.74,75.987,93.33,66.026,80.562,15.17,68.67
2021-02-11,106782.01,80.817,105.887,69.128,97.344,15.98,70.26
2021-02-12,57455.13,97.209,102.624,81.523,93.197,16.11,67.33
2021-02-13,52838.76,93.175,100.598,80.206,84.326,15.32,60.45
2021-02-14,67486.35,84.658,89.145,69.0,70.097,13.39,56.37
2021-02-15,220669.74,70.294,106.5,34.163,93.005,13.55,52.84
2021-02-16,94387.31,93.366,101.998,72.9,83.078,12.73,51.03
2021-02-17,137105.9,83.3,87.9,62.244,77.757,11.52,42.79
2021-02-18,70015.38,77.787,85.776,69.301,72.839,10.05,38.08
2021-02-19,133481.73,72.448,73.829,55.0,58.319,7.62,36.66
2021-02-20,325031.41,58.318,83.984,57.492,75.443,7.0,49.31
2021-02-21,76786.62,75.409,81.848,67.64,70.474,6.04,51.38
2021-02-22,203859.59,70.543,70.629,41.908,65.438,4.81,46.1
2021-02-23,375141.48,65.577,69.784,30.562,55.4,3.0,42.89
2021-02-24,82491.57,55.543,62.347,48.806,55.232,1.53,40.89
2021-02-25,60590.41,55.107,69.464,51.749,52.959,0.18,32.17
2021-02-26,113858.83,52.959,70.4,44.76,61.3,-0.22,37.6
2021-02-27,95050.65,61.597,79.562,61.184,68.822,0.08,43.91
2021-02-28,79107.55,68.606,69.625,48.847,59.091,-0.47,45.52
2021-03-01,125951.44,59.684,87.123,58.698,86.998,1.33,47.65
2021-03-02,181067.05,87.123,102.044,68.126,77.079,1.94,47.65
2021-03-03,90301.28,77.279,86.849,73.26,75.124,2.23,48.94
2021-03-04,85356.06,75.038,85.04,72.0,74.3,2.38,50.61
2021-03-05,53079.44,74.277,74.277,62.39,69.189,2.05,54.9
2021-03-06,34906.55,69.499,72.186,63.5,69.083,1.77,46.61
2021-03-07,46979.61,69.239,79.6,67.268,78.301,2.26,53.99
2021-03-08,39399.3,78.5,80.199,70.0,73.562,2.24,54.15
2021-03-09,99119.43,73.79,95.127,72.5,90.767,3.57,66.84
2021-03-10,47321.64,91.07,91.979,75.079,77.789,3.54,59.57
