date,volume,open,high,low,close,MACD,RSI
2020-07-20,4490992.467,1.85,2.002,1.427,1.655,0.0,
2020-07-21,7598127.259,1.658,1.749,1.373,1.655,0.0,
2020-07-22,6040926.1,1.653,1.782,1.481,1.536,-0.01,
2020-07-23,4887930.609,1.537,1.677,1.505,1.632,-0.01,
2020-07-24,17257814.177,1.632,2.13,1.576,2.033,0.02,
2020-07-25,10344600.33,2.03,2.281,1.921,1.996,0.05,
2020-07-26,8129180.419,1.998,2.062,1.805,1.902,0.05,
2020-07-27,22773081.975,1.904,1.962,1.257,1.512,0.03,
2020-07-28,13083637.711,1.516,1.729,1.441,1.613,0.02,
2020-07-29,9028484.824,1.614,1.756,1.498,1.567,0.01,
2020-07-30,6720048.358,1.568,1.619,1.51,1.52,-0.01,
2020-07-31,16464194.334,1.52,1.857,1.515,1.759,0.0,
2020-08-01,18700653.572,1.758,1.939,1.603,1.632,-0.0,
2020-08-02,16326248.515,1.633,1.79,1.4,1.735,0.0,
2020-08-03,15503435.267,1.735,1.95,1.672,1.931,0.02,56.91
2020-08-04,21127037.647,1.925,2.088,1.74,1.849,0.03,54.67
2020-08-05,24295384.509,1.849,1.941,1.734,1.783,0.03,56.1
2020-08-06,15398601.679,1.784,1.951,1.76,1.923,0.04,57.03
2020-08-07,17505186.397,1.923,1.947,1.756,1.839,0.05,44.46
2020-08-08,25454558.152,1.838,2.19,1.812,2.146,0.07,53.71
2020-08-09,37822129.579,2.146,2.56,2.052,2.346,0.11,60.43
2020-08-10,27401557.265,2.345,2.705,2.293,2.532,0.15,76.51
2020-08-11,38099114.803,2.532,3.253,2.388,3.155,0.23,81.52
2020-08-12,21172408.575,3.158,3.88,2.991,3.831,0.34,86.8
2020-08-13,36534445.907,3.83,5.0,3.65,4.322,0.47,89.8
2020-08-14,24432221.699,4.32,4.458,3.502,3.715,0.51,75.15
2020-08-15,19846382.772,3.716,3.93,3.31,3.332,0.51,70.51
2020-08-16,23384857.311,3.335,3.704,3.208,3.414,0.51,70.36
2020-08-17,21703533.874,3.413,3.5,3.0,3.103,0.48,63.83
2020-08-18,38113271.529,3.102,4.07,2.916,3.607,0.49,68.86
2020-08-19,35890590.153,3.613,3.797,2.84,3.09,0.45,62.79
2020-08-20,27075169.457,3.091,3.55,3.081,3.198,0.42,62.55
2020-08-21,39890999.245,3.194,3.272,2.54,2.623,0.35,57.04
2020-08-22,36176960.522,2.623,2.875,2.3,2.795,0.3,55.97
2020-08-23,19467585.544,2.797,2.956,2.51,2.853,0.27,54.79
2020-08-24,21675894.486,2.852,3.131,2.701,2.935,0.24,53.88
2020-08-25,21664602.242,2.936,2.98,2.455,2.636,0.2,44.67
2020-08-26,19244905.697,2.637,2.944,2.55,2.859,0.18,38.98
2020-08-27,27004956.663,2.861,3.085,2.557,2.765,0.15,30.61
2020-08-28,18412860.435,2.765,3.03,2.725,2.912,0.14,38.71
2020-08-29,21130285.127,2.909,3.26,2.87,3.032,0.14,45.44
2020-08-30,18740181.116,3.032,3.217,2.86,2.941,0.14,42.84
2020-08-31,19188182.582,2.94,3.1,2.81,2.848,0.12,45.86
2020-09-01,24114796.217,2.851,2.98,2.55,2.57,0.08,31.85
2020-09-02,30387412.142,2.57,2.724,2.011,2.373,0.04,35.87
2020-09-03,33618421.571,2.373,2.422,1.75,1.814,-0.04,26.84
2020-09-04,35321316.389,1.813,2.18,1.758,2.036,-0.09,38.86
2020-09-05,38428364.164,2.036,2.095,1.519,1.675,-0.15,30.17
2020-09-06,29520658.949,1.672,1.953,1.53,1.797,-0.19,31.72
2020-09-07,24006309.767,1.797,1.853,1.56,1.752,-0.22,29.25
2020-09-08,17968361.41,1.755,1.806,1.579,1.655,-0.25,31.48
2020-09-09,18377846.573,1.655,1.88,1.622,1.788,-0.26,29.07
2020-09-10,19614028.473,1.788,1.95,1.759,1.779,-0.26,30.07
2020-09-11,10319126.302,1.779,1.817,1.67,1.789,-0.26,25.97
2020-09-12,18034499.813,1.793,1.873,1.712,1.829,-0.26,23.35
2020-09-13,23385036.894,1.831,1.924,1.671,1.726,-0.26,23.23
2020-09-14,32154413.013,1.728,1.98,1.617,1.863,-0.24,28.71
2020-09-15,24082166.17,1.861,1.9,1.58,1.622,-0.25,29.17
2020-09-16,16162325.874,1.624,1.626,1.458,1.515,-0.26,30.38
2020-09-17,13125500.824,1.515,1.61,1.422,1.507,-0.27,40.61
2020-09-18,19678732.511,1.506,1.691,1.464,1.541,-0.27,32.9
2020-09-19,12297894.646,1.541,1.657,1.479,1.58,-0.26,45.78
2020-09-20,10552128.559,1.581,1.639,1.481,1.53,-0.25,37.32
2020-09-21,23508121.738,1.531,1.566,1.212,1.268,-0.27,30.94
2020-09-22,24005057.532,1.269,1.347,1.2,1.269,-0.28,33.56
2020-09-23,25278380.232,1.269,1.289,1.042,1.079,-0.3,21.2
