date,volume,open,high,low,close,MACD,RSI
2020-10-15,17467.76,10.0,10.605,9.408,10.187,0.0,
2020-10-16,6934.02,10.186,10.92,9.676,10.543,0.03,
2020-10-17,2199.45,10.8,10.812,9.675,10.256,0.03,
2020-10-18,3673.37,10.252,10.253,9.661,9.919,-0.0,
2020-10-19,5264.78,10.107,10.688,10.0,10.392,0.02,
2020-10-20,25652.07,10.581,12.628,10.448,11.373,0.11,
2020-10-21,46409.23,11.054,12.514,9.056,10.411,0.1,
2020-10-22,16734.86,9.969,10.838,9.044,10.202,0.08,
2020-10-23,4994.57,10.118,11.862,9.633,11.311,0.14,
2020-10-24,859.21,11.346,11.922,10.755,11.404,0.2,
2020-10-25,4008.75,11.513,12.523,11.492,12.403,0.33,
2020-10-26,37414.04,12.52,18.015,10.624,12.278,0.41,
2020-10-27,42520.94,12.623,14.103,9.55,10.593,0.34,
2020-10-28,33539.11,10.683,15.134,10.648,14.264,0.57,
2020-10-29,195792.82,14.264,16.865,11.317,12.054,0.57,56.92
2020-10-30,198313.22,12.068,15.23,11.0,12.587,0.6,57.47
2020-10-31,63020.61,12.6,13.198,11.06,12.932,0.65,59.74
2020-11-01,22263.13,13.15,13.497,12.132,12.687,0.66,60.15
2020-11-02,126876.53,12.634,13.22,10.512,12.98,0.69,59.61
2020-11-03,131567.5,13.085,17.453,11.859,12.975,0.7,56.42
2020-11-04,92648.03,13.024,14.713,12.3,13.07,0.71,61.44
2020-11-05,207838.63,13.063,13.168,9.935,11.4,0.57,54.58
2020-11-06,216219.5,11.4,11.451,7.6,7.6,0.16,38.23
2020-11-07,2135733.45,7.554,7.679,3.971,5.25,-0.36,32.93
2020-11-08,1221952.13,5.22,5.921,4.31,5.296,-0.76,29.19
2020-11-09,848484.18,5.252,6.613,4.587,5.121,-1.07,29.1
2020-11-10,742499.58,5.133,5.367,3.856,4.255,-1.37,30.56
2020-11-11,633841.38,4.238,5.038,3.953,4.956,-1.54,15.1
2020-11-12,294132.54,4.947,6.044,4.851,5.763,-1.59,23.64
2020-11-13,599685.65,5.72,5.754,4.3,5.002,-1.67,18.81
2020-11-14,188357.63,4.949,5.909,4.691,5.167,-1.7,17.59
2020-11-15,585346.15,5.136,5.339,4.216,4.917,-1.73,17.58
2020-11-16,862169.45,4.938,5.112,3.32,3.412,-1.85,13.75
2020-11-17,1039679.39,3.413,3.623,2.514,3.094,-1.94,13.43
2020-11-18,945466.81,3.094,4.2,2.896,3.649,-1.95,16.28
2020-11-19,261741.01,3.6,4.26,3.547,3.899,-1.92,20.11
2020-11-20,325499.49,3.9,3.955,3.088,3.547,-1.9,27.73
2020-11-21,816639.72,3.555,3.559,2.4,2.464,-1.95,32.22
2020-11-22,1732985.15,2.468,3.236,2.334,2.677,-1.95,33.63
2020-11-23,911236.29,2.678,2.766,2.107,2.196,-1.96,32.39
2020-11-24,5433374.35,2.185,2.407,1.349,1.4,-2.02,32.67
2020-11-25,5330907.03,1.4,1.69,1.092,1.532,-2.02,27.67
2020-11-26,11305280.66,1.54,2.936,1.279,1.355,-2.02,18.68
2020-11-27,2724634.62,1.354,1.399,0.962,1.069,-2.02,20.04
2020-11-28,1910036.19,1.072,1.267,0.994,1.066,-1.99,17.97
2020-11-29,1748234.62,1.062,1.143,1.01,1.068,-1.95,18.72
2020-11-30,25331783.0,1.061,1.123,0.151,0.177,-1.97,20.8
2020-12-01,43431482.74,0.178,0.206,0.148,0.2,-1.96,22.41
2020-12-02,12208168.19,0.201,0.214,0.166,0.177,-1.93,13.16
2020-12-03,3799889.11,0.177,0.185,0.173,0.179,-1.88,8.33
2020-12-04,4887051.84,0.18,0.233,0.177,0.225,-1.82,10.05
2020-12-05,2661267.37,0.228,0.239,0.193,0.195,-1.75,13.46
2020-12-06,3971164.01,0.195,0.219,0.188,0.204,-1.68,7.38
2020-12-07,1925868.46,0.202,0.215,0.192,0.202,-1.61,8.84
