date,volume,open,high,low,close,MACD,RSI
2020-10-15,30960.69,10.0,10.091,8.372,8.696,0.0,
2020-10-16,80387.74,8.692,9.006,7.714,8.232,-0.04,
2020-10-17,17239.12,8.233,9.011,7.849,8.538,-0.04,
2020-10-18,16726.79,8.507,9.0,8.446,8.826,-0.02,
2020-10-19,12676.63,8.858,8.858,8.036,8.222,-0.05,
2020-10-20,86439.77,8.124,8.325,6.39,6.891,-0.18,
2020-10-21,115588.69,6.938,8.031,6.35,7.292,-0.25,
2020-10-22,66087.18,7.292,8.352,6.795,7.505,-0.29,
2020-10-23,75240.77,7.546,7.925,6.2,6.734,-0.37,
2020-10-24,49880.57,6.671,6.869,6.32,6.542,-0.45,
2020-10-25,43867.82,6.422,6.572,6.0,6.073,-0.54,
2020-10-26,248520.71,5.986,6.101,4.033,4.988,-0.69,
2020-10-27,243316.95,4.987,5.224,3.95,4.787,-0.82,
2020-10-28,601291.11,4.788,4.82,2.711,2.979,-1.06,
2020-10-29,1620380.91,3.016,3.317,2.393,2.915,-1.23,14.74
2020-10-30,1069095.55,2.894,3.132,2.33,2.714,-1.38,15.23
2020-10-31,457084.58,2.708,2.967,2.54,2.583,-1.48,11.63
2020-11-01,628925.66,2.588,2.7,2.473,2.607,-1.54,8.51
2020-11-02,938868.84,2.606,2.926,2.435,2.498,-1.59,9.11
2020-11-03,1638781.51,2.472,2.5,1.959,2.254,-1.62,10.79
2020-11-04,1669355.67,2.246,2.394,1.892,2.23,-1.63,4.28
2020-11-05,1009921.09,2.236,2.9,2.217,2.547,-1.59,6.05
2020-11-06,828200.35,2.535,3.66,2.507,3.66,-1.46,24.31
2020-11-07,3981412.61,3.675,6.547,2.835,3.471,-1.35,24.32
2020-11-08,1350567.86,3.47,3.947,3.048,3.348,-1.26,25.81
2020-11-09,970445.46,3.35,3.486,2.622,3.087,-1.2,30.23
2020-11-10,1125210.21,3.095,3.753,2.957,3.527,-1.1,37.52
2020-11-11,1009126.78,3.54,3.7,2.914,2.94,-1.05,49.49
2020-11-12,1168746.27,2.98,3.0,2.328,2.469,-1.05,44.73
2020-11-13,1585737.12,2.468,3.148,2.456,2.777,-1.0,50.73
2020-11-14,1480951.78,2.789,2.907,2.426,2.645,-0.97,50.71
2020-11-15,3195586.14,2.649,3.116,2.089,2.233,-0.96,46.05
2020-11-16,1985577.18,2.221,2.911,2.159,2.817,-0.9,53.06
2020-11-17,2118969.65,2.806,3.506,2.653,2.925,-0.83,56.62
2020-11-18,2275551.51,2.923,3.088,2.029,2.361,-0.82,51.17
2020-11-19,1627311.9,2.373,2.413,2.082,2.244,-0.8,47.2
2020-11-20,1571840.87,2.247,2.66,2.212,2.375,-0.77,35.49
2020-11-21,2297920.25,2.38,3.249,2.363,3.17,-0.68,47.01
2020-11-22,2838518.95,3.182,3.315,2.428,2.623,-0.64,43.36
2020-11-23,3080816.66,2.611,3.2,2.527,3.095,-0.56,50.07
2020-11-24,5271253.08,3.1,3.88,2.52,3.383,-0.47,48.69
2020-11-25,5933736.44,3.392,4.099,2.44,2.77,-0.45,48.47
2020-11-26,21588323.27,2.77,3.004,0.819,1.489,-0.53,42.29
2020-11-27,6247706.05,1.495,1.878,1.309,1.536,-0.58,39.81
2020-11-28,3951441.54,1.535,1.635,1.339,1.493,-0.61,40.4
2020-11-29,3121757.03,1.488,1.531,1.372,1.419,-0.64,42.81
2020-11-30,11029841.18,1.43,1.868,1.276,1.511,-0.65,37.37
