date,volume,open,high,low,close,MACD,RSI
2024-04-11,241079.175,439.8,1249.0,439.8,623.4,0.0,
2024-04-12,151633.9782,623.6,646.3,500.0,537.5,-6.85,
2024-04-13,97717.2111,537.4,571.5,400.0,509.2,-14.4,
2024-04-14,121266.6674,509.2,623.9,470.1,586.5,-13.98,
2024-04-15,59360.2535,586.5,594.4,519.0,524.9,-18.41,
2024-04-16,94359.6459,524.8,535.2,444.5,500.8,-23.59,
2024-04-17,61474.4141,500.9,511.9,436.3,455.0,-31.04,
2024-04-18,33955.2872,455.0,475.0,434.6,466.2,-35.62,
2024-04-19,45186.9402,466.6,477.5,426.3,442.0,-40.74,
2024-04-20,32846.0658,441.8,493.1,433.4,485.1,-40.85,
2024-04-21,22452.3736,485.2,489.7,457.2,474.8,-41.29,
2024-04-22,36496.5932,474.7,531.1,466.0,520.9,-37.48,
2024-04-23,27524.3386,520.8,532.7,493.4,500.1,-35.74,
2024-04-24,42890.3708,499.5,506.9,443.3,452.6,-37.75,
2024-04-25,31607.8484,452.7,472.7,439.9,460.8,-38.24,34.79
2024-04-26,21900.5671,460.8,461.7,425.4,427.0,-40.89,38.54
2024-04-27,22881.2852,427.0,429.9,410.0,421.9,-42.9,40.49
2024-04-28,17104.0122,421.9,438.4,419.4,423.3,-43.88,28.71
2024-04-29,53015.2241,423.3,430.5,381.3,401.3,-45.9,32.01
2024-04-30,49219.5978,401.3,406.5,365.3,388.6,-47.97,33.11
2024-05-01,52672.4254,388.7,392.6,340.3,380.9,-49.67,37.4
2024-05-02,35323.831,380.8,415.3,365.6,404.3,-48.56,39.9
2024-05-03,36177.2693,404.3,435.9,392.7,425.6,-45.44,47.3
2024-05-04,32794.5458,425.6,470.0,423.1,446.6,-40.8,43.16
2024-05-05,31730.5713,446.6,478.8,429.9,455.4,-36.0,46.53
2024-05-06,39358.7236,455.2,488.4,438.4,441.8,-32.91,34.01
2024-05-07,32707.6103,442.0,466.1,418.1,419.1,-31.93,33.75
2024-05-08,59945.7656,418.9,428.6,375.8,391.8,-32.98,36.72
2024-05-09,39035.6066,391.8,408.5,381.0,393.0,-33.32,34.73
2024-05-10,48771.3402,393.1,405.0,366.3,376.5,-34.53,37.66
2024-05-11,22751.9075,376.6,384.6,370.0,374.7,-35.23,38.28
2024-05-12,25077.3852,374.6,382.3,359.4,362.9,-36.31,35.74
2024-05-13,45467.8191,362.9,376.2,339.7,357.3,-37.2,38.74
2024-05-14,40398.1589,357.3,359.3,333.5,343.9,-38.53,38.6
2024-05-15,68058.7003,343.9,399.0,340.8,389.7,-35.49,51.88
2024-05-16,50362.1148,389.6,406.1,374.8,382.2,-33.3,44.94
2024-05-17,37670.4803,382.2,399.0,377.0,380.7,-31.32,38.69
2024-05-18,19776.7127,380.7,391.0,375.8,382.4,-29.28,32.09
2024-05-19,25861.0546,382.4,394.4,358.8,365.4,-28.7,25.99
2024-05-20,57294.802,365.3,418.7,358.1,406.4,-24.65,41.76
