date,volume,open,high,low,close,MACD,RSI
2019-05-24,1090620009.5,0.025,0.026,0.01222,0.01515,0.0,
2019-05-25,2299062770.5,0.01514,0.02478,0.01503,0.022,0.0,
2019-05-26,1336342202.3,0.02195,0.02308,0.01691,0.01756,0.0,
2019-05-27,682880948.8,0.0176,0.018,0.01575,0.01646,0.0,
2019-05-28,488613396.5,0.01642,0.01704,0.0155,0.01643,0.0,
2019-05-29,767504163.3,0.01643,0.01865,0.0158,0.01798,0.0,
2019-05-30,627599342.5,0.01793,0.01804,0.01331,0.01445,0.0,
2019-05-31,320560664.2,0.01444,0.0149,0.01373,0.01477,0.0,
2019-06-01,391357409.4,0.01477,0.01496,0.0135,0.01416,0.0,
2019-06-02,240528606.0,0.01415,0.01526,0.01405,0.01465,-0.0,
2019-06-03,172830450.9,0.01467,0.01468,0.01322,0.01335,-0.0,
2019-06-04,225064807.4,0.01334,0.01368,0.01212,0.01262,-0.0,
2019-06-05,302914891.4,0.01263,0.01377,0.0124,0.01327,-0.0,
2019-06-06,503244100.2,0.01323,0.0152,0.01313,0.01409,-0.0,
2019-06-07,193937537.6,0.01412,0.0147,0.01378,0.01445,-0.0,48.46
2019-06-08,221327155.0,0.01443,0.0152,0.0136,0.01499,-0.0,28.72
2019-06-09,357137406.4,0.01504,0.01577,0.01267,0.0133,-0.0,34.48
2019-06-10,250862847.8,0.01325,0.01432,0.01265,0.01403,-0.0,40.9
2019-06-11,145608455.2,0.01407,0.01416,0.01306,0.01363,-0.0,39.8
2019-06-12,100609259.9,0.01361,0.01364,0.01325,0.01348,-0.0,31.74
2019-06-13,108543279.1,0.01349,0.01357,0.01297,0.01318,-0.0,43.01
2019-06-14,173336509.4,0.01318,0.01339,0.01169,0.01254,-0.0,38.15
2019-06-15,129927326.3,0.01252,0.01266,0.01187,0.0122,-0.0,39.28
2019-06-16,103531784.5,0.01219,0.01233,0.01173,0.01199,-0.0,34.99
2019-06-17,113051993.6,0.01201,0.0125,0.01192,0.01204,-0.0,41.39
2019-06-18,69033962.1,0.01204,0.01217,0.0114,0.01184,-0.0,44.49
2019-06-19,88758269.2,0.01184,0.0125,0.01181,0.01215,-0.0,41.69
2019-06-20,159711436.6,0.0122,0.01313,0.0122,0.01279,-0.0,40.09
2019-06-21,91054214.2,0.01276,0.01279,0.01143,0.01151,-0.0,30.35
2019-06-22,179937527.5,0.01151,0.01175,0.0106,0.01121,-0.0,23.9
2019-06-23,56402486.2,0.01121,0.01168,0.01096,0.01111,-0.0,30.62
2019-06-24,47423646.7,0.01107,0.01139,0.01079,0.01122,-0.0,22.07
2019-06-25,67282566.8,0.01122,0.01133,0.01069,0.01084,-0.0,22.16
2019-06-26,179213793.0,0.01085,0.01107,0.00934,0.00967,-0.0,18.41
2019-06-27,185905490.3,0.00967,0.00981,0.00833,0.00883,-0.0,16.89
2019-06-28,79987551.1,0.00883,0.00924,0.00856,0.00901,-0.0,21.11
2019-06-29,96868328.3,0.00901,0.00955,0.00868,0.00931,-0.0,26.19
2019-06-30,333922138.1,0.0093,0.0108,0.00853,0.00918,-0.0,26.54
2019-07-01,112907419.6,0.00918,0.01005,0.00892,0.00958,-0.0,30.6
2019-07-02,84288811.5,0.00962,0.00967,0.00865,0.00923,-0.0,29.89
2019-07-03,75132734.9,0.00925,0.0093,0.00875,0.00911,-0.0,25.87
2019-07-04,58409345.1,0.00912,0.00927,0.00866,0.00871,-0.0,16.34
2019-07-05,43961675.1,0.00872,0.00886,0.00853,0.00865,-0.0,20.45
2019-07-06,229808313.2,0.00866,0.01157,0.00863,0.00971,-0.0,36.61
2019-07-07,123314491.6,0.0097,0.0107,0.00961,0.00975,-0.0,37.73
2019-07-08,102232522.7,0.00977,0.01002,0.00871,0.00913,-0.0,32.73
2019-07-09,44052217.8,0.00914,0.0095,0.0089,0.00937,-0.0,37.56
2019-07-10,76041338.4,0.00939,0.00975,0.00863,0.00889,-0.0,42.53
2019-07-11,51883584.5,0.00888,0.00906,0.00754,0.00793,-0.0,41.57
2019-07-12,45291323.6,0.00796,0.00841,0.00774,0.00825,-0.0,43.07
2019-07-13,92533614.4,0.00825,0.00901,0.00817,0.00863,-0.0,43.88
2019-07-14,51577488.0,0.00863,0.00878,0.00745,0.00769,-0.0,38.3
2019-07-15,82284171.4,0.00765,0.0077,0.00667,0.0073,-0.0,32.08
2019-07-16,53561236.7,0.00731,0.00742,0.00602,0.0061,-0.0,28.29
2019-07-17,59234252.4,0.00612,0.0071,0.00606,0.00686,-0.0,35.67
2019-07-18,52542637.6,0.00688,0.00717,0.00658,0.00711,-0.0,39.61
2019-07-19,30676547.0,0.00715,0.00725,0.00687,0.00719,-0.0,40.54
2019-07-20,44904134.9,0.00721,0.00744,0.00702,0.00727,-0.0,31.9
2019-07-21,23103634.8,0.00725,0.00741,0.0069,0.00707,-0.0,30.58
2019-07-22,63190319.9,0.0071,0.00785,0.0071,0.0075,-0.0,37.85
2019-07-23,91694664.6,0.0075,0.0081,0.00743,0.00757,-0.0,36.24
2019-07-24,23155245.2,0.00753,0.00754,0.00706,0.00733,-0.0,37.62
2019-07-25,21614341.3,0.00733,0.00767,0.00729,0.00748,-0.0,45.9
2019-07-26,32304712.6,0.00751,0.00783,0.00726,0.00772,-0.0,45.1
2019-07-27,25334918.3,0.0077,0.00785,0.00697,0.00717,-0.0,36.92
2019-07-28,24247312.1,0.00716,0.00737,0.00702,0.00725,-0.0,45.34
2019-07-29,44181533.3,0.00724,0.00774,0.00724,0.00743,-0.0,51.44
2019-07-30,46630357.2,0.00743,0.00755,0.00709,0.00728,-0.0,67.05
2019-07-31,17671144.3,0.00727,0.00768,0.00719,0.00768,-0.0,63.23
2019-08-01,42592107.3,0.00768,0.00773,0.00705,0.00722,-0.0,51.66
2019-08-02,27270938.3,0.00723,0.00728,0.00682,0.00697,-0.0,46.84
2019-08-03,22336904.7,0.00697,0.00699,0.00658,0.00671,-0.0,42.35
2019-08-04,19075318.2,0.00671,0.00679,0.00642,0.0065,-0.0,42.23
2019-08-05,33502902.2,0.00647,0.00656,0.00622,0.00646,-0.0,34.15
2019-08-06,66646573.4,0.00645,0.0068,0.00611,0.00646,-0.0,32.71
2019-08-07,53986776.4,0.00647,0.00676,0.0062,0.00635,-0.0,34.09
2019-08-08,45360106.1,0.0064,0.00675,0.0063,0.00642,-0.0,32.33
2019-08-09,32706832.7,0.00643,0.0065,0.00601,0.00612,-0.0,23.86
2019-08-10,67979867.4,0.00616,0.00699,0.00616,0.00655,-0.0,39.46
2019-08-11,112381913.2,0.00656,0.00734,0.00656,0.00724,-0.0,49.86
2019-08-12,59088577.1,0.00727,0.0074,0.00698,0.0071,-0.0,45.3
2019-08-13,34300334.9,0.00711,0.00722,0.00661,0.00675,-0.0,42.86
2019-08-14,41698918.1,0.00675,0.0068,0.00596,0.00603,-0.0,29.53
2019-08-15,18688680.2,0.00607,0.00609,0.00571,0.00587,-0.0,31.9
2019-08-16,21647680.8,0.00586,0.0061,0.00558,0.0059,-0.0,34.76
2019-08-17,19246664.8,0.00589,0.00591,0.00557,0.00574,-0.0,35.78
2019-08-18,18591417.3,0.00574,0.00587,0.00564,0.00579,-0.0,39.08
2019-08-19,28308665.1,0.00579,0.00599,0.00573,0.00595,-0.0,42.43
2019-08-20,25273798.6,0.00592,0.00595,0.0057,0.00578,-0.0,40.4
2019-08-21,39990521.8,0.00582,0.00584,0.00525,0.0054,-0.0,37.53
2019-08-22,35254437.3,0.0054,0.00567,0.00525,0.00563,-0.0,40.05
2019-08-23,49000032.9,0.00559,0.00583,0.00551,0.00576,-0.0,45.26
2019-08-24,25443514.7,0.00576,0.0059,0.00561,0.00581,-0.0,39.18
2019-08-25,139263102.7,0.00583,0.0069,0.00583,0.00617,-0.0,32.69
2019-08-26,67124435.4,0.00623,0.0064,0.00564,0.00586,-0.0,30.98
2019-08-27,46772812.8,0.00586,0.0059,0.00544,0.00572,-0.0,33.11
2019-08-28,66183154.9,0.00572,0.00585,0.00483,0.00516,-0.0,34.95
2019-08-29,30690814.8,0.00515,0.00515,0.00461,0.00485,-0.0,33.22
2019-08-30,27811181.2,0.00485,0.00488,0.0047,0.00481,-0.0,32.13
2019-08-31,8031597.6,0.00481,0.00485,0.00465,0.00477,-0.0,33.45
2019-09-01,88375437.7,0.00478,0.00484,0.00455,0.0047,-0.0,31.53
2019-09-02,33327600.7,0.00471,0.00475,0.00457,0.00465,-0.0,27.11
2019-09-03,57864864.3,0.00467,0.00478,0.00456,0.00463,-0.0,28.62
2019-09-04,32547832.8,0.00463,0.00471,0.00448,0.00457,-0.0,32.49
2019-09-05,33747126.0,0.00458,0.00472,0.00441,0.00453,-0.0,24.77
2019-09-06,24512344.7,0.00454,0.0046,0.00431,0.00444,-0.0,19.16
2019-09-07,6984622.0,0.00441,0.00464,0.00435,0.00464,-0.0,24.45
2019-09-08,54376271.5,0.0046,0.00475,0.0045,0.00464,-0.0,10.36
2019-09-09,57612126.4,0.00466,0.00471,0.00445,0.00462,-0.0,12.2
