date,volume,open,high,low,close,MACD,RSI
2019-04-10,3319767.6,0.135,0.135,0.12,0.12343,0.0,
2019-04-11,3777898.0,0.12343,0.12449,0.10421,0.11013,-0.0,
2019-04-12,2312405.2,0.11013,0.11913,0.1042,0.11508,-0.0,
2019-04-13,995522.7,0.11438,0.11745,0.11126,0.11745,-0.0,
2019-04-14,3087031.6,0.1165,0.12499,0.11582,0.12112,-0.0,
2019-04-15,3399937.6,0.12101,0.12499,0.11501,0.11802,-0.0,
2019-04-16,7731994.5,0.11801,0.13679,0.11735,0.13142,-0.0,
2019-04-17,7176562.6,0.1315,0.13509,0.12559,0.1279,0.0,
2019-04-18,3747363.9,0.1274,0.13077,0.1245,0.12599,0.0,
2019-04-19,2943550.5,0.126,0.1295,0.1192,0.12189,0.0,
2019-04-20,2258118.4,0.12189,0.126,0.11934,0.1234,0.0,
2019-04-21,3573719.2,0.12365,0.12441,0.10957,0.114,-0.0,
2019-04-22,1819709.8,0.11403,0.1188,0.1108,0.11187,-0.0,
2019-04-23,2384803.7,0.11192,0.11741,0.10884,0.10999,-0.0,
2019-04-24,4644741.5,0.10934,0.11326,0.0934,0.09951,-0.0,34.2
2019-04-25,3636529.2,0.0996,0.1035,0.09,0.09567,-0.0,39.09
2019-04-26,4509943.8,0.09567,0.10889,0.09326,0.10444,-0.0,42.41
2019-04-27,1716478.1,0.104,0.1059,0.0998,0.10277,-0.01,39.42
2019-04-28,2081797.4,0.10285,0.10363,0.09825,0.09979,-0.01,34.47
2019-04-29,2793456.9,0.09975,0.10049,0.088,0.09061,-0.01,31.67
2019-04-30,1830803.2,0.09062,0.09772,0.08921,0.09433,-0.01,21.51
2019-05-01,2088157.5,0.094,0.09964,0.09301,0.09635,-0.01,25.19
2019-05-02,1358919.8,0.09634,0.09946,0.09451,0.09566,-0.01,25.69
2019-05-03,1791179.7,0.09489,0.0973,0.0933,0.09668,-0.01,28.74
2019-05-04,2680412.5,0.09668,0.09668,0.087,0.09055,-0.01,24.3
2019-05-05,1802792.0,0.0902,0.09068,0.08621,0.08753,-0.01,26.99
2019-05-06,2133515.3,0.08753,0.09441,0.08654,0.09088,-0.01,32.14
2019-05-07,2932442.5,0.09161,0.09277,0.08484,0.0854,-0.01,30.28
2019-05-08,3351645.7,0.08543,0.09333,0.08206,0.08679,-0.01,38.06
2019-05-09,4037506.0,0.0866,0.08717,0.078,0.07893,-0.01,35.39
2019-05-10,3757104.8,0.07974,0.088,0.0775,0.08651,-0.01,34.02
2019-05-11,5359214.4,0.08651,0.09282,0.08456,0.089,-0.01,37.9
2019-05-12,4339247.8,0.08849,0.09196,0.08423,0.08633,-0.01,38.11
2019-05-13,11136536.9,0.086,0.09999,0.0856,0.0897,-0.01,49.1
2019-05-14,14592973.7,0.08972,0.11698,0.08934,0.10194,-0.01,56.42
2019-05-15,10426696.2,0.10192,0.125,0.10142,0.11794,-0.0,64.73
2019-05-16,11602012.9,0.11794,0.12524,0.1056,0.11342,-0.0,61.51
2019-05-17,16911826.6,0.11342,0.1147,0.09495,0.114,-0.0,61.29
2019-05-18,11674463.0,0.11351,0.1233,0.11001,0.11934,0.0,68.97
2019-05-19,8645412.0,0.11934,0.124,0.11555,0.1162,0.0,68.86
2019-05-20,9176039.3,0.11688,0.11688,0.10826,0.113,0.0,64.58
2019-05-21,9224876.5,0.11236,0.1203,0.11047,0.11373,0.0,69.92
2019-05-22,5838563.7,0.11374,0.11827,0.10366,0.1055,0.0,62.0
2019-05-23,4702156.7,0.10521,0.10938,0.10057,0.10916,0.0,70.49
2019-05-24,46650622.5,0.10916,0.14413,0.10908,0.1182,0.0,71.07
2019-05-25,21043939.7,0.11812,0.1385,0.11812,0.13695,0.01,76.21
2019-05-26,11600555.8,0.13703,0.139,0.119,0.12353,0.01,68.2
2019-05-27,7678234.4,0.12443,0.13057,0.1218,0.12655,0.01,68.09
2019-05-28,8511731.0,0.12649,0.13663,0.12392,0.13275,0.01,66.08
2019-05-29,38614960.2,0.13239,0.16531,0.12347,0.15068,0.01,66.75
2019-05-30,21842965.9,0.15068,0.16541,0.12417,0.13123,0.01,57.9
2019-05-31,9701032.5,0.13109,0.1396,0.12391,0.13728,0.01,59.85
2019-06-01,7890312.5,0.13727,0.13785,0.12704,0.13147,0.01,55.11
2019-06-02,9316521.9,0.13147,0.14779,0.13095,0.141,0.01,59.92
2019-06-03,9857435.5,0.14099,0.14312,0.12891,0.13034,0.01,56.54
2019-06-04,10027374.4,0.13034,0.13152,0.1196,0.12319,0.01,53.41
2019-06-05,8369668.0,0.12319,0.1332,0.122,0.12945,0.01,58.75
2019-06-06,6588723.0,0.12897,0.13869,0.12345,0.13027,0.01,57.87
2019-06-07,3609457.3,0.13074,0.13527,0.13041,0.13395,0.01,56.12
