date,volume,open,high,low,close,MACD,RSI
2023-10-31,60315914.4,2.877,2.9999,1.9,2.278,0.0,
2023-11-01,54152556.2,2.2776,2.667,2.13,2.5488,0.02,
2023-11-02,36269641.8,2.5489,2.8659,2.2666,2.3988,0.03,
2023-11-03,20681916.5,2.3999,2.4861,2.213,2.3907,0.03,
2023-11-04,10734363.5,2.3905,2.4988,2.3447,2.4318,0.03,
2023-11-05,8855388.0,2.4318,2.478,2.2439,2.309,0.03,
2023-11-06,7231414.1,2.3098,2.395,2.25,2.3652,0.03,
2023-11-07,12464474.3,2.365,2.4549,2.223,2.3368,0.02,
2023-11-08,7486262.2,2.3393,2.41,2.2924,2.3693,0.02,
2023-11-09,23581365.6,2.3691,2.6503,2.25,2.457,0.03,
2023-11-10,32773569.9,2.4555,3.3089,2.359,3.1801,0.09,
2023-11-11,60146095.9,3.1802,4.26,3.1168,3.9719,0.2,
2023-11-12,37567966.7,3.9736,4.84,3.7,4.6191,0.34,
2023-11-13,50057115.4,4.6192,5.979,4.3588,4.3692,0.42,
2023-11-14,45240886.6,4.3694,6.383,4.21,5.9825,0.61,88.41
2023-11-15,27739818.0,5.9826,6.54,5.7265,5.8514,0.74,85.26
2023-11-16,18841119.8,5.8521,6.38,5.4329,5.7535,0.83,86.22
2023-11-17,29262424.9,5.7463,7.0983,5.699,7.0601,0.99,89.37
2023-11-18,24453482.3,7.0538,7.42,6.4,7.1434,1.11,89.45
2023-11-19,14007958.2,7.1454,7.389,6.5885,6.7966,1.17,86.21
2023-11-20,17489279.1,6.7989,7.0543,5.9,5.97,1.13,75.87
2023-11-21,25939881.3,5.9687,6.148,5.003,5.0193,1.02,67.0
2023-11-22,18576364.7,5.0255,6.3241,5.0166,6.1065,1.0,70.89
2023-11-23,8042601.8,6.109,6.35,5.6238,5.6378,0.94,67.06
2023-11-24,10500632.9,5.6422,5.835,5.4002,5.5203,0.87,63.42
2023-11-25,7110087.6,5.5192,5.98,5.4653,5.9445,0.84,61.81
2023-11-26,6076456.3,5.9462,5.9579,5.3392,5.4366,0.77,54.98
2023-11-27,10509548.3,5.4376,5.9248,5.131,5.881,0.74,58.99
2023-11-28,12958921.9,5.8825,6.49,5.4947,6.2376,0.73,51.78
2023-11-29,7818568.9,6.2376,6.6948,5.9776,6.0177,0.7,51.15
2023-11-30,6300462.5,6.0156,6.5,5.9242,6.3928,0.7,54.25
2023-12-01,10805294.5,6.3921,7.276,6.27,7.0914,0.75,50.23
2023-12-02,19708308.4,7.091,9.22,7.0376,8.8545,0.92,59.96
2023-12-03,12439198.2,8.8589,9.3158,8.0355,8.5899,1.02,60.54
2023-12-04,18293039.8,8.5895,9.8498,8.01,8.9464,1.12,68.52
2023-12-05,16621677.6,8.9455,10.5,8.31,10.1463,1.27,80.94
2023-12-06,22341825.5,10.1484,11.5,9.224,9.6156,1.34,72.7
2023-12-07,11043838.8,9.621,10.45,9.3814,9.5005,1.37,76.19
2023-12-08,11035463.5,9.5018,9.958,8.8,9.2798,1.36,75.14
2023-12-09,10960031.4,9.2834,10.2187,9.2,9.3198,1.34,73.79
2023-12-10,5400652.8,9.3197,9.92,9.02,9.8297,1.35,80.96
2023-12-11,18768031.5,9.8265,11.0716,8.663,10.8108,1.42,82.3
2023-12-12,21252690.5,10.8093,13.12,10.746,12.0767,1.55,84.18
