date,volume,open,high,low,close,MACD,RSI
2021-04-07,328396782.49,0.1,10.0,0.1,2.9857,0.0,
2021-04-08,80960060.75,2.9857,3.2,2.3064,2.3877,-0.05,
2021-04-09,35034291.57,2.3881,2.5564,2.101,2.2719,-0.09,
2021-04-10,31585295.66,2.2773,2.7689,2.25,2.3497,-0.12,
2021-04-11,12930783.9,2.3491,2.4,2.2,2.3032,-0.15,
2021-04-12,22305335.01,2.3045,2.64,2.22,2.3865,-0.16,
2021-04-13,21983209.01,2.3831,2.44,2.0,2.1419,-0.19,
2021-04-14,18898422.24,2.1419,2.22,1.97,2.0509,-0.21,
2021-04-15,13979888.15,2.0481,2.195,1.9901,2.0347,-0.23,
2021-04-16,19020116.33,2.0346,2.0417,1.688,1.7412,-0.27,
2021-04-17,24913764.55,1.741,2.117,1.7291,2.042,-0.27,
2021-04-18,159620851.82,2.0476,3.4815,1.851,2.9251,-0.19,
2021-04-19,156541723.79,2.9334,3.7941,2.7001,2.7515,-0.15,
2021-04-20,59490970.97,2.7482,3.1315,2.3888,2.4338,-0.14,
2021-04-21,30888491.44,2.4394,2.94,2.3748,2.4088,-0.13,41.17
2021-04-22,23063308.8,2.41,2.57,2.12,2.1257,-0.14,45.56
2021-04-23,23271737.28,2.1223,2.31,1.78,2.22,-0.14,49.11
2021-04-24,21111330.45,2.2157,2.45,2.0063,2.2567,-0.14,48.39
2021-04-25,18831085.24,2.2566,2.5599,2.1461,2.295,-0.13,49.86
2021-04-26,15215678.27,2.295,2.5499,2.2714,2.4568,-0.11,51.19
2021-04-27,25165755.61,2.4568,2.89,2.33,2.755,-0.07,60.17
2021-04-28,31783543.8,2.75,3.1738,2.58,2.8331,-0.03,63.03
2021-04-29,28152883.39,2.8331,3.1314,2.6633,2.9716,0.01,65.0
2021-04-30,39458394.39,2.974,3.58,2.9492,3.5309,0.08,76.41
2021-05-01,17854014.88,3.5406,3.551,3.15,3.1917,0.12,66.77
2021-05-02,67647132.32,3.1917,4.6519,2.9023,4.4668,0.24,70.19
2021-05-03,70258766.4,4.4624,4.99,4.0334,4.2556,0.32,69.5
2021-05-04,35684512.91,4.2557,4.3,3.6,3.6201,0.33,64.21
2021-05-05,27839969.2,3.6224,4.3655,3.579,3.9968,0.36,67.54
2021-05-06,21472476.13,3.9923,4.1649,3.6,3.6651,0.36,66.83
2021-05-07,16620660.89,3.6639,3.85,3.38,3.5182,0.34,64.03
2021-05-08,19745149.39,3.5185,4.14,3.4509,3.7426,0.34,65.43
2021-05-09,12139795.15,3.7426,3.75,3.39,3.5328,0.31,62.41
2021-05-10,17974822.82,3.5328,3.88,3.1,3.2495,0.27,57.76
