date,volume,open,high,low,close,MACD,RSI
2021-04-13,934252520.34,0.1,5.95,0.1,0.7269,0.0,
2021-04-14,710957671.01,0.7269,0.9389,0.5502,0.583,-0.01,
2021-04-15,205358632.42,0.5844,0.5844,0.4658,0.4799,-0.03,
2021-04-16,193497182.63,0.48,0.485,0.3726,0.3829,-0.05,
2021-04-17,126113529.57,0.3826,0.4499,0.3783,0.3999,-0.06,
2021-04-18,112014126.75,0.4001,0.4095,0.3038,0.3597,-0.08,
2021-04-19,138152831.42,0.3595,0.415,0.317,0.3211,-0.09,
2021-04-20,67285521.19,0.3211,0.336,0.2912,0.3023,-0.1,
2021-04-21,73605111.66,0.3024,0.3212,0.2782,0.2818,-0.11,
2021-04-22,65269949.0,0.2811,0.298,0.25,0.2542,-0.12,
2021-04-23,75171468.8,0.2532,0.2565,0.1965,0.2253,-0.12,
2021-04-24,125369787.51,0.2266,0.2981,0.196,0.2634,-0.13,
2021-04-25,218462151.77,0.2636,0.317,0.2262,0.2439,-0.13,
2021-04-26,103161568.99,0.2439,0.2775,0.2404,0.2695,-0.12,
2021-04-27,261971203.91,0.2694,0.3798,0.2565,0.3385,-0.12,21.77
2021-04-28,371839475.67,0.3385,0.4278,0.32,0.3537,-0.11,29.49
2021-04-29,371449330.27,0.3538,0.495,0.3536,0.4382,-0.09,46.14
2021-04-30,182959258.67,0.4393,0.4713,0.411,0.4276,-0.08,54.92
2021-05-01,239952907.89,0.4281,0.5177,0.417,0.4747,-0.06,57.72
2021-05-02,1090284466.36,0.475,0.8786,0.4553,0.7549,-0.03,77.29
2021-05-03,650270981.07,0.7549,0.869,0.6618,0.7,-0.01,75.58
2021-05-04,350179649.47,0.7,0.7293,0.5762,0.5896,0.0,67.26
2021-05-05,298742347.94,0.5893,0.7259,0.5853,0.6197,0.01,70.07
2021-05-06,256256463.32,0.6195,0.6949,0.582,0.605,0.02,71.16
2021-05-07,214011497.85,0.605,0.6519,0.4936,0.5272,0.02,67.2
2021-05-08,177976563.38,0.5272,0.58,0.4959,0.5172,0.01,64.94
2021-05-09,432481107.88,0.517,0.648,0.46,0.6238,0.02,70.28
2021-05-10,379372276.67,0.6243,0.69,0.471,0.5004,0.02,61.16
2021-05-11,178962498.96,0.5003,0.5426,0.475,0.5195,0.01,59.19
2021-05-12,226727466.86,0.518,0.566,0.3724,0.3828,0.0,51.32
2021-05-13,185329837.02,0.3847,0.4406,0.3377,0.3746,-0.01,46.91
2021-05-14,149210886.0,0.3746,0.4348,0.3687,0.4056,-0.02,48.95
2021-05-15,116149633.27,0.4053,0.413,0.3427,0.3508,-0.03,44.14
2021-05-16,149071924.38,0.3506,0.4089,0.326,0.3643,-0.03,25.32
2021-05-17,214853412.66,0.3646,0.419,0.3077,0.3539,-0.04,26.82
2021-05-18,141373548.43,0.3538,0.39,0.3334,0.3447,-0.04,31.03
2021-05-19,225508644.77,0.3448,0.3541,0.1842,0.2125,-0.05,22.77
2021-05-20,157860229.43,0.2129,0.275,0.192,0.2442,-0.06,26.41
2021-05-21,152937583.24,0.2436,0.2642,0.1693,0.2021,-0.07,27.7
2021-05-22,116030455.28,0.2022,0.2117,0.17,0.1829,-0.08,27.35
2021-05-23,159257456.87,0.1828,0.187,0.1121,0.1382,-0.08,14.09
2021-05-24,165920382.86,0.1381,0.1786,0.1357,0.1724,-0.09,22.06
2021-05-25,181402388.44,0.1724,0.185,0.1462,0.1782,-0.09,20.25
2021-05-26,344064050.2,0.1785,0.2745,0.1692,0.2541,-0.08,37.45
2021-05-27,224017583.8,0.2541,0.272,0.2081,0.2362,-0.08,36.76
2021-05-28,203312643.44,0.2365,0.2448,0.1888,0.2051,-0.08,30.82
2021-05-29,130695474.23,0.205,0.223,0.17,0.1835,-0.07,32.91
2021-05-30,121641482.1,0.1832,0.2063,0.167,0.1896,-0.07,31.88
2021-05-31,105776695.81,0.1898,0.2076,0.1752,0.2066,-0.07,34.93
2021-06-01,94858334.04,0.2066,0.2149,0.1866,0.1926,-0.07,34.59
2021-06-02,98407539.96,0.1927,0.2086,0.1865,0.1974,-0.06,47.94
2021-06-03,113102916.45,0.1973,0.2173,0.1921,0.2111,-0.06,45.25
2021-06-04,113831100.82,0.2112,0.2134,0.1722,0.1809,-0.06,46.85
2021-06-05,87103225.7,0.1809,0.195,0.1666,0.1718,-0.06,48.3
2021-06-06,58091649.57,0.1718,0.1796,0.1682,0.1751,-0.05,56.48
2021-06-07,97006714.98,0.175,0.1825,0.15,0.1516,-0.05,46.2
2021-06-08,117588967.34,0.1514,0.159,0.1269,0.1434,-0.05,43.7
2021-06-09,110641513.79,0.1435,0.1595,0.1351,0.1529,-0.05,25.9
2021-06-10,74169480.43,0.1528,0.1543,0.1365,0.1394,-0.05,26.46
2021-06-11,189968452.57,0.1395,0.17,0.134,0.1574,-0.05,37.61
2021-06-12,93500961.11,0.1572,0.1574,0.1352,0.1403,-0.05,38.51
2021-06-13,76952752.38,0.1402,0.1515,0.1366,0.1475,-0.05,38.87
2021-06-14,93134076.01,0.1474,0.1575,0.1442,0.148,-0.04,33.02
2021-06-15,78899147.35,0.1481,0.1539,0.1432,0.1489,-0.04,36.3
2021-06-16,61088087.68,0.1487,0.1493,0.1371,0.1397,-0.04,32.4
2021-06-17,52035470.19,0.1397,0.1449,0.1343,0.1365,-0.04,25.68
2021-06-18,86812304.78,0.1366,0.1411,0.118,0.1247,-0.04,29.19
2021-06-19,101255789.67,0.1246,0.1371,0.118,0.1183,-0.04,29.78
2021-06-20,91363706.31,0.1183,0.1267,0.1102,0.1215,-0.04,29.73
2021-06-21,137430334.97,0.1216,0.1226,0.0903,0.0909,-0.04,28.21
2021-06-22,214925820.18,0.0906,0.0994,0.0685,0.0813,-0.04,27.93
2021-06-23,142861398.65,0.0813,0.0965,0.0775,0.0864,-0.04,25.61
2021-06-24,98501685.48,0.0864,0.0898,0.0788,0.0856,-0.04,28.24
2021-06-25,105289100.94,0.0857,0.089,0.0715,0.0733,-0.04,14.33
2021-06-26,119864897.71,0.0733,0.0746,0.0663,0.0714,-0.04,16.46
2021-06-27,110939429.37,0.0715,0.0768,0.0696,0.0755,-0.04,13.86
2021-06-28,132176846.48,0.0756,0.0835,0.0737,0.0806,-0.04,17.66
2021-06-29,136581025.56,0.0805,0.0844,0.0779,0.0791,-0.04,16.7
2021-06-30,111433453.89,0.0791,0.0811,0.0709,0.0784,-0.03,18.17
2021-07-01,79183685.0,0.0786,0.0791,0.0701,0.0721,-0.03,17.61
2021-07-02,77900477.12,0.0721,0.0757,0.071,0.0738,-0.03,21.5
2021-07-03,93860157.12,0.0737,0.0804,0.0727,0.0785,-0.03,27.28
2021-07-04,277948319.13,0.0785,0.0974,0.0759,0.0888,-0.03,32.73
2021-07-05,161294157.28,0.0888,0.0889,0.079,0.0819,-0.03,43.66
2021-07-06,217770173.82,0.0818,0.096,0.0813,0.0926,-0.02,57.84
2021-07-07,414345451.2,0.0926,0.1179,0.0895,0.1023,-0.02,60.37
2021-07-08,350183053.58,0.1023,0.1177,0.0878,0.0902,-0.02,52.61
2021-07-09,201255393.7,0.0902,0.0984,0.0816,0.0946,-0.02,63.3
2021-07-10,299401225.24,0.0947,0.1095,0.0942,0.1004,-0.01,67.26
2021-07-11,537871692.54,0.1005,0.1349,0.0976,0.1302,-0.01,74.93
2021-07-12,341713396.96,0.1303,0.1345,0.1105,0.1212,-0.01,67.87
2021-07-13,978876302.05,0.1212,0.1644,0.1186,0.1546,-0.0,75.95
2021-07-14,1424536380.76,0.1548,0.2467,0.1401,0.2283,0.01,84.3
2021-07-15,2169840401.84,0.2282,0.3313,0.2092,0.2424,0.02,87.63
2021-07-16,1280173817.46,0.2422,0.2688,0.1711,0.1797,0.02,68.43
2021-07-17,899365501.15,0.1797,0.1923,0.1599,0.1703,0.02,65.72
2021-07-18,1208126441.68,0.1704,0.2187,0.1681,0.1977,0.02,67.62
2021-07-19,727568300.14,0.1977,0.211,0.153,0.1605,0.02,61.58
2021-07-20,658917939.34,0.1605,0.1631,0.1291,0.1358,0.01,56.11
2021-07-21,1133719436.37,0.1357,0.1819,0.1313,0.1768,0.02,59.68
2021-07-22,1206481834.97,0.1768,0.1967,0.1702,0.172,0.02,60.84
2021-07-23,1713517830.78,0.1721,0.2677,0.1719,0.244,0.02,66.79
2021-07-24,1685011227.41,0.2444,0.306,0.2277,0.2848,0.03,69.21
2021-07-25,2261558782.5,0.2848,0.3743,0.2379,0.3683,0.04,72.31
2021-07-26,1452516067.52,0.3681,0.3693,0.2618,0.2741,0.04,62.35
2021-07-27,1578225753.52,0.2741,0.3518,0.2506,0.3234,0.05,63.3
2021-07-28,732433568.17,0.3235,0.344,0.286,0.2943,0.05,55.59
2021-07-29,611238502.77,0.2944,0.321,0.28,0.2929,0.05,54.37
2021-07-30,539770359.48,0.2931,0.309,0.2691,0.2873,0.05,60.34
2021-07-31,668276198.33,0.2873,0.3296,0.2805,0.3053,0.05,62.76
2021-08-01,415526156.33,0.3056,0.3079,0.2759,0.2837,0.04,58.22
2021-08-02,345702424.35,0.284,0.3037,0.277,0.2806,0.04,62.28
2021-08-03,319786712.88,0.2808,0.2841,0.2518,0.2627,0.04,63.16
2021-08-04,406819857.08,0.2627,0.2884,0.2568,0.2767,0.04,60.97
2021-08-05,336980005.61,0.2763,0.2868,0.2621,0.2776,0.03,61.7
2021-08-06,461656648.97,0.2777,0.31,0.268,0.2894,0.03,55.8
2021-08-07,342998838.65,0.2894,0.305,0.2723,0.2812,0.03,49.5
2021-08-08,320451372.06,0.281,0.2965,0.26,0.2687,0.03,32.68
2021-08-09,333809600.38,0.2687,0.2891,0.2556,0.2806,0.03,51.58
2021-08-10,616686461.53,0.2806,0.322,0.2741,0.3104,0.03,46.5
2021-08-11,476104365.33,0.3103,0.3266,0.284,0.2877,0.03,48.16
2021-08-12,403029635.13,0.2878,0.304,0.2633,0.271,0.02,44.38
2021-08-13,269874490.82,0.271,0.2996,0.2704,0.2926,0.02,51.26
2021-08-14,349596945.88,0.2926,0.312,0.2748,0.289,0.02,45.85
2021-08-15,730694759.79,0.2893,0.3435,0.2861,0.3202,0.02,58.86
2021-08-16,534677318.69,0.32,0.3398,0.2887,0.2964,0.02,53.49
2021-08-17,435193739.79,0.2966,0.3157,0.27,0.2771,0.02,53.16
