date,volume,open,high,low,close,MACD,RSI
2019-08-24,2986660.21,0.58,0.8888,0.5207,0.539,0.0,
2019-08-25,5369668.65,0.539,0.741,0.5017,0.7049,0.01,
2019-08-26,3697824.32,0.707,0.76,0.6096,0.6205,0.02,
2019-08-27,1113530.16,0.613,0.6469,0.5555,0.5705,0.02,
2019-08-28,770194.91,0.569,0.5893,0.4829,0.4899,0.01,
2019-08-29,537037.35,0.4898,0.518,0.455,0.4762,0.0,
2019-08-30,682338.1,0.4762,0.55,0.4628,0.48,-0.01,
2019-08-31,176851.27,0.48,0.4935,0.4655,0.4715,-0.01,
2019-09-01,269560.7,0.4761,0.5099,0.466,0.475,-0.01,
2019-09-02,295295.49,0.4788,0.4824,0.4502,0.463,-0.02,
2019-09-03,336137.89,0.4643,0.4665,0.437,0.458,-0.02,
2019-09-04,320410.71,0.4577,0.4898,0.4321,0.4401,-0.02,
2019-09-05,280982.9,0.4373,0.4775,0.4285,0.4397,-0.03,
2019-09-06,208219.59,0.434,0.4408,0.3958,0.4015,-0.03,
2019-09-07,231830.08,0.4015,0.4393,0.3922,0.4107,-0.03,36.99
2019-09-08,201806.16,0.4121,0.4562,0.41,0.4324,-0.03,10.95
2019-09-09,292476.66,0.4322,0.4459,0.4047,0.4078,-0.03,13.21
2019-09-10,305004.73,0.4112,0.4211,0.398,0.4048,-0.04,15.78
2019-09-11,109277.34,0.4072,0.4116,0.3822,0.3887,-0.04,21.51
2019-09-12,152717.34,0.3918,0.4016,0.3605,0.3611,-0.04,19.95
2019-09-13,153844.6,0.3616,0.3749,0.3546,0.3581,-0.04,18.04
2019-09-14,52799.84,0.3573,0.3686,0.35,0.3646,-0.04,21.67
2019-09-15,141924.87,0.3678,0.394,0.3591,0.382,-0.04,27.05
2019-09-16,232347.84,0.3806,0.381,0.3507,0.367,-0.04,26.65
2019-09-17,144062.52,0.367,0.3805,0.358,0.379,-0.04,31.42
2019-09-18,315890.66,0.3757,0.447,0.37,0.4132,-0.04,44.12
2019-09-19,187664.74,0.4133,0.4176,0.378,0.3957,-0.03,41.06
2019-09-20,161821.29,0.3983,0.4344,0.3889,0.4164,-0.03,53.26
2019-09-21,113932.78,0.4164,0.4229,0.3927,0.3963,-0.03,46.99
2019-09-22,194614.15,0.3929,0.3988,0.3624,0.3659,-0.03,36.6
2019-09-23,192074.88,0.3644,0.3691,0.3468,0.35,-0.03,37.93
2019-09-24,286853.39,0.35,0.3666,0.2625,0.2977,-0.03,31.45
2019-09-25,118993.09,0.2977,0.3179,0.2698,0.2981,-0.04,33.41
2019-09-26,141270.74,0.2949,0.3294,0.2733,0.2858,-0.04,35.39
2019-09-27,128795.98,0.2891,0.3137,0.2829,0.3096,-0.04,41.29
2019-09-28,83806.56,0.3137,0.3202,0.3039,0.3153,-0.04,41.12
2019-09-29,72816.26,0.3154,0.3154,0.29,0.2977,-0.04,34.83
2019-09-30,105406.51,0.2977,0.3221,0.2953,0.3105,-0.04,39.75
2019-10-01,115209.97,0.3111,0.3209,0.2989,0.302,-0.04,35.86
2019-10-02,138029.34,0.302,0.3235,0.2998,0.3213,-0.04,32.14
2019-10-03,159082.44,0.321,0.3325,0.3091,0.3201,-0.03,34.32
2019-10-04,58835.85,0.32,0.329,0.3091,0.3217,-0.03,28.66
2019-10-05,84677.95,0.3217,0.3261,0.3125,0.3222,-0.03,31.69
2019-10-06,92150.15,0.323,0.323,0.3074,0.3171,-0.03,36.21
2019-10-07,115695.96,0.3162,0.34,0.31,0.337,-0.02,46.41
2019-10-08,304454.41,0.3391,0.3746,0.3326,0.3536,-0.02,69.24
2019-10-09,313127.31,0.3536,0.3657,0.3398,0.3599,-0.02,70.44
2019-10-10,169415.58,0.3599,0.372,0.351,0.3523,-0.01,72.7
