date,volume,open,high,low,close,MACD,RSI
2020-08-29,206615.787,45.07,100.0,45.07,74.989,0.0,
2020-08-30,323136.286,74.99,90.101,70.1,71.8,-0.25,
2020-08-31,118219.115,72.141,75.033,64.496,68.369,-0.72,
2020-09-01,168599.892,68.406,75.0,57.906,60.222,-1.73,
2020-09-02,97841.991,60.213,68.3,54.183,59.371,-2.57,
2020-09-03,190848.935,59.353,62.057,40.0,43.052,-4.5,
2020-09-04,113531.875,43.216,49.19,40.5,45.419,-5.78,
2020-09-05,169215.08,45.496,47.046,25.834,30.78,-7.87,
2020-09-06,230695.906,30.497,39.999,25.7,38.404,-8.82,
2020-09-07,296600.177,38.341,45.0,29.192,37.849,-9.51,
2020-09-08,165461.535,37.999,38.499,30.5,32.841,-10.33,
2020-09-09,138942.316,32.825,37.789,30.617,34.568,-10.73,
2020-09-10,134341.756,34.525,40.227,34.474,37.036,-10.72,
2020-09-11,102427.579,37.006,39.75,32.06,37.92,-10.51,
2020-09-12,232593.732,37.938,46.97,36.376,44.449,-9.72,29.29
2020-09-13,162634.831,44.328,45.0,35.886,39.203,-9.4,28.5
2020-09-14,121149.537,39.218,41.888,36.8,39.07,-9.05,29.79
2020-09-15,117901.173,38.946,39.161,31.88,32.0,-9.24,30.24
2020-09-16,116955.568,31.944,33.689,28.77,30.443,-9.41,29.95
2020-09-17,101858.33,30.44,32.884,28.893,30.483,-9.43,38.75
2020-09-18,134842.94,30.758,34.144,29.306,31.311,-9.28,37.01
2020-09-19,107300.051,31.314,31.341,28.393,30.792,-9.09,50.01
2020-09-20,96356.414,30.718,31.915,26.871,27.737,-9.08,35.03
2020-09-21,218133.412,27.737,28.334,20.5,21.71,-9.45,30.36
2020-09-22,152266.756,21.795,22.77,19.809,21.4,-9.66,34.28
2020-09-23,333813.864,21.485,26.687,18.57,19.252,-9.89,29.2
2020-09-24,155887.251,19.213,22.45,18.873,22.45,-9.69,30.57
2020-09-25,151973.362,22.388,24.098,19.912,23.06,-9.39,30.06
2020-09-26,110817.574,23.107,25.0,22.023,23.567,-9.0,16.59
2020-09-27,72709.85,23.579,24.009,21.799,23.059,-8.63,19.55
2020-09-28,145353.892,23.098,26.917,22.677,24.916,-8.09,24.93
2020-09-29,125303.113,24.917,25.551,22.56,23.401,-7.7,31.04
2020-09-30,93154.461,23.474,23.645,21.714,22.403,-7.39,31.83
