date,volume,open,high,low,close,MACD,RSI
2021-08-24,135045413.0,0.6822,1.1,0.6822,0.8668,0.0,
2021-08-25,60592305.0,0.8672,0.93,0.805,0.849,-0.0,
2021-08-26,45476870.0,0.849,0.9204,0.84,0.8797,-0.0,
2021-08-27,24409409.0,0.8796,0.91,0.8565,0.8649,-0.0,
2021-08-28,15536856.0,0.8649,0.8725,0.8319,0.834,-0.0,
2021-08-29,22022025.0,0.8342,0.8463,0.7651,0.7949,-0.01,
2021-08-30,11616733.0,0.7951,0.7984,0.766,0.7688,-0.01,
2021-08-31,12422536.0,0.769,0.8105,0.7652,0.7856,-0.02,
2021-09-01,23352817.0,0.7856,0.8828,0.774,0.8032,-0.02,
2021-09-02,10158225.0,0.8038,0.815,0.7863,0.8006,-0.02,
2021-09-03,6296446.0,0.8012,0.82,0.794,0.7973,-0.02,
2021-09-04,6621524.0,0.7978,0.8003,0.7778,0.7822,-0.02,
2021-09-05,6665663.0,0.7825,0.7925,0.7569,0.7715,-0.02,
2021-09-06,8240042.0,0.7724,0.7975,0.7625,0.7676,-0.02,
2021-09-07,14404970.0,0.7682,0.7695,0.6,0.6658,-0.03,19.66
2021-09-08,7559522.0,0.6656,0.68,0.6383,0.6524,-0.04,19.92
2021-09-09,7130787.0,0.6536,0.6736,0.6376,0.644,-0.05,11.3
2021-09-10,5278707.0,0.6442,0.6626,0.6083,0.6202,-0.05,10.97
2021-09-11,7152985.0,0.6215,0.6434,0.5853,0.6055,-0.06,11.57
2021-09-12,5675095.0,0.607,0.6471,0.5986,0.632,-0.06,21.39
2021-09-13,33280945.0,0.632,0.7329,0.5945,0.626,-0.06,23.02
2021-09-14,7064848.0,0.6259,0.6434,0.605,0.6287,-0.06,18.68
2021-09-15,7653977.0,0.6297,0.642,0.6089,0.631,-0.06,13.39
2021-09-16,22070531.0,0.6321,0.688,0.6291,0.6781,-0.05,28.1
2021-09-17,10210256.0,0.6781,0.6789,0.6295,0.6405,-0.05,25.03
2021-09-18,4177058.0,0.6408,0.6524,0.6311,0.6378,-0.05,26.06
2021-09-19,2391487.0,0.6374,0.648,0.6297,0.6334,-0.05,26.62
2021-09-20,79725911.0,0.6326,0.9035,0.6248,0.6498,-0.05,30.86
2021-09-21,14373515.0,0.6515,0.6566,0.6012,0.6088,-0.05,38.46
2021-09-22,9045379.0,0.6088,0.6616,0.6052,0.6229,-0.05,44.05
2021-09-23,7736577.0,0.6229,0.6298,0.6125,0.6221,-0.04,45.44
2021-09-24,12576754.0,0.6221,0.6251,0.5904,0.5984,-0.04,45.46
2021-09-25,3252664.0,0.6,0.6023,0.5847,0.5897,-0.04,46.62
2021-09-26,4969969.0,0.5891,0.602,0.5742,0.5804,-0.04,38.1
2021-09-27,3862123.0,0.581,0.5953,0.5772,0.5827,-0.04,39.84
2021-09-28,9258130.0,0.5812,0.605,0.5805,0.5912,-0.04,41.43
2021-09-29,4366024.0,0.5912,0.598,0.5818,0.587,-0.04,40.04
2021-09-30,3066411.0,0.5864,0.5919,0.5801,0.5868,-0.04,23.75
2021-10-01,8600855.0,0.5868,0.6335,0.5808,0.6192,-0.04,43.69
2021-10-02,3946914.0,0.6193,0.6264,0.6061,0.6091,-0.03,41.85
2021-10-03,2528371.0,0.6093,0.6209,0.606,0.6144,-0.03,44.63
2021-10-04,5157551.0,0.6148,0.62,0.6011,0.6126,-0.03,38.55
2021-10-05,7025373.0,0.6137,0.6551,0.6084,0.6378,-0.02,59.89
2021-10-06,20957194.0,0.6386,0.7463,0.6318,0.6481,-0.02,58.82
2021-10-07,5650510.0,0.6475,0.6559,0.6341,0.6498,-0.01,59.64
2021-10-08,3856979.0,0.6498,0.6663,0.6466,0.6522,-0.01,71.98
2021-10-09,12950626.0,0.6516,0.73,0.6503,0.7208,-0.0,85.96
2021-10-10,6947414.0,0.7205,0.7524,0.7062,0.7218,0.0,90.63
2021-10-11,16568557.0,0.7207,0.81,0.7201,0.796,0.01,93.37
2021-10-12,25790366.0,0.796,0.899,0.7835,0.8941,0.03,95.14
2021-10-13,12328352.0,0.8938,0.9181,0.8719,0.9063,0.04,96.48
2021-10-14,5590004.0,0.9049,0.91,0.8645,0.8725,0.05,87.88
2021-10-15,5033475.0,0.8718,0.872,0.8118,0.8151,0.05,74.36
2021-10-16,2645109.0,0.8156,0.8463,0.815,0.8445,0.05,77.93
2021-10-17,2424350.0,0.8445,0.85,0.8257,0.8315,0.05,75.3
2021-10-18,1245172.0,0.8319,0.8413,0.827,0.8305,0.05,75.44
2021-10-19,3427646.0,0.8296,0.8363,0.7927,0.8194,0.05,71.92
2021-10-20,2863336.0,0.8193,0.8269,0.7976,0.814,0.05,70.27
2021-10-21,5916605.0,0.8128,0.8652,0.8031,0.8619,0.05,73.28
2021-10-22,9151657.0,0.863,0.98,0.8524,0.896,0.05,75.02
2021-10-23,3565823.0,0.8957,0.9228,0.8954,0.8994,0.06,71.16
2021-10-24,2888618.0,0.9003,0.9206,0.89,0.8971,0.06,70.71
2021-10-25,2448904.0,0.8966,0.91,0.888,0.906,0.06,65.36
2021-10-26,3473354.0,0.9054,0.9224,0.8968,0.9019,0.06,51.48
2021-10-27,5042573.0,0.901,0.92,0.8694,0.889,0.05,46.73
2021-10-28,2999662.0,0.8897,0.9081,0.8651,0.8883,0.05,53.41
2021-10-29,1764237.0,0.8878,0.9025,0.8794,0.8943,0.05,71.98
2021-10-30,1965968.0,0.8943,0.9065,0.8815,0.8901,0.05,64.71
2021-10-31,1787282.0,0.891,0.9021,0.882,0.8921,0.05,71.04
2021-11-01,1888038.0,0.8923,0.907,0.8813,0.9032,0.04,73.59
2021-11-02,3641319.0,0.9034,0.925,0.8981,0.9222,0.04,81.73
2021-11-03,2935784.0,0.9226,0.935,0.8975,0.9183,0.04,82.49
2021-11-04,7703534.0,0.9201,0.9766,0.9026,0.9556,0.05,81.25
2021-11-05,9632429.0,0.9556,1.0699,0.9453,1.0645,0.05,87.49
2021-11-06,12579200.0,1.0668,1.1141,1.0334,1.0982,0.06,88.98
2021-11-07,6210014.0,1.0987,1.172,1.0812,1.1117,0.07,90.31
2021-11-08,2822456.0,1.112,1.1267,1.0954,1.1234,0.08,90.41
2021-11-09,5251169.0,1.1229,1.1912,1.1039,1.1499,0.08,92.55
2021-11-10,7363130.0,1.152,1.242,1.1475,1.1844,0.09,97.19
2021-11-11,10519890.0,1.1845,1.3545,1.1674,1.324,0.11,98.21
2021-11-12,5967507.0,1.3272,1.35,1.267,1.269,0.11,87.4
2021-11-13,6325355.0,1.2676,1.2765,1.192,1.2496,0.11,84.83
2021-11-14,1322077.0,1.2478,1.2525,1.2312,1.2394,0.11,83.12
2021-11-15,2634620.0,1.2394,1.2444,1.1861,1.2191,0.11,79.61
2021-11-16,12036625.0,1.219,1.358,1.184,1.248,0.11,79.98
2021-11-17,7746646.0,1.2512,1.2676,1.0985,1.0985,0.1,63.08
