date,volume,open,high,low,close,MACD,RSI
2021-01-19,68277436.22,0.2466,0.385,0.2466,0.2751,0.0,
2021-01-20,21395633.73,0.2772,0.2893,0.2358,0.271,-0.0,
2021-01-21,10326540.37,0.2697,0.2803,0.22,0.2315,-0.0,
2021-01-22,7526826.76,0.2315,0.246,0.2014,0.2373,-0.01,
2021-01-23,6300422.55,0.2372,0.2446,0.2186,0.2263,-0.01,
2021-01-24,11759119.41,0.2264,0.2592,0.2181,0.2514,-0.01,
2021-01-25,8555914.12,0.2513,0.27,0.233,0.2381,-0.01,
2021-01-26,7937679.63,0.238,0.2497,0.2165,0.2361,-0.01,
2021-01-27,4699081.64,0.2362,0.2362,0.2058,0.216,-0.01,
2021-01-28,6607612.26,0.2154,0.246,0.2101,0.2271,-0.01,
2021-01-29,5918330.83,0.2272,0.2425,0.2182,0.2316,-0.01,
2021-01-30,6014939.5,0.2308,0.237,0.2204,0.2292,-0.01,
2021-01-31,12043864.17,0.2296,0.2685,0.2272,0.2493,-0.01,
2021-02-01,7231184.71,0.2489,0.2489,0.2206,0.2332,-0.01,
2021-02-02,7420791.09,0.233,0.271,0.2302,0.2619,-0.01,46.76
2021-02-03,10960515.66,0.2612,0.2959,0.2514,0.2891,-0.0,53.99
2021-02-04,8879193.36,0.2891,0.292,0.2514,0.269,-0.0,59.04
2021-02-05,11694537.66,0.2686,0.3226,0.2665,0.3016,0.0,63.72
2021-02-06,12133369.07,0.3018,0.328,0.282,0.3154,0.01,68.79
2021-02-07,42537482.76,0.3154,0.3599,0.289,0.3128,0.01,64.31
2021-02-08,17131319.78,0.3128,0.4176,0.3115,0.3853,0.02,76.88
2021-02-09,15084980.92,0.3878,0.4412,0.3669,0.39,0.02,77.83
2021-02-10,14516606.67,0.3903,0.4655,0.3698,0.3941,0.03,84.18
2021-02-11,11664167.99,0.3941,0.468,0.3844,0.4406,0.04,86.08
2021-02-12,15764864.56,0.4403,0.5333,0.4302,0.5263,0.05,89.07
2021-02-13,16406139.95,0.5295,0.6335,0.5225,0.5565,0.06,90.42
2021-02-14,10384124.53,0.5596,0.5617,0.4583,0.4958,0.06,77.67
2021-02-15,19462861.94,0.4958,0.5,0.4,0.4622,0.06,74.73
2021-02-16,6606102.06,0.4649,0.49,0.4353,0.448,0.06,70.75
2021-02-17,8533477.18,0.4482,0.4664,0.4242,0.4633,0.06,69.95
2021-02-18,10347710.54,0.4634,0.5399,0.46,0.5167,0.06,76.36
2021-02-19,13170946.29,0.5167,0.5206,0.4459,0.4556,0.06,65.45
2021-02-20,13488985.93,0.4561,0.4647,0.3853,0.3956,0.05,57.36
2021-02-21,9255556.55,0.3957,0.44,0.392,0.4202,0.04,59.48
2021-02-22,11208923.24,0.4205,0.439,0.3356,0.38,0.04,49.5
2021-02-23,15747262.65,0.38,0.399,0.2934,0.3214,0.03,44.17
2021-02-24,7564250.05,0.3214,0.3622,0.3105,0.3236,0.02,43.99
2021-02-25,7912856.2,0.3231,0.341,0.2877,0.2917,0.01,36.98
2021-02-26,9434157.5,0.2926,0.3158,0.2664,0.2875,-0.0,25.64
2021-02-27,7163968.22,0.2875,0.313,0.2801,0.2876,-0.01,20.78
2021-02-28,5801270.47,0.2866,0.3014,0.254,0.2731,-0.01,23.1
2021-03-01,13123080.11,0.2739,0.38,0.2739,0.3449,-0.01,37.03
2021-03-02,11906659.65,0.3446,0.3562,0.306,0.3209,-0.01,36.24
2021-03-03,5114566.62,0.3209,0.3595,0.3163,0.3241,-0.01,34.53
2021-03-04,5689151.93,0.3241,0.3491,0.312,0.3194,-0.01,25.41
2021-03-05,3961621.61,0.3196,0.3438,0.298,0.3378,-0.01,33.57
2021-03-06,3840996.99,0.3386,0.344,0.309,0.34,-0.01,40.75
2021-03-07,7149611.79,0.3379,0.385,0.3299,0.3713,-0.01,42.04
2021-03-08,6730569.03,0.3707,0.3853,0.3383,0.3844,-0.0,50.79
