date,volume,open,high,low,close,MACD,RSI
2018-06-11,72569508.9,0.05,0.05,0.04258,0.0484,0.0,
2018-06-12,189962494.5,0.04837,0.04849,0.04081,0.0433,-0.0,
2018-06-13,468993557.7,0.04332,0.04476,0.03726,0.04098,-0.0,
2018-06-14,488364234.2,0.04093,0.04574,0.03992,0.04505,-0.0,
2018-06-15,406097492.9,0.04506,0.04592,0.04149,0.04232,-0.0,
2018-06-16,353640751.6,0.04229,0.0436,0.04085,0.04295,-0.0,
2018-06-17,321205248.9,0.04294,0.0435,0.04219,0.04234,-0.0,
2018-06-18,444293609.8,0.04235,0.046,0.04111,0.04509,-0.0,
2018-06-19,682069690.9,0.0451,0.05216,0.0443,0.04965,-0.0,
2018-06-20,627484487.3,0.04967,0.05036,0.04542,0.0498,-0.0,
2018-06-21,487517074.1,0.04979,0.05092,0.0473,0.0487,-0.0,
2018-06-22,704300814.0,0.04868,0.0493,0.04125,0.0427,-0.0,
2018-06-23,410180684.7,0.04271,0.04496,0.04206,0.044,-0.0,
2018-06-24,674573640.7,0.04397,0.04444,0.03755,0.04205,-0.0,
2018-06-25,331759214.9,0.04205,0.04372,0.04075,0.04208,-0.0,40.51
2018-06-26,214435118.9,0.04208,0.0423,0.03729,0.03737,-0.0,40.99
2018-06-27,266803436.0,0.03736,0.03996,0.03666,0.03888,-0.0,46.73
2018-06-28,355103306.8,0.03895,0.03981,0.03562,0.03605,-0.0,35.42
2018-06-29,616344265.0,0.03596,0.03719,0.03315,0.03638,-0.0,39.56
2018-06-30,721706327.6,0.03645,0.03997,0.03587,0.03756,-0.0,40.71
2018-07-01,323005581.9,0.0376,0.03784,0.03601,0.03665,-0.0,40.29
2018-07-02,617553915.6,0.03662,0.04298,0.03635,0.03962,-0.0,40.74
2018-07-03,543676860.7,0.03964,0.04079,0.0378,0.03808,-0.0,28.18
2018-07-04,257661875.5,0.03808,0.04012,0.03765,0.03888,-0.0,29.9
2018-07-05,756133477.3,0.03891,0.03968,0.0364,0.03703,-0.0,29.09
2018-07-06,431072065.4,0.03705,0.03722,0.03431,0.03584,-0.0,35.15
2018-07-07,380932296.8,0.03585,0.03731,0.03477,0.03704,-0.0,34.87
2018-07-08,387453974.3,0.03707,0.03814,0.0363,0.03677,-0.0,37.62
2018-07-09,370122418.9,0.03676,0.03686,0.0353,0.0355,-0.0,35.42
2018-07-10,504720829.6,0.03553,0.0358,0.03239,0.03318,-0.0,39.61
2018-07-11,548317548.3,0.03319,0.03451,0.0325,0.0335,-0.0,35.83
2018-07-12,529087683.3,0.0335,0.03351,0.03105,0.03242,-0.0,39.47
2018-07-13,624021052.5,0.03243,0.03474,0.03225,0.0332,-0.0,41.01
2018-07-14,624203829.4,0.0332,0.0339,0.03251,0.0333,-0.0,37.17
2018-07-15,594037396.1,0.03339,0.03495,0.03307,0.03437,-0.0,43.2
2018-07-16,736888244.3,0.03437,0.03778,0.03403,0.03751,-0.0,43.77
2018-07-17,852853141.4,0.03754,0.04093,0.03602,0.03973,-0.0,54.68
2018-07-18,1100192035.8,0.03976,0.0439,0.0384,0.03969,-0.0,52.4
2018-07-19,786159431.9,0.03967,0.03972,0.03735,0.03804,-0.0,53.03
2018-07-20,888893258.8,0.03802,0.03805,0.03434,0.03487,-0.0,47.4
2018-07-21,658043763.8,0.03482,0.03652,0.0336,0.03554,-0.0,45.86
2018-07-22,526288572.8,0.03555,0.03652,0.03486,0.0351,-0.0,45.43
2018-07-23,800259848.8,0.03507,0.03649,0.03394,0.03406,-0.0,46.01
2018-07-24,1334177931.1,0.03413,0.0392,0.03279,0.0379,-0.0,62.07
2018-07-25,1079161813.4,0.03796,0.03929,0.03609,0.03713,-0.0,59.07
2018-07-26,987999714.1,0.03717,0.03879,0.03535,0.03593,-0.0,58.72
2018-07-27,858778885.8,0.03586,0.03717,0.0351,0.03654,-0.0,58.37
2018-07-28,783963947.4,0.03656,0.03697,0.03573,0.0369,-0.0,58.9
2018-07-29,738737711.5,0.03693,0.041,0.0368,0.03905,-0.0,60.99
2018-07-30,725668372.4,0.03901,0.03961,0.03516,0.03635,-0.0,47.22
2018-07-31,968338101.2,0.03634,0.03643,0.03319,0.03373,-0.0,35.89
2018-08-01,931494824.3,0.0338,0.03395,0.03141,0.03252,-0.0,34.02
2018-08-02,857218305.6,0.03252,0.03317,0.03059,0.03128,-0.0,34.65
2018-08-03,889167873.0,0.03129,0.03155,0.02917,0.03039,-0.0,38.65
2018-08-04,818507481.3,0.0304,0.03126,0.02827,0.02879,-0.0,33.67
2018-08-05,628989651.8,0.02879,0.03059,0.0281,0.03025,-0.0,38.82
2018-08-06,813018411.6,0.03026,0.03109,0.02868,0.02912,-0.0,38.66
2018-08-07,869392315.3,0.02914,0.02995,0.02739,0.02766,-0.0,23.61
2018-08-08,1089655190.1,0.02767,0.02768,0.02325,0.02428,-0.0,20.81
2018-08-09,892745829.0,0.02426,0.02645,0.02348,0.02551,-0.0,26.36
2018-08-10,958839673.2,0.02551,0.02597,0.0231,0.02362,-0.0,22.3
2018-08-11,900529916.4,0.02366,0.02385,0.02167,0.02213,-0.0,19.8
2018-08-12,794533232.9,0.02215,0.02349,0.022,0.02248,-0.0,13.42
2018-08-13,955173349.8,0.02246,0.02278,0.01885,0.01909,-0.0,13.02
2018-08-14,997605288.3,0.01906,0.02201,0.016,0.01858,-0.0,14.32
2018-08-15,1235615851.5,0.01867,0.02074,0.01857,0.01918,-0.0,17.65
2018-08-16,766532158.3,0.01919,0.01997,0.01884,0.01931,-0.0,19.32
2018-08-17,986723126.9,0.01932,0.02346,0.01915,0.02333,-0.0,34.41
2018-08-18,791602787.4,0.02332,0.02463,0.02005,0.02131,-0.0,33.78
2018-08-19,410647406.4,0.02132,0.02284,0.02072,0.02205,-0.0,31.65
2018-08-20,660328745.5,0.02209,0.02263,0.02009,0.02035,-0.0,30.86
2018-08-21,693850189.4,0.02031,0.02116,0.01984,0.02091,-0.0,34.67
2018-08-22,786487263.9,0.02091,0.02234,0.01897,0.0195,-0.0,38.07
2018-08-23,791993545.3,0.01949,0.0208,0.01938,0.02067,-0.0,37.89
2018-08-24,752950617.2,0.02067,0.02163,0.02024,0.02152,-0.0,44.46
2018-08-25,581761722.2,0.02152,0.0228,0.02099,0.02238,-0.0,50.68
2018-08-26,668580322.4,0.02237,0.02312,0.02112,0.02273,-0.0,50.68
2018-08-27,800941626.7,0.02273,0.02473,0.0223,0.02461,-0.0,66.43
2018-08-28,1302925511.1,0.02464,0.0279,0.02419,0.02684,-0.0,72.3
2018-08-29,1023665564.4,0.02689,0.02729,0.02456,0.02538,-0.0,66.0
2018-08-30,815836917.9,0.02539,0.02596,0.02319,0.02495,-0.0,64.33
2018-08-31,621098533.9,0.02495,0.0257,0.02423,0.0253,-0.0,56.15
2018-09-01,668673283.5,0.02531,0.0273,0.0253,0.02666,-0.0,67.43
2018-09-02,645697439.7,0.02668,0.02669,0.02469,0.02568,-0.0,61.64
2018-09-03,502039171.8,0.02567,0.02589,0.02447,0.02507,-0.0,66.28
2018-09-04,498577158.0,0.02506,0.02592,0.02497,0.02524,-0.0,65.34
2018-09-05,975750188.0,0.02525,0.02551,0.0212,0.02153,-0.0,56.19
2018-09-06,818887295.8,0.0215,0.02198,0.02007,0.02163,-0.0,53.13
2018-09-07,545929787.0,0.02165,0.022,0.02015,0.02034,-0.0,46.26
2018-09-08,562509052.2,0.02032,0.0208,0.01867,0.01921,-0.0,40.12
2018-09-09,521294794.4,0.01919,0.02024,0.01878,0.01932,-0.0,39.22
2018-09-10,546863149.2,0.01932,0.02024,0.01876,0.01923,-0.0,30.81
2018-09-11,530585251.6,0.01926,0.01965,0.01776,0.0185,-0.0,16.69
2018-09-12,555482852.0,0.0185,0.01864,0.017,0.01823,-0.0,18.45
2018-09-13,754107316.8,0.01823,0.0206,0.01822,0.01984,-0.0,29.58
2018-09-14,705111152.3,0.01984,0.02073,0.0191,0.01966,-0.0,27.15
2018-09-15,434063202.3,0.01968,0.02046,0.01965,0.01986,-0.0,19.59
2018-09-16,438853959.1,0.01988,0.02013,0.01915,0.01994,-0.0,22.08
2018-09-17,672870993.2,0.01995,0.02028,0.01809,0.01839,-0.0,20.23
2018-09-18,509730607.1,0.01839,0.01965,0.01823,0.01928,-0.0,25.04
2018-09-19,609259635.1,0.01925,0.02021,0.01865,0.01976,-0.0,39.84
2018-09-20,766551294.7,0.01976,0.0219,0.01967,0.02134,-0.0,48.58
2018-09-21,1693572635.3,0.02133,0.0264,0.02106,0.02492,-0.0,68.35
2018-09-22,935098821.1,0.02492,0.0256,0.02229,0.02324,-0.0,65.46
2018-09-23,706826464.9,0.02323,0.02485,0.02308,0.02381,-0.0,66.64
2018-09-24,759692878.9,0.0238,0.02424,0.02172,0.02202,-0.0,59.18
2018-09-25,790633362.5,0.02203,0.02205,0.02013,0.0213,-0.0,59.22
2018-09-26,481622397.1,0.02132,0.02208,0.02032,0.02096,-0.0,58.95
2018-09-27,531358777.5,0.02095,0.02299,0.02065,0.0225,-0.0,58.76
2018-09-28,554670340.2,0.02248,0.02311,0.02126,0.02195,-0.0,57.36
2018-09-29,332078141.9,0.02193,0.02258,0.02111,0.02203,-0.0,57.03
2018-09-30,656971452.3,0.02202,0.02278,0.02177,0.02227,0.0,57.47
2018-10-01,596571091.9,0.02224,0.02245,0.02155,0.02209,0.0,63.01
2018-10-02,682474938.6,0.02209,0.02251,0.02175,0.02202,0.0,60.22
2018-10-03,674331750.0,0.02202,0.02204,0.02119,0.02165,0.0,57.11
2018-10-04,901405417.4,0.02166,0.02361,0.02162,0.0228,0.0,55.68
2018-10-05,753578548.7,0.02283,0.02359,0.02235,0.02343,0.0,42.48
2018-10-06,825146894.9,0.02345,0.0245,0.0229,0.02383,0.0,53.42
2018-10-07,1371815250.9,0.02383,0.02769,0.02365,0.02699,0.0,64.17
2018-10-08,1382741381.5,0.02699,0.02837,0.02597,0.02667,0.0,73.85
2018-10-09,836800674.0,0.02665,0.02693,0.02536,0.0261,0.0,75.0
2018-10-10,801056045.5,0.02608,0.02609,0.02461,0.02553,0.0,73.25
2018-10-11,1271929997.8,0.02553,0.02553,0.0207,0.02095,0.0,43.98
2018-10-12,1019616895.8,0.02096,0.02391,0.02063,0.0228,0.0,53.0
