date,volume,open,high,low,close,MACD,RSI
2023-07-07,425804.0,26.39,26.49,25.99,26.44,0.0,
2023-07-08,125307.0,26.44,26.45,26.33,26.37,-0.01,
2023-07-09,80723.0,26.37,26.4,26.33,26.37,-0.01,
2023-07-10,555095.0,26.35,26.39,26.21,26.3,-0.02,
2023-07-11,372719.0,26.3,26.31,26.21,26.29,-0.03,
2023-07-12,466540.0,26.3,26.44,26.21,26.35,-0.03,
2023-07-13,2316293.0,26.36,26.36,25.76,25.88,-0.06,
2023-07-14,1294562.0,25.89,26.48,25.52,26.44,-0.05,
2023-07-15,129478.0,26.44,26.47,26.34,26.42,-0.04,
2023-07-16,210596.0,26.44,26.5,26.39,26.48,-0.02,
2023-07-17,594080.0,26.5,26.71,26.35,26.59,-0.0,
2023-07-18,971308.0,26.59,27.48,26.5,27.43,0.08,
2023-07-19,649930.0,27.42,27.42,27.06,27.24,0.13,
2023-07-20,788211.0,27.26,27.48,27.1,27.31,0.17,
2023-07-21,296263.0,27.31,27.33,27.1,27.3,0.2,66.93
2023-07-22,183361.0,27.31,27.32,27.24,27.31,0.22,68.95
2023-07-23,181536.0,27.32,27.32,27.25,27.27,0.23,67.86
2023-07-24,1049424.0,27.28,27.33,27.13,27.25,0.24,69.23
2023-07-25,251170.0,27.26,27.27,27.12,27.22,0.24,68.67
2023-07-26,266623.0,27.21,27.29,27.16,27.23,0.24,68.03
2023-07-27,612532.0,27.24,27.25,27.12,27.2,0.23,83.0
2023-07-28,462690.0,27.2,27.22,27.09,27.22,0.22,76.71
2023-07-29,135366.0,27.22,27.22,27.17,27.2,0.21,76.71
2023-07-30,354873.0,27.2,27.21,27.12,27.12,0.2,71.62
2023-07-31,698168.0,27.13,27.15,26.92,27.11,0.18,68.84
2023-08-01,733827.0,27.11,27.2,27.06,27.16,0.17,27.12
2023-08-02,1362451.0,27.17,27.22,27.12,27.18,0.16,42.86
2023-08-03,366444.0,27.18,27.2,27.13,27.19,0.15,33.33
2023-08-04,333472.0,27.19,27.33,27.15,27.26,0.15,45.24
2023-08-05,231853.0,27.25,27.26,27.19,27.22,0.15,40.0
2023-08-06,114053.0,27.23,27.24,27.15,27.22,0.14,43.9
2023-08-07,359177.0,27.22,27.23,27.11,27.17,0.13,40.91
2023-08-08,921117.0,27.17,27.24,27.12,27.19,0.12,46.51
2023-08-09,816003.0,27.19,27.21,27.14,27.17,0.11,43.18
2023-08-10,416622.0,27.18,27.21,27.15,27.21,0.1,51.11
2023-08-11,318616.0,27.21,27.26,27.16,27.25,0.1,53.19
2023-08-12,285205.0,27.25,27.28,27.17,27.27,0.1,57.45
2023-08-13,315613.0,27.27,27.27,27.2,27.25,0.1,65.85
2023-08-14,438114.0,27.26,27.28,27.16,27.25,0.09,67.5
2023-08-15,315749.0,27.24,27.46,27.22,27.39,0.1,73.47
2023-08-16,275588.0,27.39,27.46,27.31,27.41,0.1,73.47
2023-08-17,670335.0,27.42,27.76,27.35,27.62,0.13,81.16
2023-08-18,363654.0,27.63,27.7,27.43,27.66,0.14,80.3
2023-08-19,54153.0,27.66,27.66,27.56,27.63,0.15,81.54
2023-08-20,75811.0,27.63,27.67,27.58,27.58,0.15,75.71
2023-08-21,367156.0,27.59,27.62,27.48,27.55,0.15,77.94
2023-08-22,432834.0,27.55,27.63,27.47,27.59,0.15,78.57
2023-08-23,415820.0,27.59,27.61,27.49,27.58,0.15,79.71
2023-08-24,1349924.0,27.58,27.59,25.66,26.83,0.08,36.43
2023-08-25,318463.0,26.83,27.29,26.66,27.24,0.07,49.72
2023-08-26,75473.0,27.24,27.33,27.1,27.3,0.06,50.83
2023-08-27,51876.0,27.31,27.31,27.18,27.18,0.04,48.17
2023-08-28,235061.0,27.19,27.23,26.8,26.9,0.0,42.01
2023-08-29,359566.0,26.9,26.97,26.78,26.94,-0.03,39.23
2023-08-30,184308.0,26.93,27.05,26.87,26.97,-0.04,39.52
2023-08-31,303799.0,26.96,27.0,26.78,26.96,-0.06,32.63
2023-09-01,392282.0,26.95,27.17,26.82,27.12,-0.05,36.63
