date,volume,open,high,low,close,MACD,RSI
2021-01-27,307684578.14,0.1698,0.5,0.1698,0.431,0.0,
2021-01-28,156658865.88,0.4312,0.4314,0.2919,0.3012,-0.01,
2021-01-29,74611336.58,0.3009,0.321,0.252,0.288,-0.02,
2021-01-30,47977142.59,0.2878,0.348,0.283,0.298,-0.03,
2021-01-31,26593050.22,0.298,0.3213,0.2833,0.2907,-0.03,
2021-02-01,21475119.72,0.2907,0.3197,0.2867,0.3018,-0.03,
2021-02-02,25317276.33,0.3018,0.3399,0.2963,0.3266,-0.03,
2021-02-03,30858737.15,0.3266,0.378,0.3265,0.3696,-0.03,
2021-02-04,42808973.21,0.3696,0.4405,0.34,0.413,-0.02,
2021-02-05,63899257.99,0.4127,0.55,0.4127,0.4634,-0.01,
2021-02-06,49875902.24,0.4661,0.5784,0.4202,0.5504,0.0,
2021-02-07,70201994.7,0.5504,0.666,0.5289,0.6096,0.02,
2021-02-08,48960143.51,0.6096,0.7244,0.5965,0.7042,0.04,
2021-02-09,32626756.58,0.7067,0.708,0.6152,0.6462,0.05,
2021-02-10,40395717.23,0.6463,0.7583,0.6049,0.6384,0.06,66.21
2021-02-11,22118423.42,0.6384,0.7487,0.6273,0.7212,0.07,85.44
2021-02-12,17525783.62,0.7237,0.7335,0.6711,0.695,0.07,83.6
2021-02-13,15910244.92,0.6938,0.7071,0.64,0.6552,0.07,78.11
2021-02-14,15360675.07,0.6551,0.6693,0.61,0.6397,0.07,77.11
2021-02-15,26036556.1,0.6397,0.642,0.511,0.5693,0.07,69.03
2021-02-16,20652421.77,0.5692,0.6676,0.5428,0.6453,0.07,71.13
2021-02-17,18253582.82,0.6454,0.68,0.5783,0.6617,0.07,70.08
2021-02-18,29202050.39,0.6625,0.7988,0.6512,0.7793,0.07,72.85
2021-02-19,39260986.92,0.7793,0.8871,0.7,0.87,0.09,74.14
2021-02-20,27299964.85,0.8699,0.871,0.671,0.7414,0.09,60.81
2021-02-21,16687857.5,0.7451,0.825,0.7162,0.7611,0.09,58.97
2021-02-22,25070707.68,0.7589,0.7614,0.571,0.7048,0.08,50.04
2021-02-23,21725218.53,0.7047,0.7079,0.531,0.6047,0.07,47.55
2021-02-24,14850028.74,0.605,0.6786,0.5691,0.6289,0.06,49.45
2021-02-25,12072318.09,0.6289,0.6395,0.5759,0.578,0.05,41.4
2021-02-26,13451638.38,0.5776,0.58,0.502,0.5413,0.03,40.88
2021-02-27,8831063.06,0.54,0.5679,0.5151,0.5362,0.02,42.64
2021-02-28,16074688.43,0.5362,0.5416,0.4167,0.4605,0.01,39.68
2021-03-01,13644332.49,0.462,0.55,0.4571,0.5334,0.0,47.94
2021-03-02,13236167.35,0.5334,0.57,0.49,0.5228,-0.0,42.4
