date,volume,open,high,low,close,MACD,RSI
2020-09-09,349921.119,15.83,19.33,15.108,16.131,0.0,
2020-09-10,322321.5,16.184,17.503,15.932,16.895,0.06,
2020-09-11,146906.716,16.929,18.0,15.43,17.723,0.17,
2020-09-12,133357.616,17.593,20.315,17.07,18.578,0.33,
2020-09-13,125207.265,18.685,19.147,15.796,17.186,0.34,
2020-09-14,46701.066,17.149,17.928,16.298,17.261,0.34,
2020-09-15,153199.768,17.261,17.952,15.386,16.007,0.24,
2020-09-16,54311.42,16.007,16.856,14.066,14.179,0.02,
2020-09-17,70415.791,14.212,14.979,12.938,12.99,-0.25,
2020-09-18,144511.181,12.964,13.232,11.683,11.764,-0.56,
2020-09-19,124828.211,11.743,14.0,11.35,12.496,-0.74,
2020-09-20,500129.811,12.496,16.3,12.168,13.136,-0.82,
2020-09-21,239255.248,13.154,13.222,10.0,11.253,-1.02,
2020-09-22,63326.429,11.201,11.803,10.42,10.812,-1.2,
2020-09-23,78865.416,10.808,10.808,8.859,8.888,-1.48,25.91
2020-09-24,51378.258,8.888,10.396,8.787,10.269,-1.58,28.83
2020-09-25,44251.961,10.285,10.673,10.051,10.385,-1.62,25.44
2020-09-26,35113.03,10.378,10.488,10.044,10.42,-1.64,21.1
2020-09-27,55399.687,10.404,10.91,9.715,9.939,-1.67,22.56
2020-09-28,24223.715,9.946,10.538,9.905,10.003,-1.67,22.5
2020-09-29,152820.043,9.968,10.0,9.101,9.5,-1.69,23.85
2020-09-30,189984.931,9.499,9.5,8.5,8.878,-1.74,26.41
2020-10-01,61998.827,8.878,9.175,8.334,8.416,-1.8,28.24
2020-10-02,120699.07,8.42,8.565,7.214,7.811,-1.87,30.01
2020-10-03,42106.319,7.809,8.033,7.653,7.96,-1.89,25.63
2020-10-04,127938.097,7.98,8.05,6.795,7.043,-1.96,18.21
2020-10-05,54461.646,7.045,7.353,6.7,7.116,-1.98,23.39
2020-10-06,110123.71,7.152,7.3,6.515,6.545,-2.02,23.0
2020-10-07,59655.617,6.53,6.558,5.855,5.993,-2.08,27.84
2020-10-08,116675.393,5.991,6.568,5.856,6.557,-2.05,17.52
2020-10-09,1883165.808,6.568,13.195,6.563,10.013,-1.73,47.95
2020-10-10,549068.802,9.975,10.85,8.9,8.907,-1.55,42.53
2020-10-11,275864.809,8.907,9.6,8.452,8.769,-1.4,44.02
2020-10-12,160926.465,8.781,9.98,8.679,9.46,-1.22,47.39
2020-10-13,98607.072,9.449,9.651,8.67,9.191,-1.08,48.48
2020-10-14,89887.638,9.2,9.213,8.118,8.37,-1.02,47.55
2020-10-15,75327.598,8.371,8.397,7.787,8.143,-0.98,48.65
2020-10-16,55873.606,8.17,8.174,7.567,7.609,-0.98,49.0
2020-10-17,67549.48,7.607,7.807,7.327,7.458,-0.99,47.51
2020-10-18,675808.934,7.458,10.483,7.301,9.184,-0.84,59.84
2020-10-19,282635.805,9.184,9.443,8.437,8.559,-0.76,56.31
2020-10-20,166839.293,8.559,10.4,7.963,8.078,-0.74,56.76
2020-10-21,122765.278,8.076,8.581,7.96,8.14,-0.7,59.89
2020-10-22,100169.711,8.149,8.49,7.96,8.177,-0.66,57.85
2020-10-23,71788.402,8.211,8.243,7.829,8.03,-0.63,35.87
2020-10-24,54656.917,8.037,8.3,7.926,8.25,-0.59,44.64
2020-10-25,79960.287,8.25,8.47,7.729,7.82,-0.58,42.61
2020-10-26,49978.218,7.821,7.969,7.278,7.685,-0.58,34.87
2020-10-27,142708.176,7.685,7.692,7.138,7.177,-0.61,33.5
2020-10-28,254818.708,7.252,7.977,6.961,7.156,-0.63,38.56
2020-10-29,83572.331,7.161,8.158,7.02,7.281,-0.63,41.71
2020-10-30,39362.275,7.292,7.361,6.813,6.844,-0.66,42.51
2020-10-31,63575.219,6.851,7.034,6.68,6.738,-0.68,42.89
2020-11-01,26424.188,6.726,6.89,6.615,6.889,-0.67,17.07
2020-11-02,39864.651,6.89,7.2,6.653,6.87,-0.67,20.67
2020-11-03,24077.734,6.88,6.889,6.367,6.626,-0.67,22.52
2020-11-04,32928.498,6.626,6.989,6.311,6.634,-0.67,20.9
2020-11-05,47663.413,6.619,8.3,6.441,6.806,-0.64,24.83
2020-11-06,89576.276,6.767,7.485,6.721,7.417,-0.57,40.38
2020-11-07,102368.139,7.457,7.843,6.73,6.861,-0.55,30.29
2020-11-08,47145.26,6.894,7.7,6.852,7.204,-0.5,41.04
2020-11-09,20605.864,7.203,7.301,6.768,6.895,-0.48,39.06
2020-11-10,52597.576,6.94,7.763,6.865,7.634,-0.4,55.95
2020-11-11,277473.814,7.601,9.168,7.545,8.559,-0.25,64.78
2020-11-12,110666.712,8.557,8.567,7.5,7.704,-0.21,53.86
2020-11-13,39676.705,7.726,8.265,7.696,8.212,-0.13,62.33
2020-11-14,36858.778,8.24,8.302,7.703,8.222,-0.07,63.61
2020-11-15,125914.201,8.222,8.98,7.932,8.4,-0.0,63.79
2020-11-16,82676.375,8.4,8.663,7.877,8.308,0.04,62.95
2020-11-17,103378.159,8.302,8.913,8.046,8.112,0.06,63.5
2020-11-18,104763.434,8.112,8.356,7.5,7.964,0.06,61.79
2020-11-19,33803.17,7.962,8.039,7.628,7.773,0.05,58.54
2020-11-20,36991.38,7.773,8.4,7.755,7.982,0.05,55.37
2020-11-21,60604.378,7.991,8.657,7.94,8.537,0.1,65.94
2020-11-22,69836.138,8.519,8.57,7.658,8.144,0.1,58.85
2020-11-23,55612.258,8.173,8.6,8.04,8.515,0.13,65.08
2020-11-24,174939.007,8.532,9.317,8.076,9.093,0.2,64.0
2020-11-25,106569.574,9.087,9.116,7.916,8.26,0.19,47.08
2020-11-26,70187.494,8.257,8.495,7.0,7.554,0.12,48.49
2020-11-27,21898.568,7.537,7.805,7.281,7.587,0.07,43.04
2020-11-28,21341.938,7.562,8.494,7.453,8.015,0.06,47.89
2020-11-29,20820.109,8.019,8.32,7.846,8.148,0.06,47.41
2020-11-30,62339.849,8.125,8.34,7.82,8.116,0.06,48.0
2020-12-01,55557.84,8.117,8.304,7.303,7.73,0.03,46.18
2020-12-02,52447.859,7.692,7.982,7.461,7.946,0.02,49.82
2020-12-03,86518.441,7.947,8.299,7.72,7.978,0.02,52.09
2020-12-04,39211.212,7.939,8.031,7.433,7.435,-0.03,44.78
2020-12-05,16979.092,7.43,7.941,7.402,7.823,-0.03,42.96
2020-12-06,11820.881,7.855,8.024,7.748,7.951,-0.03,47.99
2020-12-07,20837.653,7.95,7.984,7.737,7.856,-0.03,42.73
2020-12-08,65396.069,7.856,8.129,7.191,7.29,-0.08,30.05
2020-12-09,39868.016,7.281,7.56,6.871,7.53,-0.09,40.7
2020-12-10,15744.595,7.514,7.514,7.1,7.22,-0.13,45.27
2020-12-11,30628.388,7.277,7.277,6.77,7.069,-0.17,42.9
2020-12-12,531502.21,7.074,8.71,6.997,7.264,-0.18,39.0
2020-12-13,23481.357,7.299,7.614,7.201,7.504,-0.17,40.86
2020-12-14,16386.269,7.485,7.504,7.249,7.369,-0.17,39.7
2020-12-15,45119.767,7.37,7.623,7.31,7.445,-0.16,45.7
2020-12-16,1661648.532,7.46,11.28,7.4,9.155,-0.02,62.57
2020-12-17,379183.876,9.156,9.346,8.489,8.576,0.05,55.58
2020-12-18,131519.151,8.576,8.624,8.151,8.446,0.09,60.23
2020-12-19,108195.544,8.459,8.805,7.962,8.091,0.09,52.73
2020-12-20,65868.28,8.095,8.104,7.647,7.767,0.07,48.2
2020-12-21,559443.523,7.72,10.37,7.5,9.329,0.17,61.2
2020-12-22,2370162.951,9.329,12.79,8.343,8.95,0.22,63.0
2020-12-23,437284.599,8.95,9.084,7.6,7.866,0.17,52.32
2020-12-24,152756.597,7.872,8.495,7.5,8.163,0.16,56.53
2020-12-25,65578.684,8.179,8.72,7.968,8.055,0.13,56.87
2020-12-26,68188.352,8.09,8.492,7.741,7.853,0.1,54.1
2020-12-27,132453.224,7.831,8.544,7.65,7.884,0.07,52.73
2020-12-28,168385.414,7.885,8.3,7.844,7.946,0.05,54.18
2020-12-29,133234.9,7.941,8.488,7.574,7.989,0.04,53.96
2020-12-30,76648.13,7.981,8.16,7.796,7.856,0.02,37.72
2020-12-31,55178.864,7.849,7.874,7.566,7.622,-0.01,40.35
2021-01-01,154285.889,7.598,8.305,7.5,7.906,-0.02,44.7
2021-01-02,96060.918,7.906,8.4,7.76,8.281,0.01,51.86
2021-01-03,104428.048,8.296,8.671,7.993,8.38,0.04,56.26
2021-01-04,385622.01,8.396,10.669,8.112,8.811,0.1,43.12
2021-01-05,244980.111,8.811,9.49,8.272,9.232,0.17,53.71
2021-01-06,164351.449,9.253,9.982,8.684,9.655,0.26,78.46
2021-01-07,273749.516,9.655,11.3,9.57,9.997,0.36,78.76
2021-01-08,94408.907,9.982,10.152,8.9,9.64,0.4,73.06
2021-01-09,129636.338,9.647,10.394,9.242,9.746,0.44,78.33
2021-01-10,134249.966,9.756,10.333,8.9,9.437,0.44,71.46
2021-01-11,185727.8,9.451,9.451,7.363,8.365,0.35,54.53
2021-01-12,67933.006,8.363,8.87,8.05,8.176,0.26,51.96
2021-01-13,71404.959,8.179,9.0,7.87,8.95,0.25,60.1
2021-01-14,89049.916,8.955,9.72,8.626,9.251,0.26,64.86
2021-01-15,138548.389,9.25,9.603,8.56,9.321,0.27,63.43
2021-01-16,453797.188,9.322,11.616,9.179,10.342,0.36,67.42
2021-01-17,274206.109,10.342,10.535,9.631,10.324,0.42,66.66
2021-01-18,353462.931,10.324,11.375,9.96,11.029,0.52,68.16
2021-01-19,531106.414,11.049,12.8,11.044,11.513,0.64,68.48
2021-01-20,295644.973,11.513,11.764,10.234,11.429,0.71,65.21
2021-01-21,670471.142,11.442,12.997,9.764,10.908,0.72,57.58
2021-01-22,476923.618,10.908,13.379,10.055,11.403,0.75,64.34
2021-01-23,159438.16,11.419,11.794,10.925,11.253,0.76,62.17
2021-01-24,102103.204,11.196,11.769,11.054,11.549,0.79,67.09
2021-01-25,216228.381,11.547,12.299,10.3,10.863,0.74,71.56
2021-01-26,94161.244,10.853,11.209,10.228,11.075,0.71,74.92
2021-01-27,136577.867,11.042,11.042,9.76,9.948,0.59,58.09
2021-01-28,194398.753,9.94,10.888,9.764,10.49,0.53,59.66
2021-01-29,181117.672,10.49,10.998,10.192,10.732,0.5,60.72
2021-01-30,129907.223,10.735,11.5,10.251,11.164,0.51,56.86
2021-01-31,177705.65,11.173,12.139,10.582,11.098,0.5,56.41
2021-02-01,87824.92,11.098,11.374,10.751,11.238,0.5,51.91
2021-02-02,948351.227,11.234,18.748,11.234,16.67,0.92,74.73
2021-02-03,3755048.223,16.699,36.735,14.31,27.899,2.14,88.18
2021-02-04,5162707.117,27.898,43.998,23.771,33.902,3.55,92.5
2021-02-05,1434224.648,33.881,36.5,29.04,32.168,4.48,86.7
2021-02-06,696213.845,32.193,34.1,28.22,29.814,4.97,80.43
2021-02-07,428702.662,29.811,31.0,25.0,28.41,5.18,76.68
2021-02-08,314950.799,28.384,30.749,28.071,28.675,5.31,78.56
2021-02-09,333651.573,28.717,29.592,27.55,28.923,5.37,78.59
2021-02-10,491355.832,28.932,32.829,26.76,28.861,5.35,81.36
2021-02-11,245634.727,28.82,30.339,27.943,29.112,5.29,81.18
2021-02-12,489454.355,29.173,33.669,28.684,31.069,5.35,82.2
2021-02-13,308193.743,31.079,32.899,28.256,29.647,5.21,78.38
2021-02-14,253485.203,29.618,32.5,28.102,29.007,5.0,77.02
2021-02-15,316113.284,29.013,29.5,23.336,26.163,4.54,70.82
2021-02-16,153420.509,26.178,27.8,24.665,25.583,4.09,64.38
2021-02-17,305405.121,25.584,28.06,23.91,27.73,3.86,49.61
2021-02-18,199709.193,27.73,29.008,26.918,27.52,3.62,30.2
2021-02-19,134487.976,27.472,27.7,25.401,25.652,3.24,29.95
2021-02-20,382347.507,25.658,30.063,25.5,26.876,3.01,40.29
2021-02-21,169896.176,26.902,28.746,26.29,26.766,2.78,44.06
2021-02-22,253791.181,26.751,26.809,20.14,23.622,2.32,34.88
2021-02-23,396780.935,23.64,23.69,17.383,21.824,1.79,30.56
2021-02-24,206476.819,21.829,24.465,20.681,22.101,1.37,31.7
2021-02-25,125110.386,22.187,22.687,19.608,19.659,0.84,27.13
2021-02-26,135814.228,19.702,21.158,18.518,19.797,0.42,20.09
2021-02-27,172822.552,19.771,21.724,19.51,20.362,0.13,24.19
2021-02-28,144626.293,20.362,20.515,17.416,19.463,-0.17,23.85
2021-03-01,123199.941,19.557,20.898,19.226,20.71,-0.3,33.62
2021-03-02,219681.234,20.755,23.135,20.257,21.276,-0.35,37.05
2021-03-03,138222.489,21.247,22.764,21.014,21.806,-0.35,30.28
2021-03-04,212757.024,21.802,22.429,20.201,20.859,-0.42,28.86
2021-03-05,127679.793,20.923,20.923,19.371,20.083,-0.53,31.01
2021-03-06,318245.219,20.119,22.927,20.119,22.141,-0.45,34.72
2021-03-07,138873.52,22.105,22.543,21.162,22.217,-0.37,35.29
2021-03-08,717551.264,22.253,28.49,22.195,26.955,0.07,59.77
2021-03-09,473770.9,26.939,28.955,25.416,27.276,0.44,67.5
2021-03-10,209875.029,27.292,27.339,24.669,25.3,0.57,59.26
2021-03-11,166709.726,25.32,25.554,23.705,24.439,0.59,65.22
2021-03-12,160894.059,24.48,24.621,22.215,22.693,0.47,58.37
