date,volume,open,high,low,close,MACD,RSI
2020-09-30,22770.92,10.0,10.77,9.808,9.885,0.0,
2020-10-01,72097.0,9.885,10.831,8.264,9.306,-0.05,
2020-10-02,57679.37,9.437,12.474,9.437,10.57,0.02,
2020-10-03,15257.4,10.484,10.834,9.5,10.45,0.06,
2020-10-04,43681.34,10.452,12.0,10.452,11.285,0.16,
2020-10-05,95709.01,11.175,14.43,11.1,13.25,0.39,
2020-10-06,110646.25,13.148,20.0,13.142,18.976,1.02,
2020-10-07,110342.6,19.029,22.423,15.004,15.306,1.22,
2020-10-08,433449.44,15.51,18.555,10.82,11.405,1.04,
2020-10-09,383497.21,11.509,12.409,10.2,11.25,0.88,
2020-10-10,211395.06,11.305,12.03,9.7,11.867,0.79,
2020-10-11,205287.57,11.867,12.665,10.703,11.35,0.68,
2020-10-12,198397.94,11.398,11.731,9.581,10.713,0.53,
2020-10-13,166117.35,10.546,11.842,10.269,11.417,0.46,
2020-10-14,216792.05,11.341,14.612,10.77,13.124,0.53,57.23
2020-10-15,259209.5,13.247,14.949,12.806,13.621,0.63,59.67
2020-10-16,284133.58,13.614,15.448,10.992,12.794,0.63,55.08
2020-10-17,97453.38,12.827,13.396,12.245,12.682,0.61,55.1
2020-10-18,141750.21,12.682,12.752,10.5,10.6,0.43,48.52
2020-10-19,137325.05,10.547,11.667,10.547,11.233,0.33,45.37
2020-10-20,109236.24,11.251,13.932,11.111,13.588,0.43,35.37
2020-10-21,211468.38,13.64,13.729,11.763,12.91,0.46,42.23
2020-10-22,122080.72,12.798,13.075,11.081,11.778,0.38,51.47
2020-10-23,272710.52,11.76,12.144,10.613,11.409,0.29,50.62
2020-10-24,34879.15,11.41,11.79,10.688,11.639,0.23,49.09
2020-10-25,28296.22,11.791,13.55,11.46,13.008,0.29,56.22
2020-10-26,33407.86,13.104,15.214,12.202,13.225,0.35,59.73
2020-10-27,79450.98,13.349,13.349,11.372,12.345,0.33,53.55
2020-10-28,36305.53,12.363,14.443,11.88,13.81,0.42,52.67
2020-10-29,51335.66,13.776,15.48,13.037,15.034,0.58,55.21
2020-10-30,105169.71,15.066,18.493,14.742,15.987,0.78,61.65
2020-10-31,22193.37,15.993,18.588,15.993,18.222,1.11,67.51
2020-11-01,49303.59,18.293,18.999,15.061,16.011,1.18,66.96
2020-11-02,48105.59,15.939,18.066,15.075,17.6,1.34,68.83
2020-11-03,30279.06,17.7,20.292,17.381,19.056,1.57,67.08
2020-11-04,35089.03,18.928,24.007,18.485,23.075,2.05,76.27
2020-11-05,225177.79,22.983,26.578,13.798,16.123,1.85,58.63
2020-11-06,368428.41,16.124,16.222,10.64,11.4,1.3,49.98
2020-11-07,364513.85,11.348,11.87,7.823,11.407,0.85,49.6
2020-11-08,144124.2,11.353,11.7,7.85,8.157,0.23,42.22
2020-11-09,159864.21,8.157,9.786,8.082,9.13,-0.18,43.59
2020-11-10,158913.81,9.153,9.459,6.277,6.763,-0.69,41.65
2020-11-11,185203.11,6.733,7.443,6.099,7.257,-1.04,39.9
2020-11-12,179222.2,7.226,7.614,6.15,7.02,-1.32,37.27
2020-11-13,926989.0,7.008,7.143,4.049,4.27,-1.75,32.39
2020-11-14,1266065.15,4.276,4.8,3.621,3.788,-2.1,27.1
2020-11-15,1438125.93,3.788,4.0,3.037,3.652,-2.36,29.01
2020-11-16,810003.26,3.659,4.384,3.473,4.144,-2.5,26.26
2020-11-17,604579.86,4.15,4.339,3.442,3.536,-2.63,21.77
2020-11-18,387360.0,3.545,4.678,3.48,4.172,-2.65,10.79
2020-11-19,522394.75,4.175,4.713,3.214,3.462,-2.69,14.56
2020-11-20,500228.73,3.45,3.574,2.897,3.206,-2.72,19.42
2020-11-21,451546.81,3.2,3.586,2.98,3.169,-2.71,19.33
2020-11-22,437362.54,3.158,3.967,2.88,3.289,-2.66,26.36
2020-11-23,599064.08,3.294,3.37,2.607,2.66,-2.64,17.5
2020-11-24,650140.34,2.666,2.963,2.343,2.819,-2.58,24.54
2020-11-25,566808.26,2.813,3.539,2.527,3.332,-2.47,24.73
2020-11-26,502825.63,3.35,4.25,3.178,3.328,-2.35,25.49
2020-11-27,141955.53,3.322,3.82,3.114,3.553,-2.22,42.84
2020-11-28,54954.5,3.552,3.648,3.151,3.275,-2.1,44.66
2020-11-29,30466.95,3.262,3.45,3.08,3.102,-2.01,44.32
2020-11-30,350054.5,3.096,3.136,2.629,2.678,-1.94,34.64
2020-12-01,171652.57,2.68,3.07,2.363,2.833,-1.86,41.86
2020-12-02,198780.73,2.858,2.932,1.984,2.197,-1.82,27.14
2020-12-03,116384.73,2.206,2.35,2.135,2.266,-1.77,33.74
2020-12-04,83345.32,2.272,2.67,2.234,2.634,-1.67,42.45
2020-12-05,26124.85,2.658,2.73,2.453,2.453,-1.59,40.9
2020-12-06,33575.32,2.446,2.653,2.347,2.504,-1.51,39.84
2020-12-07,71600.36,2.505,2.587,2.254,2.392,-1.44,46.0
2020-12-08,80611.99,2.377,3.009,2.377,2.979,-1.32,52.12
2020-12-09,109405.65,2.971,3.292,2.81,2.881,-1.22,43.29
2020-12-10,79537.02,2.881,3.176,2.875,3.072,-1.11,46.39
2020-12-11,380358.54,3.069,3.68,3.069,3.575,-0.97,50.29
2020-12-12,115426.97,3.536,3.56,3.091,3.207,-0.88,49.13
2020-12-13,305530.8,3.202,3.331,2.717,2.759,-0.84,45.91
2020-12-14,295131.51,2.793,2.946,2.404,2.477,-0.81,47.52
2020-12-15,127508.55,2.46,2.71,2.44,2.676,-0.77,48.08
2020-12-16,59406.15,2.698,2.799,2.41,2.415,-0.75,52.93
2020-12-17,297015.03,2.409,2.544,1.842,2.138,-0.75,48.37
2020-12-18,108203.84,2.138,2.28,1.985,2.078,-0.74,42.32
2020-12-19,579789.77,2.077,2.145,1.665,1.837,-0.75,41.63
2020-12-20,157909.33,1.865,2.082,1.8,2.02,-0.73,43.65
2020-12-21,102665.63,2.033,2.371,1.889,2.274,-0.69,48.51
2020-12-22,179217.2,2.27,2.509,1.852,1.9,-0.67,35.57
2020-12-23,206917.19,1.899,2.65,1.85,2.173,-0.63,40.96
2020-12-24,152054.85,2.182,2.38,1.9,1.9,-0.62,35.34
2020-12-25,130842.85,1.9,2.097,1.739,1.882,-0.6,25.89
2020-12-26,62473.25,1.885,2.017,1.802,1.973,-0.57,30.92
2020-12-27,184949.17,1.967,2.021,1.606,1.799,-0.56,33.78
2020-12-28,199300.58,1.797,1.831,1.472,1.674,-0.55,35.68
2020-12-29,118880.42,1.677,1.9,1.574,1.734,-0.53,32.32
2020-12-30,1367707.83,1.734,1.776,1.221,1.342,-0.55,30.81
2020-12-31,9752715.41,1.339,1.449,0.772,0.803,-0.59,28.16
2021-01-01,8835601.07,0.805,1.0,0.753,0.929,-0.61,31.6
2021-01-02,6310206.07,0.928,1.024,0.756,0.851,-0.62,33.34
2021-01-03,2212620.14,0.851,0.904,0.621,0.648,-0.64,26.98
2021-01-04,3149606.67,0.648,0.777,0.514,0.648,-0.65,20.18
2021-01-05,4303609.94,0.646,0.7,0.438,0.472,-0.67,21.76
2021-01-06,2590892.45,0.468,0.505,0.433,0.458,-0.67,12.21
2021-01-07,900703.15,0.457,0.509,0.407,0.477,-0.66,14.69
2021-01-08,996651.45,0.476,0.594,0.432,0.499,-0.65,15.75
2021-01-09,285379.44,0.506,0.529,0.438,0.454,-0.64,11.51
2021-01-10,1197408.53,0.456,0.558,0.409,0.488,-0.61,14.24
2021-01-11,2904520.91,0.498,0.807,0.498,0.569,-0.58,19.12
2021-01-12,895444.35,0.568,0.61,0.424,0.461,-0.56,15.35
2021-01-13,1179249.22,0.455,0.493,0.356,0.358,-0.55,18.22
2021-01-14,3787015.89,0.359,0.377,0.283,0.297,-0.53,26.36
2021-01-15,8537702.32,0.298,0.3346,0.239,0.2453,-0.52,15.67
2021-01-16,10636184.4,0.245,0.256,0.1464,0.1753,-0.51,15.79
2021-01-17,7121192.13,0.1756,0.1876,0.148,0.1666,-0.5,19.66
2021-01-18,13545566.94,0.1653,0.1793,0.1262,0.147,-0.48,19.19
2021-01-19,6350161.82,0.1481,0.1698,0.1317,0.1665,-0.47,26.73
2021-01-20,8241883.26,0.167,0.1981,0.1387,0.14,-0.45,26.23
2021-01-21,4855389.12,0.1398,0.2001,0.1383,0.1879,-0.42,29.29
2021-01-22,6958133.2,0.1871,0.2142,0.125,0.1343,-0.41,25.0
2021-01-23,4205899.45,0.1365,0.1392,0.114,0.1189,-0.39,26.06
2021-01-24,48855268.18,0.12,0.1215,0.0697,0.0729,-0.37,20.85
2021-01-25,76558815.65,0.0728,0.0847,0.0639,0.0799,-0.36,11.66
2021-01-26,170581195.65,0.0801,0.0815,0.0506,0.0528,-0.34,13.36
2021-01-27,175180423.5,0.0528,0.0582,0.0405,0.0441,-0.33,16.08
2021-01-28,108818835.07,0.0443,0.0502,0.0405,0.0447,-0.31,18.64
2021-01-29,94172786.18,0.0447,0.0456,0.0356,0.036,-0.3,20.87
2021-01-30,208425930.14,0.036,0.0388,0.0214,0.0215,-0.28,24.69
2021-01-31,283122225.99,0.0215,0.0257,0.0194,0.0251,-0.27,26.31
2021-02-01,303300553.03,0.025,0.0282,0.0177,0.0182,-0.26,27.48
2021-02-02,132055958.21,0.01825,0.0224,0.01819,0.0204,-0.24,22.81
2021-02-03,234475914.81,0.02047,0.02108,0.01711,0.01852,-0.23,25.11
2021-02-04,445883156.17,0.01854,0.01961,0.01553,0.018,-0.22,6.81
2021-02-05,305048991.11,0.01804,0.0188,0.0149,0.0165,-0.2,9.27
2021-02-06,144130284.27,0.0165,0.0194,0.01594,0.01938,-0.19,12.33
2021-02-07,179450050.73,0.01938,0.0237,0.0188,0.02047,-0.18,19.93
2021-02-08,177840843.63,0.02047,0.02152,0.0175,0.01928,-0.17,12.75
2021-02-09,89823233.96,0.01922,0.02019,0.01806,0.0191,-0.16,19.05
2021-02-10,1107410667.69,0.01919,0.01919,0.014,0.01618,-0.15,21.31
2021-02-11,686373498.32,0.01611,0.0169,0.01432,0.01507,-0.14,19.87
2021-02-12,1468174535.17,0.01507,0.01542,0.01172,0.01279,-0.13,22.85
2021-02-13,1377006097.99,0.01278,0.0141,0.01168,0.01348,-0.12,36.14
