date,volume,open,high,low,close,MACD,RSI
2020-09-30,31338.3,10.0,10.239,9.3,10.116,0.0,
2020-10-01,45381.24,10.02,11.465,8.87,10.315,0.02,
2020-10-02,94533.15,10.181,10.181,7.968,9.107,-0.07,
2020-10-03,29302.18,8.995,9.99,8.814,9.03,-0.14,
2020-10-04,32582.35,9.075,9.194,7.883,8.331,-0.25,
2020-10-05,131645.52,8.434,8.577,6.0,6.625,-0.47,
2020-10-06,325744.69,6.623,6.653,4.42,4.624,-0.8,
2020-10-07,696802.14,4.619,5.408,3.997,5.32,-0.99,
2020-10-08,586893.31,5.325,6.942,4.486,6.507,-1.03,
2020-10-09,348666.58,6.5,7.483,5.822,6.566,-1.05,
2020-10-10,190423.6,6.621,7.608,6.127,6.17,-1.08,
2020-10-11,181093.35,6.17,6.812,5.8,6.453,-1.07,
2020-10-12,281177.75,6.429,7.45,6.195,6.852,-1.02,
2020-10-13,195760.37,6.852,7.05,6.155,6.395,-1.01,
2020-10-14,729213.83,6.45,6.757,4.768,5.237,-1.08,26.82
2020-10-15,585253.52,5.186,5.389,4.674,5.076,-1.13,25.02
2020-10-16,793891.85,5.113,6.173,4.382,4.927,-1.17,27.83
2020-10-17,159339.02,5.0,5.209,4.769,5.036,-1.18,28.89
2020-10-18,139397.41,5.003,5.612,4.978,5.6,-1.13,35.36
2020-10-19,107412.86,5.6,5.6,5.17,5.335,-1.1,41.82
2020-10-20,386216.91,5.356,5.377,4.253,4.397,-1.14,48.34
2020-10-21,206565.53,4.443,4.95,4.4,4.544,-1.15,43.81
2020-10-22,154974.01,4.572,5.123,4.548,4.822,-1.11,34.29
2020-10-23,149369.02,4.85,5.057,4.663,4.803,-1.08,33.44
2020-10-24,124719.95,4.799,4.946,4.552,4.579,-1.06,34.56
2020-10-25,168394.57,4.55,4.651,3.936,4.11,-1.06,28.05
2020-10-26,188129.78,4.117,4.394,3.444,3.949,-1.07,21.53
2020-10-27,394612.7,3.931,4.463,3.931,4.195,-1.04,27.5
2020-10-28,232173.14,4.159,4.318,3.551,3.807,-1.04,32.64
2020-10-29,164632.82,3.764,4.023,3.2,3.323,-1.07,30.26
2020-10-30,532589.78,3.319,3.4,2.655,2.988,-1.1,29.05
2020-10-31,183323.12,2.976,2.976,2.659,2.719,-1.14,25.8
2020-11-01,260669.99,2.686,3.05,2.614,2.899,-1.14,19.33
