date,volume,open,high,low,close,MACD,RSI
2018-12-15,542413.15,1.0139,1.0305,1.0002,1.0114,0.0,
2018-12-16,809006.95,1.0113,1.0196,1.0068,1.0085,-0.0,
2018-12-17,2625605.2,1.011,1.0121,0.9976,1.0015,-0.0,
2018-12-18,2302982.45,1.0005,1.0067,0.993,0.9978,-0.0,
2018-12-19,4168790.46,0.998,1.0018,0.9904,0.9955,-0.0,
2018-12-20,5903777.54,0.9956,1.0,0.9808,0.9945,-0.0,
2018-12-21,4410201.11,0.9945,1.0008,0.99,0.999,-0.0,
2018-12-22,2751177.14,0.999,1.0017,0.99,0.9919,-0.0,
2018-12-23,2919725.39,0.9921,0.9992,0.9905,0.9966,-0.0,
2018-12-24,5063566.79,0.9966,0.999,0.9871,0.9947,-0.0,
2018-12-25,4065641.93,0.9938,0.9995,0.986,0.9907,-0.0,
2018-12-26,3239177.24,0.9907,0.9945,0.9869,0.9911,-0.01,
2018-12-27,2607066.35,0.9929,0.9965,0.987,0.993,-0.01,
2018-12-28,2741673.87,0.993,0.9948,0.9817,0.9885,-0.01,
2018-12-29,2344804.37,0.988,0.992,0.9809,0.99,-0.01,27.43
2018-12-30,2327428.08,0.9904,0.9942,0.9882,0.9933,-0.01,34.1
2018-12-31,2517226.72,0.9932,1.0023,0.9891,1.0023,-0.0,50.8
2019-01-01,1713573.21,1.0025,1.0043,0.9911,0.9931,-0.0,45.75
2019-01-02,2234224.25,0.9932,0.9968,0.99,0.9925,-0.0,47.2
2019-01-03,2803713.34,0.9915,0.9954,0.9895,0.995,-0.0,50.45
2019-01-04,2850109.22,0.9947,0.9971,0.9908,0.9926,-0.0,43.96
2019-01-05,2276490.65,0.993,0.9945,0.9872,0.9933,-0.0,51.5
2019-01-06,1805023.27,0.9921,0.9963,0.9832,0.9885,-0.0,41.33
2019-01-07,1844381.99,0.9884,0.993,0.985,0.9922,-0.0,47.42
2019-01-08,2449157.14,0.9921,0.9938,0.9857,0.9908,-0.0,50.11
2019-01-09,2687865.2,0.9917,0.9939,0.99,0.9922,-0.0,51.17
2019-01-10,7806326.47,0.9915,0.9939,0.9801,0.9885,-0.0,45.38
2019-01-11,5117171.06,0.99,0.9918,0.9858,0.9918,-0.0,53.47
2019-01-12,2719601.73,0.9911,0.9927,0.9728,0.9897,-0.0,49.69
2019-01-13,1890391.38,0.991,0.9933,0.986,0.9902,-0.0,46.58
2019-01-14,2601431.04,0.9902,0.9936,0.986,0.9889,-0.0,32.18
2019-01-15,4396766.06,0.9889,0.9936,0.9865,0.9918,-0.0,47.92
2019-01-16,2249964.25,0.9921,0.9965,0.99,0.9947,-0.0,53.27
2019-01-17,2663793.63,0.9947,0.9979,0.993,0.9949,-0.0,49.84
2019-01-18,2815694.38,0.9937,0.9979,0.9926,0.9977,-0.0,58.04
2019-01-19,2652205.22,0.9977,0.9985,0.9927,0.9949,-0.0,52.37
2019-01-20,1225058.89,0.996,1.002,0.9945,1.0006,-0.0,67.44
2019-01-21,1544230.81,1.0006,1.0006,0.9969,1.0004,0.0,63.14
2019-01-22,2746435.44,0.9999,1.0038,0.9975,0.9979,0.0,60.99
2019-01-23,1833426.48,0.9979,1.0006,0.9975,0.9998,0.0,61.59
2019-01-24,2551196.5,1.0,1.0023,0.9975,1.0001,0.0,69.73
2019-01-25,1369411.89,1.0001,1.0036,0.9993,1.0013,0.0,67.4
2019-01-26,1173569.99,1.0014,1.004,0.9995,1.0039,0.0,75.54
2019-01-27,2206228.5,1.0035,1.0075,1.0022,1.0064,0.0,77.18
2019-01-28,4180510.62,1.0062,1.0075,1.0001,1.0023,0.0,70.55
2019-01-29,2040985.73,1.0023,1.0065,1.0,1.005,0.0,70.37
2019-01-30,2344727.06,1.005,1.0087,1.003,1.0069,0.0,69.43
2019-01-31,3088943.87,1.0069,1.0092,1.0036,1.0061,0.0,67.5
2019-02-01,2211876.57,1.0063,1.0131,1.0048,1.0093,0.0,67.9
2019-02-02,1274496.23,1.0094,1.011,1.0079,1.0105,0.0,75.32
2019-02-03,1377914.0,1.011,1.014,1.0091,1.0132,0.0,72.66
2019-02-04,1518459.01,1.0123,1.0162,1.004,1.014,0.0,73.94
2019-02-05,1352953.08,1.014,10.11,1.0102,1.0115,0.0,73.94
2019-02-06,1936728.07,1.0122,1.0158,1.0104,1.0118,0.0,72.39
2019-02-07,1062018.81,1.0118,1.0144,1.0105,1.0116,0.0,71.54
2019-02-08,3010113.08,1.0116,1.019,1.005,1.0097,0.0,65.33
2019-02-09,1733489.76,1.0097,1.014,1.007,1.0106,0.0,63.04
2019-02-10,1629133.17,1.0108,1.0119,1.0071,1.0089,0.0,55.02
2019-02-11,1456394.53,1.0078,1.014,1.0066,1.0123,0.0,70.66
2019-02-12,2181907.28,1.0124,1.0165,1.0103,1.0121,0.0,66.36
2019-02-13,1971815.54,1.0116,1.0136,1.0092,1.0103,0.0,57.87
2019-02-14,1993371.41,1.0104,1.0136,1.0077,1.01,0.0,59.24
2019-02-15,1453390.79,1.0096,1.0122,1.0075,1.0114,0.0,55.44
2019-02-16,1183662.66,1.011,1.0114,1.0085,1.0108,0.0,50.8
2019-02-17,1282710.39,1.0104,1.015,1.0101,1.0123,0.0,47.43
2019-02-18,4142284.49,1.0126,1.0215,1.0051,1.0072,0.0,34.4
2019-02-19,3162557.04,1.0072,1.0137,1.0033,1.0076,0.0,40.1
2019-02-20,2986338.21,1.0076,1.0136,1.0035,1.008,0.0,40.4
2019-02-21,2349742.94,1.008,1.0111,1.0064,1.0098,0.0,45.79
2019-02-22,1812374.71,1.009,1.011,1.0064,1.0068,0.0,43.56
2019-02-23,2210334.54,1.0069,1.01,1.0003,1.0043,0.0,36.93
2019-02-24,5544085.86,1.0043,1.015,1.0002,1.0035,0.0,38.36
2019-02-25,3203939.75,1.0035,1.0086,1.0011,1.0035,-0.0,27.78
2019-02-26,1814414.44,1.0035,1.0094,1.0021,1.0047,-0.0,32.21
2019-02-27,2349188.66,1.0046,1.0079,1.0021,1.006,-0.0,39.41
2019-02-28,2067937.39,1.0053,1.0064,1.002,1.0058,-0.0,39.6
2019-03-01,1989449.38,1.0058,1.0082,1.003,1.0046,-0.0,33.0
2019-03-02,1178686.78,1.0046,1.0067,1.0018,1.003,-0.0,31.43
2019-03-03,1081911.4,1.0032,1.006,1.0022,1.0058,-0.0,35.43
2019-03-04,3319041.9,1.0058,1.0067,1.001,1.0041,-0.0,41.8
2019-03-05,3750299.99,1.0046,1.0064,1.0015,1.0028,-0.0,37.88
2019-03-06,2025212.59,1.0035,1.005,1.0011,1.0026,-0.0,36.22
2019-03-07,2085128.84,1.0026,1.006,1.0015,1.0042,-0.0,35.57
2019-03-08,2253067.59,1.0042,1.0079,1.0032,1.0069,-0.0,50.26
2019-03-09,1308956.82,1.0063,1.0079,1.0035,1.0052,-0.0,52.46
2019-03-10,1348332.13,1.0052,1.0059,1.003,1.0048,-0.0,53.63
2019-03-11,2256097.62,1.0055,1.0074,1.0028,1.0056,-0.0,55.61
2019-03-12,1564039.05,1.0056,1.0074,1.0002,1.0055,-0.0,52.27
2019-03-13,1398838.16,1.0055,1.006,1.003,1.0044,-0.0,45.4
2019-03-14,3125349.17,1.0034,1.0105,1.0033,1.0062,-0.0,51.05
2019-03-15,1528324.92,1.0067,1.01,1.0053,1.0062,-0.0,54.49
2019-03-16,3534016.14,1.0067,1.0084,1.0025,1.0046,-0.0,54.49
2019-03-17,2960514.95,1.0041,1.0063,1.0036,1.0042,-0.0,44.81
2019-03-18,2835275.0,1.0042,1.0069,1.0036,1.0047,-0.0,52.11
2019-03-19,1785006.87,1.0042,1.0064,1.004,1.0042,-0.0,55.22
2019-03-20,2373454.02,1.0044,1.0064,1.0021,1.0029,-0.0,51.03
2019-03-21,4492130.23,1.0029,1.0056,1.0,1.0027,-0.0,44.27
2019-03-22,1523660.36,1.0018,1.0041,1.0008,1.0023,-0.0,28.7
2019-03-23,1580208.75,1.0023,1.007,1.0012,1.0063,-0.0,54.2
2019-03-24,1276332.63,1.0063,1.0063,1.003,1.005,-0.0,50.71
2019-03-25,4079921.2,1.005,1.0089,1.0008,1.0067,-0.0,53.69
2019-03-26,1518897.45,1.0069,1.0086,1.0035,1.0068,-0.0,54.36
2019-03-27,2831675.72,1.0063,1.0081,1.0019,1.0026,-0.0,45.0
2019-03-28,1516290.07,1.0021,1.005,1.0016,1.0045,-0.0,45.3
2019-03-29,2066700.75,1.0045,1.005,1.0018,1.0027,-0.0,41.21
2019-03-30,1432274.65,1.0027,1.0049,1.0013,1.0022,-0.0,43.62
2019-03-31,1288488.66,1.0027,1.0039,1.0016,1.0025,-0.0,45.45
2019-04-01,3019347.2,1.0025,1.0044,1.0011,1.0021,-0.0,43.01
2019-04-02,9070509.37,1.0024,1.0049,0.9731,0.9922,-0.0,28.57
2019-04-03,10676399.16,0.9921,0.9996,0.9825,0.9939,-0.0,34.15
2019-04-04,5004431.78,0.9939,0.9996,0.988,0.9974,-0.0,41.64
2019-04-05,3250103.6,0.9974,1.0036,0.9921,0.9935,-0.0,37.5
2019-04-06,3493783.0,0.9935,1.001,0.9919,0.9998,-0.0,41.33
2019-04-07,3788699.75,0.9991,1.0002,0.9925,0.9954,-0.0,38.18
2019-04-08,4972439.37,0.9964,0.9993,0.981,0.9902,-0.0,31.29
2019-04-09,3002838.95,0.9899,0.994,0.9832,0.993,-0.0,35.26
2019-04-10,4362042.31,0.993,0.9995,0.988,0.9969,-0.0,43.87
2019-04-11,5280473.63,0.9969,0.9983,0.9881,0.9948,-0.0,39.61
2019-04-12,3537886.99,0.9948,0.997,0.99,0.9941,-0.0,40.57
2019-04-13,2047395.19,0.994,0.9955,0.9921,0.9948,-0.0,41.92
2019-04-14,2287931.9,0.9947,0.9968,0.9929,0.9933,-0.0,40.21
2019-04-15,4392482.87,0.9933,1.001,0.9931,0.9994,-0.0,47.44
2019-04-16,2792129.04,0.9994,1.0008,0.9932,0.9939,-0.0,51.76
2019-04-17,2230460.68,0.9939,0.9966,0.9929,0.9953,-0.0,51.46
2019-04-18,4335728.54,0.9953,0.9982,0.9931,0.9951,-0.0,47.43
2019-04-19,3532605.03,0.9951,0.9983,0.995,0.995,-0.0,51.83
2019-04-20,3720446.74,0.995,0.9983,0.9943,0.9943,-0.0,42.21
2019-04-21,4075604.46,0.9944,0.996,0.9912,0.9921,-0.0,45.02
2019-04-22,2704204.6,0.9921,0.9956,0.9916,0.9948,-0.0,57.52
2019-04-23,2830178.89,0.9947,0.997,0.9927,0.9937,-0.0,51.21
2019-04-24,4783104.44,0.9937,0.9956,0.9915,0.9951,-0.0,46.59
2019-04-25,12392732.68,0.9951,1.0799,0.9944,1.0167,0.0,73.86
2019-04-26,22215230.63,1.0167,1.045,1.0163,1.0318,0.0,81.26
2019-04-27,4865391.91,1.0318,1.0333,1.0232,1.0243,0.0,71.98
2019-04-28,3278836.8,1.0243,1.0332,1.0238,1.0302,0.01,75.8
