date,volume,open,high,low,close,MACD,RSI
2019-02-14,63787.63,1.05,1.05,0.9578,1.0086,0.0,
2019-02-15,40911.78,1.0076,1.0121,1.0069,1.0098,0.0,
2019-02-16,33023.79,1.0095,1.011,1.0067,1.01,0.0,
2019-02-17,135012.58,1.0101,1.0149,1.0099,1.0109,0.0,
2019-02-18,185620.79,1.0109,1.0147,1.0005,1.0073,0.0,
2019-02-19,103160.36,1.0078,1.0089,1.002,1.0063,-0.0,
2019-02-20,130820.92,1.0045,1.0097,1.0011,1.007,-0.0,
2019-02-21,189701.18,1.0083,1.0102,1.0057,1.0098,-0.0,
2019-02-22,218861.57,1.0102,1.014,1.0047,1.0053,-0.0,
2019-02-23,145169.16,1.0053,1.0077,0.9987,1.0008,-0.0,
2019-02-24,677431.25,1.0014,1.0074,0.9977,1.0024,-0.0,
2019-02-25,217080.69,1.0022,1.0077,1.0009,1.0033,-0.0,
2019-02-26,58393.23,1.0037,1.0059,1.0013,1.0039,-0.0,
2019-02-27,135221.77,1.0027,1.0071,0.9992,1.0051,-0.0,
2019-02-28,121000.23,1.0053,1.0057,1.0003,1.0043,-0.0,41.22
2019-03-01,43590.27,1.0043,1.0083,1.0025,1.0045,-0.0,38.72
2019-03-02,41785.73,1.0046,1.0058,1.0004,1.003,-0.0,35.89
2019-03-03,25500.37,1.0031,1.0053,1.0016,1.0053,-0.0,39.31
2019-03-04,90236.29,1.0054,1.0062,0.9997,1.002,-0.0,39.77
2019-03-05,75311.3,1.0037,1.0059,1.0009,1.0023,-0.0,42.06
2019-03-06,63030.78,1.0033,1.0041,1.0009,1.0029,-0.0,41.83
2019-03-07,58611.32,1.0032,1.0056,1.0014,1.0037,-0.0,36.8
2019-03-08,108820.24,1.003,1.0075,1.0024,1.0065,-0.0,52.8
2019-03-09,155491.67,1.0065,1.0076,1.003,1.0062,-0.0,65.7
2019-03-10,25022.51,1.0046,1.006,1.0028,1.0056,-0.0,59.88
2019-03-11,67263.11,1.0056,1.0075,1.0027,1.0051,-0.0,55.7
2019-03-12,72881.93,1.0051,1.0087,1.0001,1.0048,-0.0,52.9
2019-03-13,40602.38,1.0056,1.0067,1.0027,1.0047,-0.0,48.61
2019-03-14,135441.89,1.0033,1.0083,1.0029,1.0071,-0.0,58.75
2019-03-15,81792.99,1.0062,1.0091,1.0009,1.0057,-0.0,53.49
2019-03-16,128572.74,1.005,1.0077,1.0022,1.003,-0.0,50.0
2019-03-17,33738.2,1.0034,1.0056,1.0,1.0045,-0.0,47.73
2019-03-18,45301.44,1.0035,1.0059,1.0023,1.0044,-0.0,58.33
2019-03-19,33526.07,1.0048,1.0068,1.003,1.0046,-0.0,58.04
2019-03-20,54634.78,1.004,1.0062,1.0015,1.0024,-0.0,48.43
2019-03-21,165824.45,1.0021,1.0034,0.9953,1.0002,-0.0,39.88
2019-03-22,256873.62,1.0011,1.0031,0.9953,1.0018,-0.0,35.4
2019-03-23,136154.27,1.0016,1.0064,1.001,1.0055,-0.0,48.21
2019-03-24,62050.5,1.0048,1.0064,1.0028,1.0052,-0.0,48.96
2019-03-25,74205.5,1.0052,1.0072,1.0025,1.0063,-0.0,53.03
2019-03-26,37578.53,1.007,1.0079,1.0034,1.0061,-0.0,53.3
2019-03-27,66721.0,1.0053,1.0068,1.001,1.0038,-0.0,47.95
2019-03-28,25612.55,1.002,1.0042,1.0013,1.0027,-0.0,39.32
2019-03-29,42185.51,1.0034,1.0052,1.0012,1.0026,-0.0,41.97
2019-03-30,41639.48,1.0015,1.0036,1.0009,1.0018,-0.0,46.55
2019-03-31,30974.95,1.0018,1.0034,1.0013,1.0028,-0.0,44.97
2019-04-01,66362.88,1.0029,1.0038,1.0002,1.0016,-0.0,42.22
2019-04-02,1567775.97,1.0017,8.2,0.9301,0.9904,-0.0,25.52
2019-04-03,615598.47,0.9913,0.9949,0.972,0.989,-0.0,26.24
2019-04-04,183859.73,0.987,0.9993,0.9823,0.9969,-0.0,45.13
2019-04-05,145743.23,0.9974,1.001,0.9907,0.9917,-0.0,36.53
2019-04-06,113838.78,0.9917,1.001,0.9916,0.9993,-0.0,42.51
2019-04-07,74249.46,0.9993,1.0005,0.9926,0.996,-0.0,39.64
2019-04-08,106216.97,0.9957,0.9969,0.9808,0.9882,-0.0,32.29
2019-04-09,120293.7,0.988,0.9923,0.98,0.9923,-0.0,37.45
2019-04-10,96011.71,0.9911,0.998,0.9881,0.9962,-0.0,43.29
2019-04-11,147509.67,0.9958,0.9973,0.9856,0.9928,-0.0,41.6
2019-04-12,90223.16,0.9931,0.995,0.989,0.9926,-0.0,41.53
2019-04-13,29047.18,0.9939,0.995,0.9902,0.9939,-0.0,43.36
2019-04-14,38474.0,0.9938,0.9964,0.9921,0.9931,-0.0,41.82
2019-04-15,50758.34,0.9939,1.0009,0.9936,0.9984,-0.0,47.48
2019-04-16,58010.62,0.9996,1.0002,0.9916,0.9938,-0.0,52.99
2019-04-17,82334.39,0.9933,0.9962,0.9887,0.9939,-0.0,54.41
2019-04-18,92089.75,0.9955,0.9989,0.9932,0.9949,-0.0,47.94
2019-04-19,40719.8,0.9947,0.9984,0.9938,0.9954,-0.0,54.21
2019-04-20,33499.42,0.994,0.9963,0.9898,0.9959,-0.0,45.38
2019-04-21,93396.45,0.9947,0.9978,0.9901,0.9915,-0.0,44.06
2019-04-22,94150.21,0.9911,0.9946,0.9909,0.994,-0.0,58.9
2019-04-23,114631.24,0.994,0.997,0.9914,0.9934,-0.0,51.89
2019-04-24,98603.46,0.9937,0.9944,0.9907,0.9944,-0.0,46.56
2019-04-25,653901.95,0.9949,1.0379,0.9935,1.016,0.0,76.13
2019-04-26,382153.04,1.0174,1.0486,0.99,1.0318,0.0,82.67
2019-04-27,79874.49,1.0316,1.0327,1.0219,1.0248,0.0,73.52
2019-04-28,33739.35,1.0226,1.0356,1.0223,1.0356,0.01,78.07
2019-04-29,96532.87,1.0339,1.034,1.0125,1.0184,0.01,61.42
2019-04-30,147716.21,1.015,1.0191,1.0071,1.0087,0.01,58.04
2019-05-01,84994.02,1.0083,1.0138,1.0033,1.0101,0.01,58.62
2019-05-02,98322.32,1.01,1.023,1.0091,1.0171,0.01,61.1
2019-05-03,144417.05,1.0228,1.0228,1.0036,1.0187,0.01,61.52
2019-05-04,225282.39,1.0164,1.025,1.0051,1.0091,0.0,55.99
2019-05-05,44386.64,1.0086,1.0122,1.0074,1.0074,0.0,57.4
2019-05-06,103726.39,1.0096,1.0126,1.0068,1.0085,0.0,56.83
2019-05-07,130261.28,1.0088,1.017,1.0045,1.0154,0.0,59.79
2019-05-08,63016.76,1.0167,1.02,1.0056,1.0077,0.0,55.58
2019-05-09,134911.73,1.0097,1.0128,1.0045,1.0084,0.0,46.13
2019-05-10,295215.86,1.009,1.0129,1.0029,1.0093,0.0,36.49
2019-05-11,631968.33,1.0078,1.0129,0.9834,0.9852,0.0,30.28
2019-05-12,630096.88,0.9852,1.012,0.98,1.0029,-0.0,34.76
2019-05-13,395479.89,1.0037,1.0049,0.9825,0.9952,-0.0,38.14
2019-05-14,446522.38,0.9962,1.009,0.9865,0.9921,-0.0,40.9
2019-05-15,324808.02,0.9921,0.9978,0.9879,0.9935,-0.0,40.9
2019-05-16,307773.65,0.996,1.005,0.9912,0.9985,-0.0,39.57
2019-05-17,495272.43,0.9984,1.0196,0.9919,0.998,-0.0,38.25
2019-05-18,162173.63,0.9981,1.0023,0.9935,0.996,-0.0,41.86
2019-05-19,252185.2,0.9979,0.9981,0.99,0.9929,-0.0,41.15
2019-05-20,167578.81,0.9945,0.9994,0.9906,0.9913,-0.0,39.56
2019-05-21,186716.17,0.9913,0.997,0.99,0.9922,-0.0,34.82
2019-05-22,149768.09,0.9922,0.9993,0.9852,0.9992,-0.0,44.39
2019-05-23,241470.59,0.9991,1.0011,0.9919,0.9932,-0.0,40.62
2019-05-24,101858.67,0.9926,0.9973,0.9915,0.9973,-0.0,42.87
2019-05-25,47447.25,0.9934,0.9968,0.9894,0.9935,-0.0,56.49
2019-05-26,252363.82,0.992,0.9961,0.9794,0.9847,-0.0,33.45
2019-05-27,250067.67,0.9841,0.9979,0.9841,0.9955,-0.0,50.26
2019-05-28,101366.27,0.9955,0.9985,0.991,0.9964,-0.0,53.85
2019-05-29,78932.42,0.9981,0.9998,0.9931,0.9964,-0.0,52.66
2019-05-30,283990.43,0.9944,1.0124,0.9931,0.996,-0.0,47.49
2019-05-31,105578.21,0.9983,1.003,0.9961,0.9968,-0.0,48.8
2019-06-01,57257.69,0.9967,1.0029,0.9941,0.9978,-0.0,51.83
2019-06-02,50295.09,0.9983,0.9993,0.9947,0.9955,-0.0,52.69
2019-06-03,279990.7,0.9955,1.0196,0.9953,0.9979,-0.0,56.71
2019-06-04,586070.19,1.0001,1.0296,0.9943,1.0021,-0.0,59.43
2019-06-05,60020.19,1.0018,1.0019,0.9945,0.9965,-0.0,47.36
