date,volume,open,high,low,close,MACD,RSI
2020-12-18,98689.77,23125.0,23237.0,5240.0,22858.0,0.0,
2020-12-19,11735.65,23079.0,23095.0,22829.0,22846.0,-0.96,
2020-12-20,19860.69,22833.0,23084.0,22833.0,22850.0,-1.38,
2020-12-21,30339.07,22850.0,23200.0,22806.0,23080.0,16.66,
2020-12-22,56739.62,22879.0,23245.0,22876.0,23245.0,43.76,
2020-12-23,90906.07,23245.0,23566.0,23183.0,23543.0,88.27,
2020-12-24,25389.2,23543.0,23791.0,23206.0,23724.0,136.57,
2020-12-25,18573.56,23717.0,23787.0,23595.0,23739.0,174.05,
2020-12-26,17883.12,23740.0,23780.0,23473.0,23600.0,190.35,
2020-12-27,5181.17,23550.0,23766.0,23521.0,23550.0,196.96,
2020-12-28,14000.8,23550.0,23650.0,23530.0,23648.0,207.71,
2020-12-29,22766.68,23648.0,23779.0,23537.0,23771.0,223.58,
2020-12-30,9289.37,23763.0,23763.0,23552.0,23552.0,216.0,
2020-12-31,5638.5,23679.0,23778.0,23576.0,23736.0,222.27,
2021-01-01,15162.66,23736.0,23812.0,23542.0,23733.0,224.41,75.42
2021-01-02,37766.59,23679.0,23812.0,23566.0,23600.0,212.92,70.47
2021-01-03,6549.61,23674.0,23718.0,23611.0,23718.0,210.91,72.19
2021-01-04,44814.17,23702.0,23876.0,23617.0,23768.0,210.92,69.37
2021-01-05,48050.66,23762.0,24007.0,23689.0,23744.0,206.6,65.26
2021-01-06,165350.89,23719.0,23926.0,23521.0,23521.0,183.08,49.29
2021-01-07,109071.26,23521.0,23719.0,23436.0,23719.0,178.36,49.84
2021-01-08,70093.2,23719.0,23740.0,23529.0,23570.0,160.74,45.06
2021-01-09,45491.15,23571.0,23784.0,23571.0,23772.0,161.22,54.85
2021-01-10,71692.74,23760.0,23795.0,23582.0,23786.0,160.88,56.79
2021-01-11,132226.8,23789.0,23940.0,23625.0,23751.0,155.98,53.07
2021-01-12,46236.52,23932.0,23933.0,23701.0,23811.0,155.16,51.24
2021-01-13,64565.64,23844.0,23845.0,23700.0,23700.0,143.89,54.92
2021-01-14,99285.88,23700.0,23739.0,23601.0,23652.0,129.59,46.93
2021-01-15,110166.67,23652.0,23777.0,23560.0,23734.0,123.45,50.03
2021-01-16,68071.64,23734.0,23777.0,23560.0,23570.0,104.15,48.99
2021-01-17,88561.37,23680.0,23815.0,23535.0,23715.0,99.41,49.9
2021-01-18,103962.17,23710.0,23886.0,23535.0,23733.0,96.0,48.81
2021-01-19,116335.3,23733.0,23734.0,23535.0,23669.0,87.13,47.52
2021-01-20,112431.17,23669.0,23850.0,23565.0,23741.0,84.93,58.08
2021-01-21,99978.29,23734.0,23968.0,23602.0,23814.0,88.06,53.84
2021-01-22,160014.82,23817.0,23900.0,23611.0,23688.0,79.46,54.86
2021-01-23,98208.11,23809.0,23810.0,23650.0,23770.0,78.35,49.91
