date,volume,open,high,low,close,MACD,RSI
2018-06-22,1567922.02,3.1498,3.1499,2.4,2.7412,0.0,
2018-06-23,1778679.61,2.7409,2.8771,2.688,2.7876,0.0,
2018-06-24,3095295.5,2.7877,2.82,2.2185,2.4409,-0.02,
2018-06-25,2545400.42,2.4403,2.766,2.4402,2.7273,-0.02,
2018-06-26,1394247.6,2.7273,2.76,2.4841,2.5044,-0.03,
2018-06-27,1877480.24,2.4912,2.67,2.4401,2.6302,-0.03,
2018-06-28,1977290.62,2.6302,2.6686,2.299,2.3619,-0.06,
2018-06-29,2102084.83,2.3654,2.6553,2.3374,2.5605,-0.06,
2018-06-30,2295403.05,2.5696,2.7301,2.553,2.5911,-0.05,
2018-07-01,2206891.96,2.5957,2.6546,2.47,2.5578,-0.05,
2018-07-02,2515960.94,2.5662,2.81,2.5024,2.7533,-0.04,
2018-07-03,2712194.39,2.7575,2.8822,2.601,2.6404,-0.03,
2018-07-04,1523047.59,2.6404,2.79,2.601,2.6459,-0.03,
2018-07-05,1804103.02,2.6409,2.7145,2.43,2.5064,-0.04,
2018-07-06,1545613.38,2.5064,2.5784,2.38,2.5172,-0.04,44.46
2018-07-07,1422827.18,2.5285,2.54,2.395,2.5267,-0.04,43.43
2018-07-08,1508000.63,2.5267,2.6097,2.5004,2.5015,-0.05,51.82
2018-07-09,1736762.38,2.507,2.54,2.4185,2.4237,-0.06,39.58
2018-07-10,2003541.8,2.4237,2.4399,2.2,2.214,-0.08,39.94
2018-07-11,1734265.23,2.214,2.2817,2.103,2.2089,-0.1,34.07
2018-07-12,1815729.51,2.2199,2.2274,2.0285,2.0896,-0.12,38.4
2018-07-13,1633496.44,2.0859,2.15,2.0404,2.0897,-0.13,25.85
2018-07-14,3305703.16,2.0888,2.103,1.78,1.8802,-0.16,19.19
2018-07-15,3201906.97,1.8861,1.9709,1.8196,1.9193,-0.18,22.47
2018-07-16,8466204.91,1.9212,1.9606,1.6,1.922,-0.19,7.0
2018-07-17,5428231.55,1.9255,2.09,1.799,1.9938,-0.19,15.07
2018-07-18,5893367.96,1.99,2.0834,1.82,1.9169,-0.19,13.44
2018-07-19,4337420.66,1.912,1.9656,1.7777,1.8032,-0.2,13.8
2018-07-20,6161440.06,1.8032,1.8081,1.5633,1.6795,-0.22,11.36
2018-07-21,5353100.58,1.686,1.9026,1.6551,1.865,-0.21,23.74
2018-07-22,3106011.12,1.8639,1.91,1.7568,1.7955,-0.21,22.94
2018-07-23,578711.51,1.7963,1.862,1.7909,1.8319,-0.21,26.57
2018-10-19,1224.0,0.0001,0.0001,0.0001,0.0001,-0.35,11.63
