date,volume,open,high,low,close,MACD,RSI
2021-11-22,11057300.2,3.781,5.8,1.05,5.179,0.0,
2021-11-23,4146464.9,5.179,5.818,4.688,4.907,-0.02,
2021-11-24,1729492.5,4.906,4.927,4.18,4.354,-0.08,
2021-11-25,2094587.7,4.362,4.946,4.234,4.268,-0.14,
2021-11-26,1341030.5,4.267,4.433,3.759,3.842,-0.21,
2021-11-27,709578.9,3.833,4.023,3.719,3.793,-0.27,
2021-11-28,1348560.6,3.796,4.257,3.551,3.926,-0.3,
2021-11-29,970045.0,3.926,4.435,3.885,4.223,-0.3,
2021-11-30,2149068.7,4.215,4.77,3.852,4.633,-0.27,
2021-12-01,8193602.4,4.631,5.499,4.579,4.762,-0.22,
2021-12-02,1377252.5,4.754,5.082,4.547,4.581,-0.2,
2021-12-03,861383.2,4.583,4.746,4.12,4.416,-0.2,
2021-12-04,1618566.3,4.416,4.6,3.458,4.153,-0.21,
2021-12-05,998297.2,4.156,4.6,3.802,3.961,-0.23,
2021-12-06,651767.7,3.951,4.0,3.6,3.908,-0.25,30.2
2021-12-07,706064.6,3.907,4.094,3.695,3.856,-0.27,32.42
2021-12-08,655007.8,3.856,4.288,3.73,3.999,-0.27,43.12
2021-12-09,586453.5,3.999,4.03,3.556,3.606,-0.3,38.53
2021-12-10,1099955.5,3.604,3.72,3.35,3.35,-0.34,40.94
2021-12-11,439627.0,3.353,3.645,3.314,3.613,-0.34,46.93
2021-12-12,299544.4,3.61,3.685,3.497,3.668,-0.34,45.48
2021-12-13,597224.1,3.668,3.685,3.186,3.306,-0.36,34.28
2021-12-14,916281.0,3.307,3.399,3.023,3.209,-0.38,22.66
2021-12-15,654691.3,3.205,3.481,3.051,3.366,-0.38,23.48
2021-12-16,404023.0,3.37,3.6,3.14,3.151,-0.39,23.18
2021-12-17,490088.0,3.15,3.366,3.012,3.097,-0.4,24.19
2021-12-18,206292.9,3.09,3.186,3.006,3.126,-0.4,27.88
2021-12-19,250336.3,3.124,3.248,3.048,3.066,-0.4,29.56
2021-12-20,652417.2,3.064,3.083,2.772,2.887,-0.41,27.95
2021-12-21,1164820.9,2.887,3.167,2.875,2.97,-0.41,31.12
2021-12-22,512179.2,2.976,3.085,2.889,2.965,-0.4,26.59
2021-12-23,374758.1,2.965,3.2,2.914,3.159,-0.38,38.88
