date,volume,open,high,low,close,MACD,RSI
2023-11-24,11580059.32,1.359,1.474,1.21,1.251,0.0,
2023-11-25,6627151.12,1.251,1.298,1.14,1.174,-0.01,
2023-11-26,5921503.97,1.175,1.243,1.047,1.117,-0.02,
2023-11-27,4271764.91,1.119,1.126,1.002,1.05,-0.03,
2023-11-28,6604060.67,1.048,1.172,1.033,1.093,-0.03,
2023-11-29,2421473.82,1.093,1.13,1.047,1.057,-0.04,
2023-11-30,2451177.49,1.055,1.125,1.035,1.075,-0.04,
2023-12-01,4627952.36,1.075,1.16,1.057,1.091,-0.05,
2023-12-02,3964069.16,1.089,1.155,1.076,1.116,-0.04,
2023-12-03,2634484.04,1.114,1.121,1.064,1.07,-0.05,
2023-12-04,4877304.39,1.071,1.1,0.972,1.034,-0.05,
2023-12-05,3864191.65,1.036,1.07,1.011,1.032,-0.05,
2023-12-06,3379871.81,1.032,1.037,0.972,0.987,-0.06,
2023-12-07,2607183.9,0.987,1.024,0.964,0.991,-0.06,
2023-12-08,2761654.38,0.991,1.01,0.975,0.994,-0.06,22.95
2023-12-09,2726992.81,0.996,1.05,0.983,0.992,-0.06,27.25
2023-12-10,5117270.8,0.989,1.082,0.975,1.043,-0.06,40.61
2023-12-11,4101004.45,1.043,1.065,0.944,0.956,-0.06,38.65
2023-12-12,2460486.27,0.958,0.984,0.93,0.94,-0.06,30.23
2023-12-13,2749664.94,0.94,0.971,0.93,0.95,-0.06,35.18
2023-12-14,3022812.79,0.95,0.968,0.93,0.939,-0.07,30.79
2023-12-15,3984917.42,0.938,0.943,0.855,0.859,-0.07,22.25
2023-12-16,2253895.92,0.858,0.885,0.835,0.845,-0.08,16.71
2023-12-17,2841324.02,0.845,0.858,0.785,0.812,-0.08,17.26
2023-12-18,2334595.69,0.813,0.82,0.712,0.778,-0.09,17.35
2023-12-19,3670561.64,0.78,0.875,0.756,0.817,-0.09,24.94
2023-12-20,3125471.65,0.815,0.857,0.78,0.792,-0.09,26.16
2023-12-21,2816517.84,0.792,0.843,0.787,0.823,-0.09,30.73
2023-12-22,1700565.4,0.823,0.84,0.797,0.807,-0.09,29.18
2023-12-23,4640228.53,0.807,0.902,0.788,0.862,-0.08,37.05
2023-12-24,3000967.33,0.862,0.899,0.83,0.866,-0.07,30.55
