date,volume,open,high,low,close,MACD,RSI
2024-04-03,382732824.6,0.05,1.86,0.05,1.31,0.0,
2024-04-04,212565495.7,1.309,1.397,1.02,1.075,-0.02,
2024-04-05,144274193.3,1.075,1.087,0.912,0.971,-0.04,
2024-04-06,146043454.9,0.97,1.171,0.928,1.057,-0.05,
2024-04-07,76156187.4,1.057,1.09,0.984,1.008,-0.06,
2024-04-08,96478599.7,1.008,1.049,0.969,0.992,-0.07,
2024-04-09,132787853.5,0.991,1.003,0.834,0.846,-0.09,
2024-04-10,102692290.4,0.846,0.88,0.783,0.838,-0.11,
2024-04-11,89006571.4,0.838,0.84,0.751,0.779,-0.12,
2024-04-12,162990238.9,0.779,0.815,0.508,0.604,-0.14,
2024-04-13,113344821.3,0.604,0.642,0.452,0.542,-0.17,
2024-04-14,124990267.0,0.542,0.723,0.526,0.711,-0.17,
2024-04-15,86406130.2,0.711,0.712,0.606,0.656,-0.17,
2024-04-16,55151748.1,0.656,0.657,0.565,0.611,-0.18,
2024-04-17,44700474.2,0.61,0.628,0.539,0.566,-0.18,20.33
2024-04-18,50871219.2,0.566,0.605,0.537,0.593,-0.18,26.96
2024-04-19,80899304.2,0.593,0.625,0.532,0.589,-0.18,29.81
2024-04-20,52233055.9,0.589,0.667,0.572,0.657,-0.17,28.45
2024-04-21,46588536.1,0.656,0.677,0.6,0.613,-0.17,28.6
2024-04-22,53965081.1,0.613,0.682,0.61,0.642,-0.16,31.3
2024-04-23,55901403.1,0.641,0.659,0.586,0.593,-0.15,34.92
2024-04-24,42321920.1,0.593,0.61,0.537,0.546,-0.15,33.37
2024-04-25,109390635.3,0.545,0.674,0.525,0.656,-0.14,43.38
2024-04-26,58154521.6,0.656,0.66,0.582,0.586,-0.13,48.91
2024-04-27,41159599.6,0.587,0.624,0.548,0.619,-0.13,54.84
2024-04-28,48063880.5,0.618,0.674,0.589,0.629,-0.12,43.55
2024-04-29,109568250.9,0.63,0.699,0.576,0.68,-0.11,51.9
2024-04-30,97519583.6,0.681,0.701,0.577,0.607,-0.1,49.7
2024-05-01,123819351.4,0.607,0.699,0.588,0.688,-0.09,58.76
2024-05-02,144265071.3,0.687,0.777,0.63,0.726,-0.08,59.41
2024-05-03,105134061.6,0.727,0.761,0.701,0.738,-0.06,60.42
2024-05-04,91357871.6,0.739,0.776,0.719,0.728,-0.05,55.4
2024-05-05,81292191.9,0.728,0.743,0.661,0.675,-0.05,54.65
2024-05-06,70561918.8,0.675,0.708,0.637,0.647,-0.05,50.38
2024-05-07,44911437.7,0.647,0.667,0.623,0.634,-0.05,53.26
2024-05-08,50385590.3,0.634,0.66,0.602,0.605,-0.05,54.83
2024-05-09,29992613.8,0.605,0.642,0.595,0.63,-0.05,47.53
2024-05-10,34894236.7,0.63,0.651,0.586,0.597,-0.05,51.12
2024-05-11,23278890.3,0.596,0.616,0.582,0.595,-0.05,47.38
2024-05-12,15188797.1,0.595,0.608,0.585,0.591,-0.05,45.8
2024-05-13,52716238.4,0.591,0.596,0.537,0.548,-0.05,35.14
2024-05-14,77711530.6,0.548,0.553,0.513,0.528,-0.06,39.9
2024-05-15,35854291.8,0.528,0.578,0.522,0.57,-0.05,33.24
2024-05-16,31583395.6,0.57,0.583,0.522,0.538,-0.06,22.83
2024-05-17,18639812.0,0.537,0.57,0.532,0.555,-0.05,23.93
2024-05-18,19050598.9,0.554,0.572,0.542,0.56,-0.05,25.72
2024-05-19,13021075.5,0.56,0.571,0.526,0.531,-0.05,27.64
2024-05-20,32582559.5,0.531,0.574,0.51,0.573,-0.05,38.99
