date,volume,open,high,low,close,MACD,RSI
2019-01-18,86973.39,2.77,2.77,2.0,2.5235,0.0,
2019-01-19,99970.3,2.53,2.64,2.5041,2.5718,0.0,
2019-01-20,85585.78,2.5539,2.6085,2.42,2.5071,0.0,
2019-01-21,66461.35,2.5071,2.58,2.4545,2.5001,-0.0,
2019-01-22,331847.14,2.51,2.81,2.3747,2.7684,0.02,
2019-01-23,1216900.0,2.7694,3.212,2.7115,3.0269,0.05,
2019-01-24,843825.01,3.0239,3.091,2.598,2.7189,0.06,
2019-01-25,427197.21,2.7189,2.9199,2.7,2.7792,0.06,
2019-01-26,188896.03,2.78,2.8237,2.6516,2.677,0.06,
2019-01-27,559958.05,2.6713,2.9399,2.6,2.6726,0.06,
2019-01-28,1272020.41,2.6729,2.9199,2.485,2.879,0.07,
2019-01-29,1478807.29,2.879,3.0463,2.7614,2.9478,0.08,
2019-01-30,1486687.83,2.9478,3.055,2.7079,2.8729,0.09,
2019-01-31,365639.15,2.8783,2.9061,2.7511,2.773,0.08,
2019-02-01,277130.19,2.7768,2.779,2.6483,2.7135,0.07,55.82
2019-02-02,134925.43,2.7176,2.745,2.695,2.7138,0.06,54.48
2019-02-03,608219.23,2.7151,2.9071,2.6553,2.8211,0.06,59.66
2019-02-04,357521.22,2.8184,2.87,2.702,2.7277,0.06,56.65
2019-02-05,455506.99,2.7253,2.785,2.6191,2.6662,0.05,46.61
2019-02-06,372775.15,2.6661,2.678,2.5,2.504,0.02,31.45
2019-02-07,307286.49,2.504,2.6192,2.4689,2.4885,0.0,39.68
2019-02-08,502060.29,2.4865,2.6876,2.4501,2.6465,0.0,44.54
2019-02-09,269215.76,2.6593,2.665,2.5539,2.6,-0.0,46.68
2019-02-10,421981.05,2.6018,2.75,2.572,2.72,0.0,51.86
2019-02-11,475068.16,2.72,2.9153,2.6345,2.8726,0.02,49.74
2019-02-12,476142.71,2.87,2.9158,2.7207,2.8492,0.03,45.8
2019-02-13,179514.63,2.8454,2.8695,2.723,2.7317,0.03,44.2
2019-02-14,176689.8,2.7316,2.7588,2.6312,2.6419,0.02,44.57
2019-02-15,123475.7,2.6364,2.7,2.6313,2.6565,0.01,47.55
2019-02-16,105260.74,2.6462,2.6799,2.605,2.6081,0.01,45.63
2019-02-17,150858.31,2.6081,2.6596,2.5501,2.6094,-0.0,40.42
2019-02-18,361072.29,2.6095,2.7868,2.6094,2.74,0.0,50.54
2019-02-19,455390.39,2.74,2.93,2.7012,2.7862,0.01,55.33
2019-02-20,173102.83,2.782,2.82,2.735,2.7849,0.02,64.54
2019-02-21,274491.54,2.7849,2.8671,2.7392,2.8509,0.03,67.83
2019-02-22,192626.9,2.8573,2.91,2.8081,2.9022,0.04,64.06
2019-02-23,249027.4,2.8961,2.93,2.7904,2.8894,0.05,66.52
2019-02-24,402202.51,2.8894,2.9364,2.55,2.637,0.03,45.88
2019-02-25,180258.48,2.6463,2.75,2.6025,2.6794,0.02,39.24
2019-02-26,98978.33,2.6756,2.7003,2.6159,2.6435,0.01,38.7
2019-02-27,170216.16,2.6428,2.7,2.5506,2.6473,0.0,44.7
2019-02-28,234356.11,2.645,2.7273,2.6086,2.6495,-0.0,50.54
2019-03-01,102303.16,2.6465,2.74,2.6305,2.6815,-0.0,51.72
2019-03-02,63182.56,2.6949,2.7123,2.631,2.6606,-0.01,53.75
2019-03-03,65083.29,2.6592,2.6694,2.6143,2.652,-0.01,53.02
2019-03-04,95495.86,2.6483,2.6682,2.505,2.5858,-0.02,37.99
2019-03-05,117470.56,2.5878,2.654,2.517,2.623,-0.02,37.11
2019-03-06,162047.63,2.623,2.6503,2.5342,2.5489,-0.03,33.28
2019-03-07,176443.0,2.5539,2.6017,2.523,2.5659,-0.03,28.3
2019-03-08,610406.53,2.5645,2.8255,2.5319,2.647,-0.03,31.42
2019-03-09,259840.33,2.6561,2.7898,2.6251,2.7213,-0.02,38.76
2019-03-10,167263.41,2.72,2.7921,2.67,2.7304,-0.01,59.25
2019-03-11,148813.29,2.7372,2.7855,2.6019,2.6338,-0.01,45.92
2019-03-12,183556.61,2.6345,2.8109,2.5947,2.781,-0.0,60.26
2019-03-13,150031.62,2.7883,2.85,2.6521,2.6802,-0.0,52.14
2019-03-14,125819.73,2.6802,2.7689,2.66,2.72,0.0,54.38
2019-03-15,148326.73,2.7286,2.8448,2.689,2.7759,0.01,55.69
2019-03-16,123525.21,2.776,2.8154,2.7352,2.7843,0.01,57.58
2019-03-17,122237.76,2.7842,2.7949,2.709,2.7351,0.02,54.85
2019-03-18,125586.12,2.7333,2.7778,2.7003,2.7437,0.02,59.88
2019-03-19,78434.6,2.7403,2.7613,2.7121,2.7387,0.02,57.54
2019-03-20,137495.4,2.7427,2.829,2.7005,2.7944,0.02,66.4
2019-03-21,205960.37,2.7824,2.8657,2.6532,2.728,0.02,60.16
2019-03-22,85511.28,2.728,2.7677,2.7095,2.7518,0.02,57.07
2019-03-23,63929.62,2.7544,2.798,2.7515,2.795,0.02,55.19
2019-03-24,55785.47,2.7877,2.7913,2.7105,2.7436,0.02,50.88
2019-03-25,112092.32,2.7436,2.7786,2.6415,2.6867,0.01,53.71
2019-03-26,136796.75,2.6986,2.78,2.6217,2.6904,0.01,42.04
2019-03-27,135635.98,2.6879,2.7696,2.6716,2.7463,0.01,56.31
2019-03-28,79682.26,2.7462,2.7733,2.73,2.7594,0.01,53.96
2019-03-29,159485.45,2.7594,2.8627,2.7554,2.8373,0.02,55.91
2019-03-30,105889.16,2.8382,2.86,2.7602,2.7856,0.02,50.12
2019-03-31,84204.35,2.7948,2.84,2.7413,2.7837,0.02,54.72
2019-04-01,156963.87,2.7837,2.9459,2.7742,2.8982,0.03,62.44
2019-04-02,573432.46,2.8973,3.1129,2.8021,3.0964,0.05,71.96
2019-04-03,555741.56,3.0774,3.2,2.7667,2.8836,0.05,54.59
2019-04-04,291175.23,2.8835,2.921,2.7,2.792,0.05,53.21
2019-04-05,165834.27,2.792,2.9058,2.7849,2.8762,0.05,55.88
2019-04-06,311419.33,2.8847,2.9987,2.8479,2.9987,0.06,58.96
2019-04-07,388206.34,2.9987,3.1699,2.9064,2.9577,0.06,59.51
2019-04-08,301738.9,2.9479,3.0156,2.8125,2.8349,0.05,56.22
2019-04-09,1269203.3,2.8461,2.9667,2.5868,2.793,0.04,54.17
2019-04-10,774745.11,2.7833,2.9479,2.7171,2.7788,0.03,51.37
2019-04-11,2131063.8,2.7825,3.11,2.4529,2.6353,0.01,45.29
2019-04-12,1307218.55,2.6354,2.9,2.5082,2.6425,-0.0,42.2
2019-04-13,257643.24,2.641,2.6853,2.5884,2.6411,-0.01,43.97
2019-04-14,395014.83,2.6428,2.8086,2.61,2.7566,-0.01,48.97
2019-04-15,317861.9,2.7578,2.8001,2.58,2.615,-0.02,39.42
2019-04-16,208048.25,2.6099,2.6916,2.59,2.671,-0.03,32.22
2019-04-17,293208.24,2.6782,2.6999,2.61,2.6556,-0.03,38.59
2019-04-18,224653.04,2.6498,2.73,2.6487,2.689,-0.03,44.52
2019-04-19,231271.93,2.6881,2.6889,2.63,2.656,-0.03,37.62
2019-04-20,244319.24,2.6561,2.6943,2.6139,2.6492,-0.04,27.41
2019-04-21,655494.18,2.6495,2.6628,2.5109,2.5893,-0.04,26.76
2019-04-22,397105.72,2.5893,2.6395,2.5319,2.6135,-0.04,34.05
2019-04-23,236392.96,2.6161,2.6725,2.57,2.5855,-0.05,34.74
2019-04-24,361036.93,2.5809,2.6245,2.2969,2.3666,-0.07,26.71
2019-04-25,154234.82,2.3702,2.4313,2.1811,2.2033,-0.09,26.12
2019-04-26,151281.58,2.2,2.2789,2.1227,2.2051,-0.12,25.68
2019-04-27,138766.27,2.2157,2.2287,2.11,2.1695,-0.13,24.74
2019-04-28,136169.37,2.1695,2.1973,2.0749,2.0942,-0.15,12.92
2019-04-29,155625.57,2.0899,2.1263,1.9364,1.9912,-0.17,13.5
2019-04-30,282116.21,1.9834,2.3099,1.967,2.2527,-0.17,30.27
2019-05-01,109626.37,2.2529,2.2782,2.1274,2.1526,-0.17,28.03
2019-05-02,111266.2,2.14,2.1808,2.1218,2.1629,-0.16,26.55
2019-05-03,207840.24,2.1587,2.2364,2.1388,2.2235,-0.16,31.18
2019-05-04,136007.97,2.2235,2.2624,2.08,2.1501,-0.15,29.48
2019-05-05,89128.0,2.1501,2.1501,2.0177,2.0846,-0.16,29.34
2019-05-06,115328.39,2.0857,2.2131,2.0306,2.1467,-0.15,31.47
2019-05-07,861006.42,2.1456,2.4763,2.0825,2.0825,-0.15,30.59
2019-05-08,533924.02,2.0875,2.2587,2.0416,2.2193,-0.14,43.93
2019-05-09,333284.39,2.2133,2.4483,2.1233,2.3415,-0.11,55.89
2019-05-10,196269.27,2.343,2.3854,2.2113,2.2664,-0.1,52.46
2019-05-11,920781.08,2.2673,2.5099,2.2579,2.424,-0.08,59.3
