date,volume,open,high,low,close,MACD,RSI
2021-08-23,491461211.0,0.1852,0.612,0.1852,0.3946,0.0,
2021-08-24,198927038.0,0.3945,0.4567,0.3056,0.3298,-0.01,
2021-08-25,184533304.0,0.3302,0.3669,0.2957,0.3479,-0.01,
2021-08-26,342080448.0,0.3479,0.425,0.321,0.373,-0.01,
2021-08-27,181671821.0,0.3728,0.415,0.3613,0.3857,-0.01,
2021-08-28,106642956.0,0.3859,0.392,0.365,0.3775,-0.01,
2021-08-29,82664654.0,0.3775,0.39,0.3479,0.3626,-0.01,
2021-08-30,65075802.0,0.3626,0.375,0.337,0.3417,-0.01,
2021-08-31,35577387.0,0.3411,0.355,0.33,0.3427,-0.01,
2021-09-01,36186327.0,0.3426,0.3545,0.328,0.3486,-0.01,
2021-09-02,68636890.0,0.3483,0.3708,0.3409,0.3666,-0.01,
2021-09-03,36882319.0,0.3668,0.367,0.3528,0.3596,-0.01,
2021-09-04,41966846.0,0.3594,0.38,0.349,0.378,-0.01,
2021-09-05,31413565.0,0.377,0.3784,0.3563,0.3611,-0.01,
2021-09-06,26226362.0,0.3606,0.3641,0.345,0.3555,-0.01,41.77
2021-09-07,54700761.0,0.3556,0.3588,0.2324,0.2772,-0.01,39.52
2021-09-08,29487227.0,0.2772,0.3093,0.2441,0.2839,-0.02,36.64
2021-09-09,29830269.0,0.284,0.32,0.2735,0.3021,-0.02,34.77
2021-09-10,26266587.0,0.3017,0.31,0.268,0.2762,-0.02,27.73
2021-09-11,50303389.0,0.276,0.334,0.2758,0.3226,-0.02,40.34
2021-09-12,20258084.0,0.3236,0.3271,0.2953,0.3096,-0.02,40.61
2021-09-13,17042852.0,0.3092,0.31,0.2675,0.2819,-0.02,39.65
2021-09-14,11927296.0,0.2819,0.2891,0.2761,0.2883,-0.02,40.76
2021-09-15,13607032.0,0.2883,0.2919,0.2793,0.2918,-0.02,40.27
2021-09-16,21311758.0,0.2917,0.293,0.2785,0.2852,-0.02,35.5
2021-09-17,29149803.0,0.2852,0.2989,0.2781,0.2879,-0.02,37.02
2021-09-18,21027379.0,0.2877,0.291,0.2808,0.288,-0.02,32.56
2021-09-19,13905023.0,0.2877,0.2878,0.269,0.2728,-0.02,32.77
2021-09-20,38127461.0,0.2728,0.2808,0.2144,0.2259,-0.03,28.23
2021-09-21,30080326.0,0.2257,0.2325,0.1953,0.1999,-0.03,34.24
2021-09-22,24802000.0,0.2001,0.2313,0.1925,0.2285,-0.03,39.63
2021-09-23,32079282.0,0.2284,0.2727,0.22,0.2561,-0.03,41.68
2021-09-24,31383063.0,0.2558,0.2558,0.2108,0.2321,-0.03,41.97
2021-09-25,9652537.0,0.2318,0.2333,0.218,0.2252,-0.03,29.29
2021-09-26,28331892.0,0.2256,0.2314,0.1982,0.2159,-0.03,29.76
2021-09-27,13634667.0,0.2157,0.2224,0.206,0.206,-0.03,32.24
2021-09-28,22777593.0,0.2059,0.2088,0.19,0.1946,-0.03,28.58
2021-09-29,19509090.0,0.1945,0.2069,0.1921,0.1979,-0.04,28.51
2021-09-30,242252677.0,0.1981,0.288,0.197,0.2346,-0.03,39.82
2021-10-01,81146307.0,0.2341,0.2745,0.2341,0.2628,-0.03,45.42
2021-10-02,35633965.0,0.2625,0.275,0.2526,0.2661,-0.02,46.05
2021-10-03,80736867.0,0.2661,0.3183,0.2598,0.294,-0.02,53.66
2021-10-04,48077612.0,0.2942,0.3099,0.288,0.3021,-0.01,65.17
2021-10-05,44606407.0,0.3024,0.3088,0.288,0.306,-0.01,73.16
2021-10-06,55334164.0,0.3063,0.35,0.288,0.3047,-0.0,68.88
2021-10-07,23395829.0,0.3048,0.305,0.2885,0.2957,-0.0,60.81
