date,volume,open,high,low,close,MACD,RSI
2023-07-19,168.8058,1913.15,7666.66,1901.42,1906.34,0.0,
2023-07-20,30.9053,1904.17,1988.27,1895.97,1908.39,0.16,
2023-07-21,8.3715,1905.42,1921.07,1899.39,1910.44,0.45,
2023-07-22,12.7535,1907.96,1980.0,1870.39,1882.08,-1.59,
2023-07-23,18.3539,1882.46,1918.37,1873.72,1904.35,-1.39,
2023-07-24,14.1102,1909.65,1920.85,1812.0,1870.1,-3.95,
2023-07-25,8.7091,1869.95,1889.58,1862.23,1875.14,-5.51,
2023-07-26,12.6465,1875.15,1911.67,1859.85,1889.88,-5.5,
2023-07-27,23.2569,1896.16,1974.85,1867.87,1876.4,-6.5,
2023-07-28,14.1161,1878.24,1921.85,1865.47,1894.07,-5.8,
2023-07-29,13.2413,1892.62,1911.09,1885.16,1901.38,-4.6,
2023-07-30,8.7492,1901.38,1911.09,1871.2,1881.95,-5.16,
2023-07-31,12.6499,1883.63,1921.29,1869.93,1879.28,-5.75,
2023-08-01,22.7608,1874.94,1889.57,1827.1,1889.57,-5.33,
2023-08-02,32.8608,1889.03,1894.22,1842.09,1854.23,-7.76,37.88
2023-08-03,20.3449,1856.71,1884.69,1841.27,1850.51,-9.87,36.64
2023-08-04,35.188,1851.3,1912.5,1828.79,1848.61,-11.56,35.72
2023-08-05,15.0888,1847.06,1863.47,1844.29,1858.89,-11.94,44.16
2023-08-06,21.0759,1856.99,1873.48,1842.65,1847.95,-12.96,34.92
2023-08-07,16.5228,1853.41,1873.5,1823.09,1847.37,-13.67,42.59
2023-08-08,16.8811,1848.03,1892.21,1845.79,1873.18,-12.01,49.44
2023-08-09,14.2624,1878.77,1892.21,1864.35,1876.57,-10.3,45.91
2023-08-10,15.0629,1880.78,1892.19,1864.66,1876.24,-8.87,49.95
2023-08-11,9.4402,1875.84,1878.27,1859.47,1869.55,-8.18,41.16
2023-08-12,15.9389,1868.75,1879.69,1866.63,1873.85,-7.21,39.85
2023-08-13,22.8703,1870.76,1892.21,1857.58,1861.91,-7.31,42.18
2023-08-14,19.3383,1861.78,1878.99,1856.32,1869.54,-6.7,46.34
2023-08-15,57.9461,1870.73,1914.88,1827.48,1852.5,-7.51,36.75
2023-08-16,28.5168,1855.25,1867.06,1816.39,1832.19,-9.67,41.17
2023-08-17,80.8996,1832.19,1836.45,1564.62,1704.54,-21.44,20.66
2023-08-18,44.7404,1702.28,1722.46,1663.36,1688.48,-31.7,19.55
2023-08-19,22.0433,1680.26,1715.78,1671.23,1690.09,-39.25,16.81
2023-08-20,27.4706,1688.03,1713.93,1684.16,1708.06,-43.28,23.23
2023-08-21,10.9769,1708.06,1708.65,1671.29,1685.38,-47.76,21.42
2023-08-22,11.2524,1685.87,1690.77,1606.59,1660.08,-52.74,12.34
2023-08-23,39.2391,1654.77,1816.81,1648.14,1696.45,-53.14,21.49
2023-08-24,15.4968,1697.6,1717.08,1657.71,1674.14,-54.62,20.09
2023-08-25,10.8927,1688.89,1693.0,1657.04,1676.41,-54.99,21.04
2023-08-26,6.2732,1672.72,1684.79,1664.53,1665.77,-55.49,19.38
2023-08-27,14.9128,1666.07,1742.99,1666.07,1678.37,-54.25,23.04
2023-08-28,8.5213,1674.15,1684.32,1650.0,1669.12,-53.4,20.7
2023-08-29,10.4891,1673.14,1783.95,1656.19,1751.27,-45.57,37.57
2023-08-30,8.0258,1762.18,1762.41,1719.23,1731.7,-40.47,37.64
2023-08-31,61.508,1725.95,1769.29,1658.91,1686.2,-39.65,47.17
2023-09-01,28.9603,1686.2,1688.89,1621.55,1652.96,-41.21,44.8
2023-09-02,22.9933,1658.08,1679.0,1647.48,1661.05,-41.31,45.83
2023-09-03,30.5984,1661.06,1679.0,1647.94,1665.66,-40.56,43.66
2023-09-04,26.3298,1658.03,1682.48,1643.37,1652.47,-40.55,44.94
2023-09-05,47.447,1661.71,1690.02,1636.06,1662.67,-39.27,50.42
2023-09-06,33.4879,1657.68,1688.89,1623.63,1656.87,-38.29,42.92
2023-09-07,17.7422,1662.03,1687.89,1648.1,1670.78,-35.97,49.38
