date,volume,open,high,low,close,MACD,RSI
2023-04-28,13.33017,29443.26,31796.99,28912.96,29407.79,0.0,
2023-04-29,11.92615,29398.73,29796.98,29050.01,29214.49,-15.42,
2023-04-30,6.7549,29211.05,29969.82,29056.01,29410.54,-11.69,
2023-05-01,2.44823,29271.23,29380.28,27745.43,28095.7,-113.51,
2023-05-02,3.30394,27985.17,29306.49,27899.89,28685.65,-144.94,
2023-05-03,1.37311,28646.12,29297.2,28145.22,29011.21,-141.94,
2023-05-04,3.1907,29061.05,29476.91,28625.63,28899.31,-146.9,
2023-05-05,3.70942,28818.28,29763.63,28031.0,29583.86,-94.5,
2023-05-06,2.76653,29634.82,29828.0,28371.74,28770.21,-117.28,
2023-05-07,3.25796,28793.5,29316.43,28396.01,28408.46,-162.64,
2023-05-08,9.55629,28377.13,28669.8,27229.49,27670.76,-255.18,
2023-05-09,1.77416,27730.85,27902.13,27411.67,27700.49,-322.4,
2023-05-10,4.50903,27683.36,28547.22,26837.25,27695.42,-371.8,
2023-05-11,4.82293,27695.16,27695.16,26753.24,26958.56,-465.04,
2023-05-12,21.20652,26958.56,27419.0,25740.01,26829.16,-543.12,29.31
2023-05-13,2.06862,26829.17,27000.62,26708.5,26821.56,-598.71,30.21
2023-05-14,0.90427,26734.86,27266.71,26635.62,26968.56,-623.71,29.64
2023-05-15,3.06624,26898.6,27710.92,26728.88,27171.17,-620.03,40.53
2023-05-16,20.79634,27236.02,27356.91,26922.42,27067.56,-618.35,31.6
2023-05-17,1.56416,27077.04,27495.24,26591.17,27411.29,-582.56,31.88
2023-05-18,2.25831,27444.61,27474.74,26478.05,26879.18,-590.33,29.11
2023-05-19,3.28767,26881.74,27225.95,26727.04,26873.68,-590.13,17.4
2023-05-20,0.55326,26883.15,27231.63,26850.6,27088.12,-566.14,26.36
2023-05-21,1.38289,27054.39,27891.0,26662.1,26741.93,-568.51,26.47
2023-05-22,3.35548,26815.08,27099.35,26541.62,26846.59,-555.54,35.83
2023-05-23,34.11735,26896.37,27707.78,26851.96,27245.65,-507.22,43.06
2023-05-24,5.95482,27233.12,27704.0,26098.75,26408.4,-530.36,34.34
2023-05-25,3.33603,26378.02,26637.88,25950.0,26493.64,-535.65,43.28
2023-05-26,4.41866,26500.07,26970.93,26286.67,26744.77,-513.66,48.82
2023-05-27,11.06528,26735.28,26896.45,26554.55,26870.35,-480.56,50.66
2023-05-28,7.44719,26877.87,28200.0,26808.17,28037.66,-356.03,61.33
2023-05-29,9.80057,28098.2,28917.0,27336.64,27790.3,-274.14,56.5
2023-05-30,6.08875,27753.15,28070.93,27585.71,27723.19,-212.21,56.94
2023-05-31,3.63848,27717.86,27882.64,26843.38,27221.01,-201.33,48.05
2023-06-01,2.12234,27228.96,27399.98,26603.53,26832.46,-221.5,49.51
2023-06-02,6.32369,26835.25,27366.79,26560.92,27276.04,-199.4,53.88
2023-06-03,1.86682,27273.07,27365.94,26881.01,27096.17,-194.16,50.08
2023-06-04,1.43714,27080.96,27509.34,26986.57,27141.83,-184.2,54.13
2023-06-05,4.15919,27129.15,27136.53,25468.91,25792.15,-281.97,41.34
2023-06-06,5.47118,25795.81,27399.63,25400.0,27252.68,-238.84,50.05
2023-06-07,8.22988,27262.77,27396.12,26168.73,26357.9,-273.71,49.65
2023-06-08,3.78347,26352.32,26799.99,26225.5,26514.42,-285.42,50.14
2023-06-09,5.02616,26514.42,26799.95,26313.96,26477.84,-294.26,48.11
2023-06-10,13.70159,26478.35,26537.09,25300.0,25943.74,-340.44,43.8
2023-06-11,5.25559,25849.37,26204.93,25658.08,26028.51,-365.98,34.28
2023-06-12,7.11753,26011.19,26183.33,25528.04,25938.01,-389.04,35.14
2023-06-13,7.29258,25912.71,26600.0,25755.8,26017.05,-396.37,36.34
2023-06-14,16.51882,26013.47,26548.01,24834.25,25019.37,-477.18,33.67
2023-06-15,2.33154,25100.76,26100.0,24861.39,25547.26,-492.94,40.66
2023-06-16,3.78377,25540.0,26488.4,25200.0,26465.0,-426.47,44.49
2023-06-17,8.47044,26385.57,29963.41,26235.96,26596.81,-359.01,46.58
2023-06-18,2.97453,26542.67,26690.85,26292.01,26500.41,-309.76,45.64
2023-06-19,1.98481,26383.66,27430.9,26214.35,26733.78,-249.02,57.54
2023-06-20,16.50775,26772.55,28350.0,26696.85,28350.0,-69.67,58.58
2023-06-21,17.06535,28277.52,30750.0,28240.09,30077.08,209.41,75.72
2023-06-22,4.39823,30190.62,30719.45,29561.8,30032.31,422.11,74.71
2023-06-23,9.9699,30002.43,31360.83,29258.0,30612.75,630.25,76.98
2023-06-24,10.50153,30643.71,30830.3,30150.02,30652.12,789.28,82.85
2023-06-25,5.66824,30478.74,30981.13,30268.46,30422.63,886.57,80.05
2023-06-26,9.85363,30458.94,30662.66,29915.74,30216.04,936.21,78.8
2023-06-27,7.62867,30171.84,30927.98,30142.37,30661.42,999.97,79.79
2023-06-28,8.25656,30631.5,30900.0,29833.33,30052.86,989.97,83.99
2023-06-29,7.19988,30052.86,30781.71,29969.69,30423.19,1000.41,83.64
2023-06-30,22.98148,30404.32,31239.16,29531.98,30454.61,999.69,81.36
2023-07-01,12.77274,30514.63,31000.0,30213.9,30663.97,1004.43,81.58
2023-07-02,13.52356,30662.1,31000.0,30144.2,30630.51,994.03,82.39
2023-07-03,14.89264,30614.32,31388.55,30503.21,31158.18,1016.65,83.17
2023-07-04,10.66756,31158.76,31907.0,30640.62,30751.43,990.34,71.99
2023-07-05,6.03335,30750.61,30941.69,30238.76,30504.19,938.71,55.36
2023-07-06,11.40862,30487.47,31538.51,29802.14,29802.14,831.56,47.52
2023-07-07,9.34891,29925.74,31079.0,29731.14,30338.43,780.92,47.01
2023-07-08,4.21205,30351.9,30480.69,30066.31,30265.55,726.53,45.82
2023-07-09,4.43468,30285.81,30473.1,30023.63,30141.75,665.76,46.89
2023-07-10,11.40638,30177.39,31032.71,29864.6,30387.07,630.13,51.88
2023-07-11,4.22877,30373.27,30839.29,29831.94,30570.65,609.68,48.94
2023-07-12,5.09263,30609.41,30928.57,30213.7,30392.54,572.5,54.39
2023-07-13,18.45816,30387.12,31793.79,30252.9,31487.32,624.18,61.58
2023-07-14,26.08953,31448.42,31605.35,29938.32,30300.64,562.9,48.66
2023-07-15,13.76048,30312.87,30397.86,30053.2,30295.23,508.03,46.67
2023-07-16,13.02727,30301.78,30603.77,30067.39,30230.16,454.07,46.41
2023-07-17,11.35842,30228.44,30584.3,29694.01,30167.44,401.61,40.31
2023-07-18,8.54144,30151.63,30252.75,29583.91,29879.19,332.94,41.26
2023-07-19,14.9791,29879.19,30291.83,29500.0,29906.58,277.53,43.74
2023-07-20,16.04348,29922.23,30475.15,29530.93,29819.64,224.02,50.21
2023-07-21,9.05658,29845.41,30067.34,29595.86,29921.78,187.69,44.4
2023-07-22,12.14992,29906.73,30036.47,29600.07,29814.75,148.55,44.0
2023-07-23,10.99487,29803.68,30333.3,29503.76,30107.33,139.53,49.56
2023-07-24,21.79358,30092.77,30108.64,28800.0,29191.5,57.82,36.99
2023-07-25,5.39011,29182.16,29500.0,29045.47,29197.25,-6.4,34.46
2023-07-26,8.79789,29219.72,29685.68,29031.86,29347.15,-44.69,38.09
2023-07-27,4.46249,29326.57,29581.48,29098.05,29200.06,-85.91,16.78
2023-07-28,5.30235,29215.52,29576.89,29019.08,29300.01,-109.25,28.76
2023-07-29,2.7536,29313.54,29449.99,29179.42,29382.54,-119.71,31.24
2023-07-30,4.39864,29368.42,29449.99,29003.53,29305.53,-132.68,31.09
2023-07-31,14.03475,29276.26,29541.38,28570.99,29188.65,-150.66,30.42
2023-08-01,7.47226,29234.84,29702.1,28600.0,29702.1,-122.07,46.75
2023-08-02,18.22828,29702.1,30007.26,28900.0,29181.18,-139.83,38.73
2023-08-03,7.79335,29157.19,29400.0,28995.9,29181.46,-152.13,39.81
2023-08-04,7.70988,29193.86,29477.76,28777.34,29098.04,-166.69,36.77
2023-08-05,1.84114,29098.04,29133.23,28818.46,29096.98,-176.28,38.06
2023-08-06,2.4208,29071.83,29341.35,28936.5,29054.54,-185.17,30.9
2023-08-07,7.95808,29089.88,29253.62,28708.51,29174.57,-180.45,49.57
2023-08-08,57.77755,29192.37,30193.27,29112.5,29763.38,-127.73,61.13
2023-08-09,22.44257,29789.29,30125.25,29308.94,29573.02,-100.15,54.37
2023-08-10,27.10851,29590.74,29724.64,29253.62,29456.88,-86.67,55.03
2023-08-11,10.32437,29434.19,29664.36,29310.0,29458.32,-75.0,53.22
2023-08-12,5.83995,29458.08,29487.36,29310.6,29438.33,-66.6,51.17
2023-08-13,27.21021,29435.7,29481.21,29310.0,29332.13,-67.73,50.55
2023-08-14,52.97366,29310.31,29753.79,29122.26,29451.95,-58.29,55.43
2023-08-15,34.48967,29446.08,29498.18,29000.0,29180.61,-71.87,38.05
2023-08-16,14.57167,29181.18,29282.44,28642.3,28782.6,-113.44,40.32
2023-08-17,64.19856,28727.27,28888.07,25093.57,26678.58,-312.56,19.94
2023-08-18,77.81882,26630.11,28290.0,25692.03,26083.93,-512.44,17.76
2023-08-19,16.39808,26017.2,26326.16,25850.98,26154.96,-657.54,18.99
2023-08-20,10.47854,26149.23,26368.66,26056.98,26244.68,-756.56,20.68
2023-08-21,4.61934,26254.53,26298.14,25871.65,26154.75,-832.7,18.29
2023-08-22,12.09471,26166.19,26171.26,25356.02,26052.88,-890.99,6.6
2023-08-23,21.75924,26052.88,26830.86,25805.56,26478.58,-892.55,15.69
2023-08-24,8.19388,26495.76,26578.98,25900.02,26177.7,-907.6,15.07
2023-08-25,12.95618,26174.85,26274.04,25808.08,26065.02,-918.03,14.7
2023-08-26,1.8896,26069.17,26124.89,25992.23,26013.51,-919.86,14.6
2023-08-27,3.81409,26006.8,26196.28,25943.14,26107.15,-903.33,16.58
2023-08-28,33.80108,26107.15,26224.53,25818.2,26105.49,-880.23,14.45
2023-08-29,24.08241,26106.9,29500.0,25816.32,27710.15,-724.08,37.83
2023-08-30,16.03909,27713.13,29100.0,27000.02,27322.81,-624.4,37.89
2023-08-31,39.78108,27303.71,27555.55,25618.72,25964.65,-647.52,43.24
2023-09-01,29.84442,26054.61,26162.26,25358.77,25868.18,-665.96,47.75
2023-09-02,4.43382,25861.99,25964.65,25778.32,25867.25,-672.88,46.95
