date,volume,open,high,low,close,MACD,RSI
2024-03-05,134478787.15,1.1892,1.848,1.0,1.547,0.0,
2024-03-06,194568701.21,1.5469,2.29,1.42,1.845,0.02,
2024-03-07,73517618.31,1.846,1.9,1.646,1.7082,0.03,
2024-03-08,122281289.77,1.7066,2.3796,1.6974,2.1575,0.07,
2024-03-09,52350888.83,2.1574,2.2455,2.022,2.168,0.1,
2024-03-10,62401650.9,2.1685,2.4956,2.03,2.1353,0.13,
2024-03-11,45049741.91,2.1359,2.28,2.0,2.1086,0.14,
2024-03-12,60227501.15,2.1083,2.1839,1.789,2.1639,0.15,
2024-03-13,88904621.65,2.1643,2.77,2.1299,2.645,0.2,
2024-03-14,163911885.36,2.645,3.4581,2.6445,3.1568,0.28,
2024-03-15,159560524.52,3.1569,3.5672,2.7,2.8142,0.3,
2024-03-16,130519025.83,2.8143,2.939,2.0493,2.2289,0.28,
2024-03-17,124506261.92,2.228,3.1533,2.1687,3.0393,0.32,
2024-03-18,133205824.9,3.04,3.2983,2.5,2.5519,0.3,
2024-03-19,139296638.86,2.5513,2.745,2.1102,2.3178,0.27,58.64
2024-03-20,146481537.2,2.3177,2.745,1.95,2.6042,0.27,58.53
2024-03-21,80920400.27,2.6042,2.6264,2.2263,2.2855,0.24,56.23
2024-03-22,77564520.29,2.2857,2.4941,2.11,2.2315,0.2,50.87
2024-03-23,69562694.96,2.2314,2.4747,2.1374,2.2779,0.18,51.29
2024-03-24,68067123.54,2.2782,2.8537,2.22,2.8202,0.2,57.16
2024-03-25,102079001.77,2.8203,2.9979,2.6268,2.684,0.21,55.88
2024-03-26,103848501.24,2.6839,3.3862,2.6637,3.2483,0.25,60.04
2024-03-27,91485098.55,3.2499,3.4644,2.9859,3.0512,0.27,53.97
2024-03-28,114030695.89,3.0515,3.987,2.9199,3.7521,0.34,55.61
2024-03-29,104287757.1,3.7521,4.2485,3.5028,3.9197,0.4,60.77
2024-03-30,92998681.44,3.9197,4.69,3.9173,4.2673,0.47,70.83
2024-03-31,69590963.41,4.2673,4.86,4.1842,4.5773,0.55,67.51
2024-04-01,73346503.79,4.5773,4.6499,3.9616,4.221,0.57,69.58
2024-04-02,88551956.12,4.2206,4.2466,3.6599,3.8471,0.55,67.37
2024-04-03,72057667.32,3.8463,4.1705,3.6,3.6262,0.52,61.78
2024-04-04,68437672.73,3.6262,4.0395,3.4633,3.545,0.47,65.36
2024-04-05,62233539.49,3.544,3.6051,3.1858,3.2189,0.41,61.3
2024-04-06,43802084.97,3.2188,3.5881,3.1889,3.5678,0.38,63.8
2024-04-07,65002944.69,3.5672,3.9028,3.4477,3.759,0.37,60.86
2024-04-08,61535899.03,3.7598,4.3432,3.6277,4.2025,0.4,66.4
2024-04-09,62706525.59,4.2029,4.2155,3.5203,3.5857,0.36,53.6
2024-04-10,72703072.61,3.5858,3.7039,3.2833,3.6212,0.33,56.3
2024-04-11,47401423.13,3.6215,3.8579,3.4293,3.4556,0.29,46.28
2024-04-12,105903879.79,3.4561,3.562,2.4048,2.6583,0.19,36.33
2024-04-13,154608591.07,2.6583,2.8874,1.9489,2.3273,0.09,28.9
2024-04-14,167197341.57,2.3273,3.1198,2.2395,3.0617,0.06,34.91
2024-04-15,118970487.01,3.0609,3.16,2.4549,2.7486,0.02,35.22
2024-04-16,106659723.31,2.7488,2.8001,2.41,2.679,-0.02,37.51
2024-04-17,82350653.29,2.6781,2.7924,2.3232,2.4214,-0.08,37.22
2024-04-18,79697012.07,2.422,2.7103,2.2458,2.5667,-0.11,39.76
2024-04-19,117635804.62,2.5668,3.0788,2.2517,2.9205,-0.1,46.89
2024-04-20,68187890.26,2.9203,3.0928,2.7152,3.0246,-0.08,44.04
2024-04-21,53972049.64,3.0245,3.2125,2.8951,2.9283,-0.08,40.7
2024-04-22,61059264.88,2.9274,3.0793,2.7739,2.9077,-0.08,33.98
2024-04-23,60374490.2,2.9082,3.1178,2.7403,3.0147,-0.06,41.91
2024-04-24,129907730.16,3.0146,3.5614,2.9733,3.101,-0.05,42.74
2024-04-25,112034884.23,3.1012,3.35,2.8458,3.1481,-0.03,45.56
2024-04-26,62022177.39,3.1479,3.1836,2.8175,2.8469,-0.04,53.18
2024-04-27,57378961.75,2.8468,2.861,2.6,2.7666,-0.05,58.09
2024-04-28,32820680.53,2.7672,2.8394,2.6267,2.6515,-0.07,40.22
2024-04-29,49843012.48,2.6514,2.814,2.5503,2.7703,-0.08,50.57
2024-04-30,61138885.48,2.771,2.8053,2.3417,2.5033,-0.1,45.82
2024-05-01,85954475.06,2.5032,2.7191,2.2641,2.612,-0.11,54.88
2024-05-02,69810174.93,2.6128,2.8453,2.501,2.7321,-0.11,54.29
2024-05-03,63893190.34,2.7314,3.163,2.7171,3.1092,-0.07,54.84
2024-05-04,69112601.69,3.1093,3.4868,3.0814,3.3924,-0.02,58.64
2024-05-05,48767049.05,3.3925,3.5,3.1729,3.2202,0.0,56.62
2024-05-06,77861820.77,3.2202,3.6799,3.2099,3.3618,0.03,59.76
2024-05-07,73154080.22,3.3618,3.58,2.9952,2.9994,0.03,49.7
2024-05-08,68066803.42,3.0,3.0168,2.7358,2.7772,0.01,44.04
2024-05-09,60574569.15,2.7774,3.1858,2.7747,3.1228,0.02,49.58
2024-05-10,69888877.7,3.1231,3.2558,2.9005,2.976,0.02,52.26
2024-05-11,38524896.49,2.9756,3.152,2.9756,3.0078,0.01,54.29
2024-05-12,21755865.63,3.0075,3.066,2.9301,2.972,0.01,55.86
2024-05-13,98735464.73,2.9726,3.3647,2.7533,3.0093,0.01,54.51
2024-05-14,96859527.93,3.0084,3.16,2.7637,2.7849,-0.01,55.4
2024-05-15,99084982.64,2.785,3.0947,2.7523,3.0494,0.0,57.91
2024-05-16,71432346.55,3.0499,3.15,2.7448,2.8424,-0.01,51.93
2024-05-17,54548168.47,2.8425,2.96,2.7767,2.7937,-0.02,43.75
2024-05-18,86825474.27,2.7938,2.8362,2.5067,2.5561,-0.05,33.12
2024-05-19,55718022.12,2.5563,2.6284,2.4204,2.5311,-0.07,35.22
2024-05-20,90339552.52,2.5306,2.8724,2.4948,2.8236,-0.07,39.16
