date,volume,open,high,low,close,MACD,RSI
2020-09-16,585220.199,20.0,300.0,20.0,92.496,0.0,
2020-09-17,264793.214,92.496,107.819,57.337,62.653,-2.38,
2020-09-18,128181.751,62.653,66.599,51.097,52.523,-5.03,
2020-09-19,234243.328,52.621,79.963,50.855,66.561,-5.92,
2020-09-20,87989.594,66.566,71.887,52.0,56.001,-7.4,
2020-09-21,92915.984,56.0,58.0,37.143,41.3,-9.65,
2020-09-22,80168.097,41.301,45.798,32.101,33.614,-11.91,
2020-09-23,150671.87,33.614,34.274,24.024,24.508,-14.27,
2020-09-24,144705.587,24.673,33.0,23.939,28.559,-15.64,
2020-09-25,63772.698,28.559,29.053,24.8,25.519,-16.77,
2020-09-26,49318.597,25.551,26.3,24.3,24.683,-17.54,
2020-09-27,100641.968,24.683,24.753,21.0,21.773,-18.17,
2020-09-28,145297.617,21.773,25.976,17.62,17.886,-18.76,
2020-09-29,89842.114,17.846,18.369,15.589,16.3,-19.15,
2020-09-30,123034.912,16.3,17.678,14.02,16.547,-19.21,16.28
2020-10-01,230737.839,16.589,20.433,15.627,17.344,-18.97,22.89
2020-10-02,434091.034,17.34,25.5,16.538,24.546,-18.0,32.65
2020-10-03,539113.508,24.5,30.56,21.751,24.81,-17.01,18.78
2020-10-04,193246.396,24.818,24.862,18.74,19.484,-16.46,20.38
2020-10-05,196010.841,19.478,20.289,16.703,19.251,-15.87,26.63
2020-10-06,541299.902,19.251,25.7,18.697,21.667,-15.03,35.74
2020-10-07,150946.904,21.669,22.2,18.351,18.729,-14.43,41.91
2020-10-08,258403.967,18.728,24.989,16.8,22.9,-13.47,42.11
2020-10-09,148399.065,22.773,22.904,19.968,21.025,-12.71,43.52
2020-10-10,108544.177,21.025,21.397,18.633,18.8,-12.15,41.85
2020-10-11,97028.023,18.802,20.6,17.89,19.437,-11.52,46.54
2020-10-12,94491.044,19.387,20.0,17.7,18.656,-10.96,51.25
2020-10-13,59029.949,18.65,19.294,18.083,18.58,-10.4,53.91
2020-10-14,106382.768,18.61,19.693,17.11,17.545,-9.92,51.66
2020-10-15,134743.683,17.505,19.16,16.391,17.58,-9.43,50.4
