date,volume,open,high,low,close,MACD,RSI
2020-08-28,36181.982,48.88,53.0,45.523,47.52,0.0,
2020-08-29,45821.413,47.503,53.0,46.1,50.0,0.2,
2020-08-30,426590.279,50.0,78.5,49.258,75.422,2.38,
2020-08-31,143647.568,75.458,76.144,60.712,62.0,2.99,
2020-09-01,185437.301,61.88,75.891,61.6,72.466,4.27,
2020-09-02,85395.598,72.559,72.935,55.0,60.007,4.23,
2020-09-03,85576.234,60.175,61.22,40.001,45.489,2.99,
2020-09-04,66142.484,45.779,49.29,39.019,42.976,1.79,
2020-09-05,80716.471,42.607,45.767,30.579,34.383,0.14,
2020-09-06,130743.077,34.38,41.747,31.1,38.96,-0.79,
2020-09-07,103191.81,39.042,42.888,34.174,40.292,-1.4,
2020-09-08,54788.247,40.3,41.088,35.088,36.348,-2.18,
2020-09-09,82360.08,36.37,40.5,35.15,38.588,-2.59,
2020-09-10,106289.558,38.55,46.16,38.55,40.749,-2.71,
2020-09-11,97786.903,40.669,49.235,39.267,48.532,-2.14,50.45
2020-09-12,109100.025,48.396,57.6,48.37,57.58,-0.96,53.2
2020-09-13,132767.23,57.587,61.0,44.45,52.3,-0.44,38.24
2020-09-14,260659.82,52.298,72.763,46.869,62.257,0.76,50.14
2020-09-15,224455.493,62.461,67.3,47.3,49.903,0.71,38.34
2020-09-16,124801.178,50.015,51.616,45.0,49.673,0.65,43.89
2020-09-17,116899.311,49.704,54.636,46.5,48.476,0.5,52.1
2020-09-18,69748.567,48.504,51.6,44.65,45.933,0.17,52.08
2020-09-19,79621.185,46.15,47.214,41.25,42.518,-0.37,56.16
2020-09-20,42772.789,42.313,44.499,38.0,39.965,-0.98,50.78
2020-09-21,78154.436,39.828,41.888,34.02,38.324,-1.59,48.47
2020-09-22,33340.086,38.034,41.409,37.2,39.578,-1.94,52.62
2020-09-23,36025.3,39.578,40.0,35.01,35.36,-2.53,47.46
2020-09-24,46164.711,35.328,39.53,34.121,38.373,-2.73,48.16
2020-09-25,31920.916,38.4,40.562,36.0,39.694,-2.74,42.38
2020-09-26,73035.476,39.704,43.284,38.315,41.2,-2.6,33.78
2020-09-27,33044.301,41.134,42.529,37.812,38.608,-2.67,35.68
2020-09-28,32038.716,38.615,41.087,38.41,38.5,-2.7,18.7
2020-09-29,34914.669,38.5,39.095,36.687,38.659,-2.68,28.17
2020-09-30,24122.907,38.491,38.908,36.0,36.286,-2.83,26.0
2020-10-01,40447.771,36.498,38.156,32.866,34.25,-3.07,25.24
2020-10-02,34923.29,34.22,35.5,31.1,33.601,-3.28,27.03
2020-10-03,10749.635,33.608,33.608,32.201,32.372,-3.5,29.42
2020-10-04,17027.673,32.508,33.332,30.153,32.165,-3.65,32.52
2020-10-05,12200.511,32.15,33.274,31.345,31.501,-3.78,34.01
2020-10-06,45420.194,31.6,31.74,26.975,27.689,-4.15,25.11
2020-10-07,23634.86,27.692,29.0,26.216,28.657,-4.31,33.76
2020-10-08,27801.291,28.734,30.4,26.83,29.165,-4.34,24.61
2020-10-09,35882.819,29.169,33.499,28.57,33.35,-3.99,34.89
2020-10-10,30014.978,33.318,34.789,31.9,32.829,-3.7,29.08
2020-10-11,9610.049,32.829,33.202,32.002,32.545,-3.46,32.88
2020-10-12,36492.02,32.499,40.15,31.604,36.246,-2.94,44.71
2020-10-13,10716.936,36.217,36.338,34.4,35.539,-2.55,42.86
2020-10-14,13547.921,35.584,36.092,33.354,33.946,-2.35,44.45
2020-10-15,8376.452,33.946,34.012,31.889,32.056,-2.31,44.76
2020-10-16,22834.593,31.912,32.015,29.0,29.553,-2.45,41.11
2020-10-17,7464.798,29.609,30.486,29.316,29.448,-2.55,43.25
2020-10-18,16203.524,29.407,31.774,29.407,29.643,-2.58,44.17
2020-10-19,10415.073,29.674,30.136,28.363,28.939,-2.63,44.09
2020-10-20,24984.487,29.018,29.5,24.701,25.029,-2.95,43.89
2020-10-21,23040.993,24.933,28.488,24.862,26.272,-3.07,44.59
2020-10-22,36658.471,26.272,30.097,26.2,29.122,-2.9,49.91
2020-10-23,12439.671,29.113,29.506,27.15,27.838,-2.83,37.18
2020-10-24,8021.659,27.789,29.3,27.673,28.266,-2.72,39.34
2020-10-25,14379.9,28.275,28.615,27.084,27.495,-2.66,38.46
2020-10-26,16066.008,27.377,27.707,25.474,27.211,-2.6,25.54
2020-10-27,14879.446,27.217,28.206,25.811,26.386,-2.59,25.38
2020-10-28,17054.316,26.386,27.027,23.903,24.437,-2.71,24.9
2020-10-29,21702.699,24.525,25.392,22.599,22.951,-2.9,25.44
2020-10-30,28862.494,22.955,23.503,20.63,21.169,-3.15,26.47
2020-10-31,16727.43,21.141,22.8,20.954,21.149,-3.31,26.6
2020-11-01,10553.164,21.076,22.318,20.957,21.899,-3.34,28.83
2020-11-02,33212.358,21.967,22.723,19.628,20.071,-3.47,27.16
2020-11-03,45924.859,20.018,20.78,18.3,18.95,-3.63,31.71
2020-11-04,37770.69,19.0,19.231,17.961,18.854,-3.71,26.03
2020-11-05,38213.84,18.858,20.237,18.412,19.756,-3.66,15.38
2020-11-06,72747.231,19.816,22.524,19.676,22.127,-3.4,30.46
2020-11-07,115046.182,22.122,24.057,19.214,20.692,-3.26,25.76
2020-11-08,23244.834,20.678,22.58,20.486,21.426,-3.06,30.53
2020-11-09,41247.852,21.522,23.108,20.954,21.446,-2.87,31.18
2020-11-10,64602.278,21.341,23.73,21.209,22.6,-2.59,37.9
2020-11-11,78024.223,22.653,24.849,22.6,23.047,-2.31,45.09
2020-11-12,41699.066,22.95,24.294,21.889,23.092,-2.06,50.55
2020-11-13,55577.125,23.123,24.887,22.573,23.186,-1.83,59.15
2020-11-14,24541.36,23.186,23.97,22.01,22.633,-1.68,56.42
2020-11-15,118099.434,22.591,24.92,22.225,23.311,-1.48,56.15
2020-11-16,114303.307,23.375,26.87,22.6,25.83,-1.11,73.66
2020-11-17,81364.82,25.838,28.0,25.817,27.165,-0.7,83.17
2020-11-18,81329.161,27.108,27.86,24.583,25.862,-0.48,75.78
2020-11-19,26435.368,25.835,26.419,24.394,24.9,-0.37,68.84
2020-11-20,39121.679,24.964,27.4,24.779,26.422,-0.17,66.78
2020-11-21,49415.886,26.382,28.6,26.0,27.6,0.09,77.54
2020-11-22,50069.744,27.599,28.307,25.56,27.048,0.25,72.74
2020-11-23,109055.984,27.048,28.881,26.537,27.03,0.37,72.59
2020-11-24,122659.676,27.029,28.001,24.605,25.734,0.36,62.53
2020-11-25,107609.681,25.719,26.373,22.994,23.095,0.13,50.16
2020-11-26,176895.621,23.095,23.88,18.276,20.467,-0.26,42.4
2020-11-27,31488.482,20.539,21.256,19.05,19.891,-0.61,40.72
2020-11-28,41244.218,19.899,21.752,19.782,21.165,-0.77,46.03
2020-11-29,25360.324,21.086,22.133,20.453,22.099,-0.81,46.77
2020-11-30,60699.165,22.065,23.0,21.16,22.751,-0.79,40.87
2020-12-01,50526.062,22.784,22.851,20.01,20.895,-0.91,31.97
2020-12-02,81256.236,20.923,23.989,20.34,22.177,-0.89,39.39
2020-12-03,30905.645,22.177,23.517,22.105,22.946,-0.8,44.31
2020-12-04,33328.542,22.992,23.5,20.735,21.188,-0.86,34.97
2020-12-05,36236.643,21.188,22.692,20.814,22.152,-0.82,34.16
2020-12-06,30907.353,22.198,23.399,21.561,22.751,-0.74,37.54
2020-12-07,33378.481,22.755,23.3,21.703,22.727,-0.66,37.53
2020-12-08,82885.971,22.707,22.857,19.301,19.608,-0.85,33.94
2020-12-09,45230.504,19.618,20.515,18.96,20.505,-0.91,42.53
2020-12-10,54378.998,20.541,20.546,18.297,18.474,-1.11,44.05
2020-12-11,35735.329,18.473,19.49,17.493,18.781,-1.23,46.63
2020-12-12,17821.163,18.781,19.967,18.768,19.422,-1.26,44.5
2020-12-13,20585.948,19.45,19.891,18.971,19.54,-1.26,41.48
2020-12-14,390547.015,19.545,19.555,16.0,17.498,-1.4,33.99
2020-12-15,180207.11,17.498,18.0,16.1,16.8,-1.56,36.57
2020-12-16,162004.878,16.796,17.235,15.793,17.131,-1.64,32.35
