date,volume,open,high,low,close,MACD,RSI
2024-01-09,341248703.0,0.02,1.2,0.02,0.601,0.0,
2024-01-10,213943940.6,0.6009,0.6729,0.4517,0.648,0.0,
2024-01-11,189239654.8,0.648,0.7332,0.5901,0.6358,0.01,
2024-01-12,69105981.9,0.6356,0.6384,0.53,0.5816,0.0,
2024-01-13,76858911.8,0.5816,0.6576,0.535,0.642,0.01,
2024-01-14,259302082.5,0.6412,0.95,0.6011,0.8784,0.03,
2024-01-15,285950719.9,0.8788,1.188,0.828,1.1332,0.06,
2024-01-16,202179591.4,1.1321,1.2362,0.965,1.0192,0.08,
2024-01-17,193471070.2,1.0192,1.2329,0.9437,1.1124,0.1,
2024-01-18,163566828.5,1.1124,1.1511,0.9726,1.0212,0.11,
2024-01-19,163527646.9,1.0214,1.0331,0.81,0.8501,0.1,
2024-01-20,89858710.9,0.85,0.8774,0.7717,0.7933,0.09,
2024-01-21,81346387.6,0.793,0.865,0.7727,0.8067,0.08,
2024-01-22,83195450.0,0.8067,0.84,0.7361,0.7498,0.07,
2024-01-23,85133866.7,0.7497,0.7739,0.6613,0.7327,0.05,55.15
2024-01-24,94863681.5,0.7326,0.7827,0.7127,0.7712,0.05,54.85
2024-01-25,64250308.4,0.7713,0.7766,0.687,0.7078,0.04,52.72
2024-01-26,102155033.8,0.7079,0.8415,0.6956,0.8381,0.04,59.18
2024-01-27,112959489.3,0.8381,0.9274,0.8183,0.8838,0.04,58.74
2024-01-28,68358080.5,0.8838,0.9134,0.8206,0.832,0.04,48.06
2024-01-29,69280584.9,0.832,0.8758,0.815,0.8396,0.04,34.56
2024-01-30,76174886.5,0.8397,0.9034,0.8211,0.8544,0.04,40.33
2024-01-31,83371387.0,0.8544,0.8693,0.7543,0.7578,0.03,29.27
2024-02-01,43463969.6,0.7577,0.7877,0.7332,0.7699,0.03,33.81
2024-02-02,29872960.4,0.7703,0.7979,0.747,0.7812,0.02,44.41
2024-02-03,47450249.9,0.7812,0.8448,0.7402,0.8314,0.02,53.12
