date,volume,open,high,low,close,MACD,RSI
2020-12-11,15443.65,10.0,11.5,9.662,11.5,0.0,
2020-12-12,16901.34,11.551,11.552,9.332,10.282,-0.1,
2020-12-13,62677.91,10.058,10.72,7.502,7.625,-0.38,
2020-12-14,70680.82,7.578,8.708,7.353,8.319,-0.55,
2020-12-15,28514.78,8.199,8.94,7.574,8.775,-0.64,
2020-12-16,31903.13,8.789,9.641,5.5,5.658,-0.95,
2020-12-17,36201.28,5.524,6.3,4.551,5.9,-1.16,
2020-12-18,13866.98,6.05,6.462,5.656,5.991,-1.3,
2020-12-19,9215.86,5.989,6.29,5.874,6.188,-1.39,
2020-12-20,6795.37,6.281,6.77,5.988,6.471,-1.41,
2020-12-21,19706.92,6.636,8.2,6.174,7.528,-1.34,
2020-12-22,43855.59,7.633,9.032,7.148,8.071,-1.21,
2020-12-23,72111.09,8.124,17.4,8.112,12.075,-0.79,
2020-12-24,192733.27,11.766,12.548,5.466,6.101,-0.92,
2020-12-25,94062.82,6.221,7.191,5.51,6.764,-0.96,38.83
2020-12-26,21579.17,6.822,7.534,6.517,7.3,-0.94,42.73
2020-12-27,38915.22,7.5,8.488,6.201,7.168,-0.92,48.73
2020-12-28,12386.27,7.502,7.768,6.312,7.414,-0.88,47.42
2020-12-29,63612.18,7.46,9.395,7.139,7.734,-0.81,47.01
2020-12-30,40753.08,7.767,9.3,7.584,8.785,-0.66,60.19
2020-12-31,45066.35,8.902,10.276,8.634,9.509,-0.48,61.41
2021-01-01,35854.26,9.509,9.537,7.336,8.472,-0.41,57.4
2021-01-02,14667.47,8.57,9.3,8.163,9.125,-0.31,58.53
2021-01-03,28591.68,9.24,9.774,7.49,7.915,-0.32,53.98
2021-01-04,384562.94,7.825,8.117,3.819,4.025,-0.63,41.65
2021-01-05,1697032.89,4.008,4.805,2.377,2.715,-0.97,37.69
2021-01-06,79658359.22,2.699,2.75,0.365,0.385,-1.42,20.89
2021-01-07,126591337.41,0.384,0.428,0.215,0.304,-1.75,29.56
2021-01-08,59030914.47,0.303,0.426,0.229,0.296,-2.0,26.09
2021-01-09,21951647.28,0.293,0.34,0.221,0.253,-2.17,22.97
2021-01-10,34411813.27,0.25,0.355,0.226,0.289,-2.28,23.42
2021-01-11,48676211.87,0.29,0.534,0.263,0.275,-2.34,21.91
2021-01-12,58938517.53,0.274,0.316,0.192,0.236,-2.36,19.83
2021-01-13,25258473.59,0.24,0.25,0.178,0.187,-2.36,12.37
2021-01-14,20689918.4,0.187,0.216,0.155,0.18,-2.33,6.44
2021-01-15,13126744.0,0.18,0.2399,0.168,0.1858,-2.28,7.18
2021-01-16,11524645.9,0.1838,0.197,0.1432,0.1697,-2.21,0.46
2021-01-17,9236447.03,0.1736,0.1772,0.133,0.1516,-2.14,0.53
2021-01-18,3672133.7,0.1503,0.1627,0.1461,0.1502,-2.06,1.06
2021-01-19,4980369.98,0.1504,0.167,0.1341,0.161,-1.97,1.98
2021-01-20,4706467.78,0.1611,0.1876,0.1569,0.165,-1.88,16.99
2021-01-21,3313466.78,0.1641,0.2322,0.1625,0.2141,-1.78,35.08
2021-01-22,4120960.29,0.2163,0.27,0.1545,0.1691,-1.68,31.24
2021-01-23,2988647.29,0.1718,0.1795,0.1575,0.1713,-1.59,36.27
2021-01-24,1155045.42,0.1711,0.1821,0.1547,0.1695,-1.5,27.31
