date,volume,open,high,low,close,MACD,RSI
2020-12-11,13160.32,10.0,10.322,8.564,8.57,0.0,
2020-12-12,36116.26,8.57,10.796,8.57,9.736,0.09,
2020-12-13,56595.27,9.774,12.921,9.305,12.322,0.37,
2020-12-14,55910.07,12.212,12.665,10.659,11.346,0.51,
2020-12-15,50074.06,11.346,12.442,10.6,10.725,0.56,
2020-12-16,95907.41,10.4,15.162,9.777,14.938,0.93,
2020-12-17,118768.11,15.2,17.549,12.162,13.629,1.1,
2020-12-18,60156.49,13.596,14.242,12.286,13.486,1.22,
2020-12-19,15509.75,13.486,13.888,12.399,12.83,1.24,
2020-12-20,32413.46,12.782,12.927,11.262,11.821,1.16,
2020-12-21,21094.59,11.511,12.5,9.0,10.103,0.95,
2020-12-22,80030.77,9.859,10.185,7.97,9.152,0.7,
2020-12-23,77727.93,9.152,9.152,4.645,5.954,0.24,
2020-12-24,193594.38,6.022,10.551,5.765,9.581,0.16,
2020-12-25,119488.05,9.685,11.05,7.912,8.533,0.02,49.92
2020-12-26,88418.24,8.533,8.951,7.281,7.91,-0.14,45.97
2020-12-27,133696.13,7.91,9.085,6.2,7.508,-0.3,38.26
2020-12-28,69433.32,7.664,8.967,7.1,7.516,-0.42,40.19
2020-12-29,86112.62,7.556,8.159,5.333,6.267,-0.61,38.94
2020-12-30,70640.76,6.317,6.439,5.48,5.774,-0.79,22.12
2020-12-31,119191.9,5.744,5.842,4.963,5.39,-0.95,23.44
2021-01-01,122293.79,5.353,6.297,5.353,5.699,-1.04,25.16
2021-01-02,51508.51,5.614,5.868,5.251,5.37,-1.13,25.7
2021-01-03,136676.57,5.335,6.209,5.044,5.92,-1.14,30.18
2021-01-04,618371.34,6.061,8.547,5.262,8.203,-0.95,43.85
2021-01-05,642482.48,8.212,13.484,6.709,11.423,-0.54,56.41
2021-01-06,2325444.94,11.699,46.313,11.249,36.209,1.77,88.48
2021-01-07,649430.82,36.374,50.618,24.475,29.186,3.0,72.95
2021-01-08,482186.95,29.302,31.917,19.735,25.796,3.65,69.16
2021-01-09,256300.71,25.796,31.009,22.351,27.526,4.26,71.25
2021-01-10,236169.23,27.542,30.6,17.41,21.594,4.22,63.63
2021-01-11,573737.7,21.49,21.5,9.475,16.621,3.74,58.04
2021-01-12,552263.56,16.651,22.242,14.35,17.496,3.4,59.98
2021-01-13,263602.92,17.4,21.362,16.522,20.283,3.31,62.39
2021-01-14,290139.89,20.505,23.331,17.48,19.644,3.15,62.12
2021-01-15,237292.96,19.748,21.38,12.488,16.278,2.72,58.55
2021-01-16,308350.65,16.5,20.624,15.253,17.336,2.44,59.56
2021-01-17,246732.04,17.337,21.0,16.811,18.813,2.31,60.15
2021-01-18,118769.06,18.958,19.455,17.6,19.0,2.19,58.79
2021-01-19,259734.1,19.0,20.8,16.458,17.074,1.92,54.7
2021-01-20,153498.67,17.074,17.62,13.698,16.288,1.63,22.45
2021-01-21,245149.06,16.35,16.492,9.43,10.476,0.92,23.22
2021-01-22,315915.6,10.507,11.69,7.301,10.775,0.37,26.42
2021-01-23,117269.22,10.769,11.588,10.326,10.877,-0.05,22.45
2021-01-24,83083.79,10.817,11.88,10.201,10.879,-0.38,27.94
2021-01-25,150718.51,10.88,11.4,9.997,10.078,-0.7,33.74
2021-01-26,161201.44,10.051,10.4,9.0,10.045,-0.95,30.67
2021-01-27,116966.79,10.07,10.149,7.6,8.255,-1.27,17.1
2021-01-28,829501.44,8.177,13.755,7.73,12.843,-1.14,34.7
2021-01-29,1685628.32,12.885,21.36,10.907,11.47,-1.14,38.12
2021-01-30,1153756.58,11.47,18.55,10.044,14.923,-0.85,44.67
2021-01-31,737697.58,14.875,15.914,10.937,12.382,-0.81,36.43
2021-02-01,1743994.93,12.388,18.45,10.815,13.753,-0.67,39.45
2021-02-02,676430.49,13.795,16.6,13.162,15.292,-0.42,46.36
2021-02-03,556656.36,15.292,16.312,14.182,15.851,-0.18,49.1
2021-02-04,594112.63,15.86,16.276,11.664,13.248,-0.2,56.58
2021-02-05,606697.85,13.273,17.348,13.086,15.894,0.0,60.94
2021-02-06,792365.83,15.884,20.884,13.886,18.647,0.38,64.91
2021-02-07,1131658.13,18.647,23.541,16.9,19.397,0.73,65.89
2021-02-08,553703.7,19.536,21.399,18.092,20.564,1.09,69.3
2021-02-09,351412.98,20.551,21.512,18.234,20.54,1.36,69.32
2021-02-10,540849.19,20.598,25.967,16.908,21.962,1.66,75.58
2021-02-11,534317.58,21.858,28.95,21.097,26.911,2.28,75.91
2021-02-12,397539.09,26.903,36.919,23.67,35.656,3.43,85.03
2021-02-13,505641.07,35.841,46.0,31.066,39.416,4.6,85.16
2021-02-14,240377.58,39.377,41.271,28.31,31.404,4.82,73.6
2021-02-15,400770.87,31.567,34.658,15.14,27.325,4.61,65.78
2021-02-16,175729.02,27.639,31.129,23.702,26.229,4.31,62.85
2021-02-17,151907.27,26.229,29.774,22.0,27.861,4.16,63.76
2021-02-18,122376.85,27.827,30.211,25.424,27.129,3.93,66.62
2021-02-19,150491.2,27.126,30.656,25.245,29.114,3.86,66.08
2021-02-20,222957.24,28.941,31.606,20.649,24.839,3.43,57.26
2021-02-21,82257.01,24.805,27.759,23.323,26.064,3.15,57.73
2021-02-22,956911.45,26.081,30.268,10.428,19.086,2.33,48.49
2021-02-23,1339359.27,19.14,19.25,6.006,10.964,1.02,41.6
2021-02-24,498353.86,10.963,14.037,9.79,12.138,0.07,41.35
2021-02-25,310752.58,12.124,13.637,10.15,10.405,-0.81,34.59
2021-02-26,818482.11,10.475,11.8,8.559,11.676,-1.39,23.98
2021-02-27,680285.06,11.677,16.606,11.6,14.223,-1.62,21.92
2021-02-28,385601.43,14.299,15.103,10.444,12.1,-1.96,25.23
2021-03-01,316054.87,12.126,14.007,11.762,13.667,-2.07,31.27
2021-03-02,389639.75,13.689,14.05,11.111,12.944,-2.19,31.59
2021-03-03,240087.58,12.88,14.346,12.473,13.058,-2.26,28.59
2021-03-04,225808.44,13.049,13.5,11.7,12.423,-2.33,28.67
2021-03-05,180587.97,12.448,12.513,10.704,11.989,-2.4,23.99
2021-03-06,116815.64,12.02,12.264,11.04,11.731,-2.44,27.32
2021-03-07,235821.05,11.764,13.222,11.764,12.509,-2.39,26.18
2021-03-08,239319.43,12.468,12.998,11.843,12.805,-2.3,35.58
2021-03-09,296474.39,12.791,13.7,12.444,13.4,-2.15,58.55
2021-03-10,349385.52,13.425,13.485,11.992,12.062,-2.12,49.74
2021-03-11,160114.56,12.031,12.257,11.251,11.812,-2.09,55.44
2021-03-12,149574.13,11.799,11.894,10.0,10.6,-2.14,45.82
2021-03-13,197000.6,10.621,12.094,9.92,11.701,-2.06,38.96
2021-03-14,155764.21,11.7,11.846,10.492,10.55,-2.07,42.59
2021-03-15,161449.48,10.513,11.167,9.177,10.17,-2.09,31.13
2021-03-16,313074.2,10.215,11.952,9.5,10.848,-2.02,38.63
2021-03-17,155169.42,10.873,11.396,10.302,11.221,-1.92,40.31
2021-03-18,173830.77,11.218,11.558,10.554,10.636,-1.86,40.52
2021-03-19,107339.67,10.603,11.084,10.25,10.611,-1.8,42.36
2021-03-20,380069.56,10.584,12.788,10.437,11.588,-1.65,49.27
2021-03-21,293425.09,11.624,12.007,10.345,10.885,-1.57,41.6
2021-03-22,340690.76,10.922,12.0,10.2,10.272,-1.54,37.31
2021-03-23,308379.96,10.269,11.107,10.027,10.382,-1.49,34.11
2021-03-24,180338.46,10.345,10.779,7.853,8.6,-1.57,32.59
2021-03-25,176917.35,8.568,9.0,7.441,8.558,-1.63,33.28
2021-03-26,163139.56,8.522,9.902,8.479,9.725,-1.56,45.48
2021-03-27,106567.86,9.761,10.0,9.05,9.584,-1.49,37.87
2021-03-28,227970.79,9.589,11.085,9.359,10.298,-1.37,48.48
2021-03-29,164835.85,10.313,11.092,9.984,10.606,-1.24,52.65
2021-03-30,109061.54,10.6,10.972,10.188,10.307,-1.14,46.55
2021-03-31,172342.24,10.308,10.499,9.056,10.482,-1.04,45.16
2021-04-01,383674.89,10.462,11.567,9.9,11.2,-0.89,53.63
2021-04-02,559597.09,11.2,13.688,11.2,11.981,-0.7,58.03
2021-04-03,394573.17,11.906,12.95,9.88,10.025,-0.7,41.78
2021-04-04,286661.29,9.933,11.528,9.586,11.061,-0.61,50.89
2021-04-05,1111693.04,11.091,17.999,10.758,17.0,-0.05,72.18
2021-04-06,1216636.37,16.979,19.902,12.8,17.118,0.39,72.19
2021-04-07,947789.11,17.129,17.45,10.444,11.936,0.32,58.98
2021-04-08,647671.16,11.94,14.1,11.449,14.079,0.43,63.35
2021-04-09,415965.73,14.025,14.292,12.05,12.67,0.4,57.04
2021-04-10,1442581.78,12.674,20.4,12.345,17.893,0.79,65.98
2021-04-11,1570956.03,17.894,25.564,17.337,19.6,1.22,67.23
2021-04-12,590806.6,19.54,21.562,17.836,19.862,1.57,67.17
2021-04-13,1147349.11,19.82,26.372,18.842,23.706,2.12,71.97
2021-04-14,1172194.86,23.681,27.271,16.111,21.103,2.33,66.13
2021-04-15,672567.72,21.032,22.177,19.0,21.089,2.46,65.35
2021-04-16,978882.97,21.154,22.403,13.918,17.972,2.29,58.67
2021-04-17,511051.95,17.91,21.175,15.766,16.066,1.98,58.75
2021-04-18,1986376.63,16.008,19.989,4.3,10.346,1.26,49.09
2021-04-19,804141.9,10.346,11.087,8.329,8.631,0.54,38.03
2021-04-20,647826.47,8.755,9.841,7.5,9.779,0.06,39.8
2021-04-21,484468.85,9.779,10.083,8.137,8.347,-0.43,44.43
2021-04-22,593372.94,8.387,9.251,6.742,6.926,-0.92,38.65
2021-04-23,1544801.65,6.899,7.181,3.777,6.567,-1.32,39.99
2021-04-24,543972.38,6.594,6.946,5.408,5.792,-1.69,26.75
2021-04-25,399821.72,5.843,6.451,5.001,5.483,-1.98,21.34
2021-04-26,752112.71,5.504,7.764,5.428,7.72,-2.0,27.18
