date,volume,open,high,low,close,MACD,RSI
2019-03-15,4908.5377,51.99,52.22,48.67,52.1,0.0,
2019-03-16,8103.46093,52.1,54.89,52.1,53.35,0.1,
2019-03-17,3314.97426,53.56,53.57,51.54,52.36,0.1,
2019-03-18,4037.80163,52.38,53.01,51.27,52.06,0.07,
2019-03-19,6567.87086,51.93,54.0,51.61,52.9,0.12,
2019-03-20,8340.92803,52.83,54.6,52.41,54.19,0.25,
2019-03-21,7047.37704,54.29,54.29,50.0,52.28,0.21,
2019-03-22,3488.38037,52.22,53.25,51.83,52.66,0.2,
2019-03-23,4902.64719,52.9,53.25,51.93,52.67,0.19,
2019-03-24,3765.42597,52.56,52.89,52.2,52.64,0.18,
2019-03-25,8674.60473,52.57,52.92,50.0,51.21,0.05,
2019-03-26,5716.81669,51.28,52.05,49.76,51.74,-0.01,
2019-03-27,4570.70984,51.81,53.6,51.67,53.48,0.09,
2019-03-28,8971.55712,53.27,53.35,52.18,52.8,0.11,
2019-03-29,6652.54724,52.57,54.15,52.18,53.72,0.2,56.59
2019-03-30,3337.9065,53.58,54.0,53.01,53.53,0.25,50.8
2019-03-31,12798.87428,53.5,56.83,50.56,56.07,0.49,64.5
2019-04-01,16485.98216,56.01,60.5,55.66,60.13,0.99,74.38
2019-04-02,31894.06812,60.05,70.0,58.87,68.94,2.08,82.71
2019-04-03,36232.35681,68.83,72.9,60.01,65.88,2.66,72.23
2019-04-04,14457.30872,65.88,66.77,61.15,63.57,2.91,71.15
2019-04-05,16267.2802,63.77,69.08,63.22,69.08,3.5,75.8
2019-04-06,16698.18642,68.93,69.97,66.32,67.82,3.83,72.91
2019-04-07,6695.73288,67.87,70.09,67.63,69.34,4.17,74.16
2019-04-08,17181.60679,69.35,72.27,67.4,70.47,4.47,78.11
2019-04-09,14689.79196,70.42,70.55,66.82,67.75,4.44,71.96
2019-04-10,13288.04389,67.75,72.0,67.49,70.86,4.62,72.98
2019-04-11,17040.10943,70.64,71.17,61.51,65.97,4.31,65.67
2019-04-12,12377.68428,66.1,68.5,64.36,65.73,4.0,64.52
2019-04-13,9722.91175,65.39,67.36,63.07,64.92,3.65,63.57
2019-04-14,9393.30988,64.82,67.0,63.81,66.25,3.44,62.49
2019-04-15,6987.37941,66.32,66.82,63.27,63.91,3.05,54.84
2019-04-16,10606.91949,63.81,69.66,63.41,68.16,3.05,48.87
