date,volume,open,high,low,close,MACD,RSI
2022-01-28,2664475.46,2.224,3.89,2.126,2.284,0.0,
2022-01-29,759171.61,2.285,2.43,2.251,2.307,0.0,
2022-01-30,335437.48,2.31,2.355,2.175,2.212,-0.0,
2022-01-31,617704.91,2.212,2.3,2.092,2.14,-0.01,
2022-02-01,421554.72,2.14,2.246,2.104,2.144,-0.02,
2022-02-02,309134.58,2.144,2.2,2.074,2.095,-0.03,
2022-02-03,337193.01,2.092,2.16,2.006,2.069,-0.04,
2022-02-04,397527.22,2.068,2.24,2.049,2.226,-0.04,
2022-02-05,361300.26,2.228,2.362,2.18,2.203,-0.03,
2022-02-06,295394.78,2.204,2.314,2.189,2.248,-0.03,
2022-02-07,439297.94,2.247,2.398,2.221,2.362,-0.01,
2022-02-08,549500.22,2.364,2.448,2.249,2.357,-0.0,
2022-02-09,553008.03,2.358,2.5,2.314,2.368,0.01,
2022-02-10,467149.44,2.373,2.466,2.29,2.365,0.02,
2022-02-11,436003.79,2.365,2.382,2.15,2.176,0.01,43.38
2022-02-12,306457.83,2.185,2.233,2.137,2.168,-0.0,41.32
2022-02-13,279453.36,2.174,2.28,2.104,2.11,-0.01,43.32
2022-02-14,244676.4,2.11,2.168,2.09,2.14,-0.02,50.0
2022-02-15,423818.94,2.134,2.373,2.128,2.326,-0.01,60.07
2022-02-16,270749.32,2.332,2.359,2.211,2.25,-0.01,58.32
2022-02-17,276450.68,2.25,2.296,2.061,2.098,-0.02,51.37
2022-02-18,270020.87,2.101,2.152,2.01,2.056,-0.03,40.98
2022-02-19,238322.61,2.056,2.125,2.015,2.083,-0.04,43.66
2022-02-20,334819.69,2.083,2.083,1.887,1.958,-0.05,35.87
2022-02-21,595665.01,1.956,2.128,1.879,1.89,-0.07,25.92
2022-02-22,314498.39,1.885,1.986,1.839,1.969,-0.07,31.59
2022-02-23,520114.86,1.968,2.086,1.891,1.904,-0.08,29.06
2022-02-24,1020414.82,1.902,1.919,1.585,1.768,-0.1,25.95
2022-02-25,355988.28,1.765,1.91,1.76,1.861,-0.1,36.24
2022-02-26,308805.59,1.865,1.912,1.841,1.864,-0.1,36.67
2022-02-27,411896.81,1.857,1.905,1.728,1.745,-0.11,34.8
2022-02-28,439727.98,1.745,1.983,1.706,1.934,-0.11,42.43
2022-03-01,792958.33,1.925,1.963,1.853,1.914,-0.1,32.75
2022-03-02,434782.91,1.911,1.94,1.836,1.865,-0.1,33.5
2022-03-03,797240.84,1.866,2.035,1.852,1.863,-0.1,38.45
2022-03-04,439708.33,1.864,1.926,1.729,1.743,-0.1,35.71
2022-03-05,311204.83,1.745,1.843,1.719,1.806,-0.1,37.75
2022-03-06,1103077.17,1.807,1.822,1.667,1.675,-0.11,37.55
2022-03-07,704501.78,1.676,1.7,1.586,1.614,-0.12,37.79
2022-03-08,399186.74,1.616,1.692,1.601,1.674,-0.12,36.72
2022-03-09,450501.01,1.675,1.799,1.672,1.739,-0.12,42.57
2022-03-10,396457.4,1.742,1.757,1.64,1.683,-0.11,45.88
2022-03-11,485058.08,1.681,1.739,1.647,1.683,-0.11,40.51
2022-03-12,373764.21,1.68,1.783,1.679,1.709,-0.11,41.94
2022-03-13,344215.4,1.707,1.749,1.59,1.625,-0.11,43.52
2022-03-14,453735.05,1.624,1.709,1.61,1.694,-0.1,35.11
2022-03-15,477921.37,1.698,1.723,1.627,1.689,-0.1,35.78
2022-03-16,18901277.87,1.692,3.201,1.678,2.315,-0.04,66.45
2022-03-17,28486032.19,2.313,3.028,2.046,2.613,0.02,72.54
2022-03-18,4096978.43,2.61,2.63,2.238,2.335,0.05,66.25
2022-03-19,1575760.73,2.337,2.404,2.258,2.277,0.07,62.96
2022-03-20,911297.03,2.275,2.333,2.179,2.208,0.08,65.19
2022-03-21,660655.43,2.209,2.291,2.159,2.213,0.09,67.63
2022-03-22,543406.35,2.21,2.311,2.201,2.231,0.09,66.81
2022-03-23,752629.56,2.23,2.366,2.211,2.28,0.1,66.48
2022-03-24,594723.93,2.283,2.41,2.264,2.324,0.11,69.67
2022-03-25,4349974.47,2.324,2.882,2.3,2.44,0.12,71.69
2022-03-26,931586.04,2.444,2.58,2.418,2.497,0.13,72.18
2022-03-27,741864.02,2.497,2.602,2.438,2.537,0.15,76.33
2022-03-28,816990.08,2.537,2.64,2.419,2.481,0.15,72.89
2022-03-29,699872.09,2.488,2.592,2.449,2.508,0.15,73.52
2022-03-30,573314.83,2.508,2.595,2.454,2.513,0.16,58.84
2022-03-31,629416.85,2.512,2.658,2.454,2.468,0.15,41.64
2022-04-01,643327.04,2.467,2.584,2.327,2.537,0.15,65.35
2022-04-02,671851.89,2.537,2.658,2.53,2.539,0.15,71.76
2022-04-03,1770503.5,2.539,2.85,2.489,2.724,0.16,85.93
2022-04-04,6985496.75,2.726,3.33,2.687,2.867,0.18,88.2
2022-04-05,853547.55,2.868,2.92,2.691,2.704,0.18,73.63
2022-04-06,1087584.05,2.704,2.725,2.451,2.468,0.16,57.91
2022-04-07,500069.81,2.469,2.556,2.421,2.507,0.15,57.73
2022-04-08,490644.48,2.507,2.579,2.404,2.418,0.12,49.05
2022-04-09,379747.86,2.417,2.499,2.398,2.44,0.11,47.46
2022-04-10,556517.84,2.442,2.622,2.388,2.465,0.1,46.75
2022-04-11,637531.8,2.45,2.456,2.14,2.19,0.07,39.02
2022-04-12,450484.46,2.19,2.34,2.171,2.269,0.05,41.32
2022-04-13,362169.66,2.269,2.306,2.228,2.279,0.03,41.53
2022-04-14,377915.85,2.282,2.347,2.17,2.19,0.01,40.25
2022-04-15,332952.87,2.189,2.209,2.137,2.155,-0.01,36.28
2022-04-16,315020.89,2.155,2.201,2.115,2.138,-0.02,35.75
2022-04-17,246313.95,2.138,2.168,2.06,2.068,-0.04,24.61
2022-04-18,492450.74,2.066,2.15,1.983,2.144,-0.05,20.49
2022-04-19,474357.23,2.142,2.17,2.088,2.141,-0.05,23.57
2022-04-20,616724.36,2.141,2.233,2.081,2.115,-0.06,29.36
2022-04-21,542768.05,2.115,2.177,2.001,2.042,-0.07,23.85
2022-04-22,339367.0,2.041,2.115,2.031,2.054,-0.07,27.59
2022-04-23,296404.47,2.055,2.101,2.024,2.071,-0.08,27.14
2022-04-24,330077.61,2.071,2.114,2.015,2.024,-0.08,23.4
2022-04-25,890926.96,2.023,2.23,1.91,2.119,-0.08,44.53
2022-04-26,738049.52,2.118,2.133,1.868,1.89,-0.09,26.28
