date,volume,open,high,low,close,MACD,RSI
2018-05-04,20890213.82,0.5,1.5,0.5,0.8899,0.0,
2018-05-05,16816165.3,0.8898,0.935,0.888,0.9028,0.0,
2018-05-06,16002035.8,0.9028,0.918,0.83774,0.86483,-0.0,
2018-05-07,17303486.4,0.86482,0.86886,0.8,0.8249,-0.01,
2018-05-08,12971303.18,0.8249,0.84802,0.792,0.80667,-0.01,
2018-05-09,13982375.89,0.80667,0.81894,0.7569,0.79481,-0.02,
2018-05-10,10136895.73,0.79481,0.80572,0.74085,0.74558,-0.02,
2018-05-11,31292480.04,0.7492,0.75602,0.64758,0.6761,-0.04,
2018-05-12,18181151.11,0.67376,0.71,0.62519,0.68522,-0.04,
2018-05-13,17521261.77,0.68192,0.7501,0.66456,0.72999,-0.04,
2018-05-14,21771364.96,0.72999,0.7499,0.68585,0.72694,-0.05,
2018-05-15,12951988.45,0.72695,0.74892,0.6801,0.689,-0.05,
2018-05-16,11182432.7,0.689,0.712,0.65756,0.70585,-0.05,
2018-05-17,10070061.14,0.70942,0.712,0.6482,0.65849,-0.05,
2018-05-18,10140675.13,0.65849,0.68255,0.646,0.67766,-0.06,24.6
2018-05-19,6854397.75,0.67698,0.69139,0.6611,0.67339,-0.06,21.97
2018-05-20,8055673.92,0.67483,0.70659,0.668,0.6994,-0.05,29.18
2018-05-21,7908213.57,0.6994,0.705,0.66666,0.67612,-0.05,30.46
2018-05-22,7567010.71,0.67612,0.67817,0.635,0.63782,-0.05,28.93
2018-05-23,20078062.21,0.63782,0.64488,0.5731,0.59198,-0.06,26.67
2018-05-24,14214140.1,0.59053,0.64,0.57617,0.62814,-0.06,36.07
2018-05-25,20060607.91,0.62966,0.63391,0.59336,0.60459,-0.06,40.48
2018-05-26,25800066.42,0.60596,0.62618,0.59771,0.60852,-0.06,39.65
2018-05-27,23735080.8,0.60907,0.648,0.59705,0.60416,-0.06,30.94
2018-05-28,29854808.11,0.60417,0.6091,0.5434,0.54689,-0.06,26.57
2018-05-29,30948291.22,0.54689,0.60921,0.54303,0.59998,-0.06,38.86
2018-05-30,31305613.07,0.5997,0.626,0.58101,0.60149,-0.06,36.41
2018-05-31,33579966.89,0.60051,0.62255,0.58829,0.6114,-0.06,43.21
2018-06-01,34403361.87,0.6114,0.62428,0.6024,0.62151,-0.05,41.68
2018-06-02,37211532.2,0.62236,0.65204,0.61513,0.64269,-0.05,45.67
2018-06-03,37142715.53,0.64285,0.69101,0.63862,0.6901,-0.04,48.76
2018-06-04,48289982.65,0.6901,0.707,0.6351,0.65507,-0.03,47.28
2018-06-05,42509387.77,0.65508,0.686,0.6328,0.67464,-0.03,54.99
2018-06-06,34326183.79,0.67507,0.6833,0.653,0.6741,-0.02,62.69
2018-06-07,35031819.04,0.6738,0.69,0.67089,0.67756,-0.02,58.49
2018-06-08,32089604.02,0.6777,0.68,0.65832,0.6721,-0.02,62.37
2018-06-09,31323211.84,0.67211,0.68,0.65514,0.6574,-0.01,58.62
2018-06-10,47688606.63,0.65687,0.6585,0.55,0.58201,-0.02,46.88
2018-06-11,23744329.91,0.58202,0.6,0.56,0.59989,-0.02,58.41
2018-06-12,29332950.65,0.59901,0.5991,0.5415,0.5556,-0.03,42.76
2018-06-13,36877773.15,0.5556,0.56124,0.50401,0.52862,-0.03,39.02
2018-06-14,35000456.5,0.52863,0.569,0.51934,0.55769,-0.03,42.35
2018-06-15,25702497.7,0.55765,0.55927,0.52447,0.53258,-0.04,37.85
2018-06-16,26240580.6,0.53224,0.5385,0.51733,0.53275,-0.04,34.07
2018-06-17,33461820.8,0.53232,0.5437,0.51999,0.52617,-0.04,23.06
2018-06-18,33893328.6,0.52669,0.5535,0.50818,0.5387,-0.04,29.35
2018-06-19,28857265.3,0.53835,0.56185,0.5207,0.54834,-0.04,26.77
2018-06-20,34683099.0,0.54833,0.55188,0.52065,0.53916,-0.04,25.94
2018-06-21,29891909.8,0.53919,0.549,0.52899,0.53457,-0.04,24.61
2018-06-22,41843180.71,0.5342,0.53506,0.46859,0.48216,-0.04,21.09
2018-06-23,27230808.7,0.48287,0.49909,0.47333,0.49005,-0.04,23.99
2018-06-24,41451907.36,0.48963,0.51,0.43724,0.47331,-0.04,29.34
2018-06-25,31726495.2,0.47418,0.4992,0.47123,0.48125,-0.04,26.56
2018-06-26,17670678.0,0.48125,0.48241,0.4511,0.453,-0.05,28.36
2018-06-27,29671588.2,0.45218,0.47518,0.44787,0.4701,-0.05,37.12
2018-06-28,35784353.9,0.47042,0.47396,0.442,0.44575,-0.05,24.84
2018-06-29,37535516.8,0.4463,0.46124,0.42393,0.45321,-0.05,30.63
2018-06-30,37495051.8,0.45346,0.48318,0.45312,0.46796,-0.05,35.24
2018-07-01,31676174.1,0.46797,0.46989,0.45007,0.46222,-0.04,35.37
2018-07-02,39873781.8,0.46222,0.4954,0.452,0.4899,-0.04,39.56
2018-07-03,44333181.6,0.48913,0.52,0.47801,0.4844,-0.04,36.07
2018-07-04,26722886.3,0.48469,0.508,0.47941,0.49097,-0.03,39.38
2018-07-05,30689285.9,0.49155,0.50295,0.46887,0.4769,-0.03,37.81
2018-07-06,26805008.7,0.47772,0.48156,0.45747,0.47698,-0.03,48.59
2018-07-07,28584029.2,0.47644,0.488,0.46381,0.48494,-0.03,48.61
2018-07-08,31480979.3,0.4852,0.48798,0.4751,0.47915,-0.03,51.69
2018-07-09,26690553.6,0.47872,0.48201,0.47015,0.473,-0.02,47.59
2018-07-10,30651668.1,0.4728,0.47338,0.43866,0.44337,-0.03,47.21
2018-07-11,28635928.2,0.44247,0.45134,0.43957,0.44872,-0.03,43.36
2018-07-12,30380599.5,0.449,0.44932,0.4236,0.43675,-0.03,46.97
2018-07-13,33168644.3,0.43706,0.44509,0.43001,0.43754,-0.03,44.48
