date,volume,open,high,low,close,MACD,RSI
2020-08-07,36415.98,10.0,10.05,7.5,8.45,0.0,
2020-08-08,53715.44,8.41,11.21,8.18,10.47,0.16,
2020-08-09,132218.75,10.46,13.42,9.72,12.63,0.46,
2020-08-10,308050.15,12.64,17.39,10.09,16.86,1.02,
2020-08-11,122157.59,17.1,18.41,13.18,14.91,1.3,
2020-08-12,147512.25,14.8,17.95,12.47,17.15,1.68,
2020-08-13,80365.62,17.12,17.87,14.02,15.316,1.81,
2020-08-14,19900.77,15.247,15.87,14.36,15.068,1.87,
2020-08-15,39180.02,15.13,16.129,13.723,14.513,1.86,
2020-08-16,40685.03,14.64,16.617,14.1,15.659,1.91,
2020-08-17,30028.77,15.621,15.756,14.233,14.329,1.83,
2020-08-18,29714.89,14.401,15.13,12.061,12.881,1.63,
2020-08-19,98974.47,13.081,13.562,10.1,11.166,1.32,
2020-08-20,100804.51,11.331,12.596,10.322,12.16,1.14,
2020-08-21,53013.3,12.17,12.35,9.299,9.652,0.78,52.47
2020-08-22,44438.01,9.503,10.574,8.983,10.49,0.56,50.04
2020-08-23,29033.78,10.487,10.62,9.367,10.186,0.36,44.27
2020-08-24,40981.57,10.186,11.576,9.737,10.844,0.25,33.07
2020-08-25,42888.54,10.85,11.0,8.83,9.625,0.06,34.49
2020-08-26,25585.91,9.551,9.894,8.829,9.123,-0.13,23.77
2020-08-27,24846.86,9.25,9.35,7.85,8.391,-0.33,25.61
2020-08-28,27719.41,8.4,8.828,8.023,8.533,-0.47,26.81
2020-08-29,91661.7,8.43,9.289,8.37,8.94,-0.55,30.02
2020-08-30,25804.61,9.023,9.3,8.87,9.053,-0.59,24.42
2020-08-31,22084.69,9.116,9.486,8.458,8.62,-0.66,26.24
2020-09-01,47928.17,8.481,9.652,8.273,9.309,-0.64,34.13
2020-09-02,90716.93,9.211,9.39,6.819,7.652,-0.76,34.31
2020-09-03,185822.9,7.71,7.787,4.864,5.307,-1.02,22.69
2020-09-04,196622.7,5.376,6.544,4.865,5.999,-1.17,32.98
2020-09-05,148453.07,5.976,6.454,3.77,4.455,-1.39,23.62
2020-09-06,105155.48,4.445,5.21,3.829,4.877,-1.51,27.03
2020-09-07,65945.31,4.95,5.056,3.927,4.81,-1.6,22.48
2020-09-08,69736.07,4.928,5.304,4.109,4.615,-1.66,24.8
2020-09-09,101934.03,4.615,5.08,4.174,4.736,-1.68,27.05
2020-09-10,210190.77,4.76,5.346,4.745,4.934,-1.67,30.85
2020-09-11,65348.25,4.969,5.192,4.424,4.9,-1.64,29.63
2020-09-12,121521.82,4.889,5.151,4.559,5.017,-1.58,27.26
2020-09-13,165633.53,5.002,5.55,4.755,5.076,-1.52,26.81
2020-09-14,69515.98,5.102,5.352,4.777,5.074,-1.45,28.22
