date,volume,open,high,low,close,MACD,RSI
2021-06-06,886857833.0,0.02671,0.08,0.02671,0.03314,0.0,
2021-06-07,360347830.0,0.03307,0.0335,0.027,0.02721,-0.0,
2021-06-08,579416225.0,0.02716,0.0329,0.02418,0.03011,-0.0,
2021-06-09,750331014.0,0.03006,0.03401,0.02918,0.03075,-0.0,
2021-06-10,314250840.0,0.03075,0.03235,0.02822,0.02987,-0.0,
2021-06-11,160119626.0,0.0297,0.03015,0.0265,0.02737,-0.0,
2021-06-12,116695603.0,0.02737,0.02761,0.02469,0.02566,-0.0,
2021-06-13,316229651.0,0.02566,0.0309,0.02525,0.03,-0.0,
2021-06-14,230624465.0,0.02998,0.031,0.0288,0.02934,-0.0,
2021-06-15,205069786.0,0.02933,0.02985,0.02823,0.0285,-0.0,
2021-06-16,210807363.0,0.02851,0.02956,0.02678,0.02804,-0.0,
2021-06-17,125830964.0,0.02805,0.02941,0.02666,0.02759,-0.0,
2021-06-18,152679745.0,0.02757,0.02866,0.0244,0.02524,-0.0,
2021-06-19,99233364.0,0.02522,0.02599,0.024,0.02423,-0.0,
2021-06-20,532113712.0,0.02423,0.02824,0.02203,0.02751,-0.0,39.93
2021-06-21,666334316.0,0.02751,0.02815,0.02187,0.0223,-0.0,40.98
2021-06-22,486285878.0,0.02234,0.02388,0.01755,0.02095,-0.0,32.17
2021-06-23,249253953.0,0.02088,0.024,0.0203,0.02195,-0.0,33.1
2021-06-24,177920275.0,0.02196,0.0236,0.02088,0.02259,-0.0,35.89
2021-06-25,161794933.0,0.02256,0.0232,0.01987,0.02023,-0.0,36.09
2021-06-26,154199959.0,0.0202,0.02102,0.01865,0.02076,-0.0,39.99
2021-06-27,222462438.0,0.0208,0.02235,0.02024,0.02187,-0.0,30.87
2021-06-28,199688303.0,0.02183,0.02315,0.02113,0.02197,-0.0,32.19
2021-06-29,256294212.0,0.022,0.02437,0.02171,0.02286,-0.0,36.4
2021-06-30,147953969.0,0.02275,0.02318,0.02158,0.02305,-0.0,37.81
2021-07-01,110273274.0,0.02305,0.02311,0.02084,0.0217,-0.0,36.22
2021-07-02,187236861.0,0.02177,0.024,0.02101,0.0231,-0.0,44.76
2021-07-03,185799287.0,0.02311,0.02433,0.02276,0.02362,-0.0,48.47
2021-07-04,140072684.0,0.02369,0.02432,0.02282,0.02358,-0.0,38.23
