date,volume,open,high,low,close,MACD,RSI
2020-04-07,28094.018,3.554,6.0,3.5,3.548,0.0,
2020-04-08,47693.424,3.548,3.702,3.498,3.676,0.01,
2020-04-09,63658.858,3.673,4.015,3.648,3.967,0.04,
2020-04-10,57621.236,3.965,3.981,3.326,3.456,0.02,
2020-04-11,19377.505,3.457,3.482,3.341,3.401,0.01,
2020-04-12,30656.183,3.403,3.526,3.331,3.405,-0.01,
2020-04-13,29529.735,3.405,3.416,3.219,3.306,-0.03,
2020-04-14,33526.0,3.306,3.43,3.273,3.368,-0.04,
2020-04-15,30999.076,3.363,3.408,3.25,3.284,-0.05,
2020-04-16,52145.591,3.282,3.584,3.137,3.565,-0.04,
2020-04-17,30113.315,3.566,3.573,3.429,3.518,-0.03,
2020-04-18,38453.448,3.514,3.767,3.51,3.718,-0.01,
2020-04-19,216701.152,3.721,4.879,3.651,4.095,0.04,
2020-04-20,191606.751,4.096,4.5,3.858,3.898,0.06,
2020-04-21,110067.392,3.894,4.399,3.66,4.059,0.09,60.23
2020-04-22,55840.714,4.059,4.109,3.974,4.008,0.1,56.86
2020-04-23,87782.247,4.022,4.234,3.875,4.051,0.12,51.93
2020-04-24,55158.696,4.051,4.125,3.971,4.015,0.13,66.47
2020-04-25,51567.991,4.015,4.169,3.983,4.128,0.14,70.71
2020-04-26,50782.609,4.127,4.145,3.991,4.049,0.14,67.6
2020-04-27,36223.661,4.049,4.07,3.901,3.961,0.14,68.0
2020-04-28,36995.923,3.963,3.965,3.876,3.923,0.13,65.46
2020-04-29,97931.914,3.924,4.2,3.92,4.104,0.13,71.67
2020-04-30,88055.525,4.107,4.3,3.9,4.003,0.13,62.79
2020-05-01,108548.07,4.003,4.5,4.003,4.323,0.15,70.28
2020-05-02,131591.829,4.321,4.7,4.25,4.325,0.16,66.98
2020-05-03,64138.162,4.325,4.365,4.102,4.154,0.16,51.87
2020-05-04,36428.411,4.154,4.178,4.02,4.141,0.15,58.7
2020-05-05,28995.818,4.143,4.241,4.047,4.115,0.14,52.22
2020-05-06,32753.426,4.114,4.137,3.999,4.013,0.13,50.19
2020-05-07,49947.843,4.012,4.21,3.941,4.167,0.12,54.07
2020-05-08,57389.002,4.168,4.202,3.96,4.14,0.12,54.42
2020-05-09,61486.53,4.142,4.359,4.086,4.197,0.12,52.54
2020-05-10,74623.712,4.202,4.213,3.613,3.786,0.08,42.22
2020-05-11,112425.594,3.782,4.088,3.652,3.856,0.06,46.86
2020-05-12,59525.156,3.856,4.039,3.831,4.013,0.05,52.51
2020-05-13,45502.322,4.009,4.157,4.008,4.09,0.06,49.59
2020-05-14,43849.477,4.096,4.11,3.997,4.051,0.05,51.48
2020-05-15,39729.22,4.05,4.064,3.899,3.973,0.04,37.36
2020-05-16,28224.445,3.974,4.044,3.944,3.993,0.04,38.16
2020-05-17,37979.312,3.99,4.245,3.981,4.143,0.04,49.6
2020-05-18,71493.044,4.147,4.55,4.147,4.283,0.06,54.71
2020-05-19,48161.199,4.277,4.433,4.178,4.414,0.08,59.27
2020-05-20,45388.996,4.422,4.482,4.193,4.349,0.09,60.66
2020-05-21,41065.462,4.348,4.413,4.006,4.099,0.08,47.97
2020-05-22,52782.019,4.094,4.519,4.082,4.516,0.1,59.12
2020-05-23,46897.606,4.505,4.683,4.412,4.517,0.12,57.98
2020-05-24,55767.277,4.515,4.593,4.05,4.204,0.11,60.95
2020-05-25,98581.436,4.199,5.018,4.159,4.855,0.15,70.07
2020-05-26,63547.906,4.846,4.858,4.405,4.599,0.16,61.32
2020-05-27,48818.612,4.596,4.664,4.448,4.522,0.16,58.35
2020-05-28,50840.833,4.519,4.628,4.477,4.554,0.16,59.74
2020-05-29,49877.096,4.554,4.708,4.521,4.67,0.17,63.31
2020-05-30,65889.291,4.671,4.98,4.632,4.935,0.19,66.45
2020-05-31,54358.765,4.94,5.17,4.785,4.793,0.2,61.38
2020-06-01,39121.361,4.787,5.048,4.748,4.975,0.21,61.94
2020-06-02,59368.251,4.974,5.06,4.612,4.8,0.21,56.56
2020-06-03,42090.901,4.796,4.823,4.699,4.742,0.2,56.7
2020-06-04,51311.592,4.744,4.848,4.725,4.776,0.2,62.45
2020-06-05,40057.118,4.779,4.964,4.773,4.883,0.2,57.62
2020-06-06,26051.502,4.883,4.914,4.79,4.83,0.19,56.36
2020-06-07,34409.823,4.828,4.828,4.6,4.742,0.18,62.03
2020-06-08,24234.278,4.73,4.744,4.646,4.719,0.16,45.77
2020-06-09,25275.2,4.725,4.752,4.596,4.627,0.14,50.97
2020-06-10,47392.02,4.626,4.875,4.6,4.783,0.14,58.57
2020-06-11,50534.642,4.783,4.9,4.388,4.439,0.1,46.87
2020-06-12,21241.976,4.434,4.573,4.393,4.533,0.08,46.22
2020-06-13,31999.702,4.535,4.79,4.493,4.779,0.09,45.65
2020-06-14,39687.307,4.78,4.83,4.465,4.551,0.07,43.56
2020-06-15,53804.957,4.55,4.557,4.261,4.535,0.05,37.16
2020-06-16,26117.493,4.535,4.584,4.504,4.567,0.05,42.58
2020-06-17,28447.768,4.567,4.647,4.433,4.51,0.03,42.61
2020-06-18,35414.282,4.508,4.572,4.46,4.541,0.02,42.5
2020-06-19,52716.4,4.541,4.597,4.295,4.432,0.01,35.63
2020-06-20,21463.499,4.428,4.484,4.343,4.403,-0.01,36.18
2020-06-21,14346.951,4.396,4.453,4.37,4.412,-0.02,38.74
2020-06-22,81731.355,4.412,4.7,4.386,4.611,-0.01,46.71
2020-06-23,83021.76,4.612,4.972,4.495,4.738,0.01,53.31
2020-06-24,54357.728,4.742,4.937,4.448,4.503,0.0,42.03
2020-06-25,29999.064,4.503,4.673,4.331,4.654,0.01,56.88
2020-06-26,21328.039,4.654,4.663,4.481,4.51,0.0,49.29
2020-06-27,12456.028,4.512,4.53,4.208,4.263,-0.02,34.01
2020-06-28,16938.468,4.243,4.306,4.125,4.271,-0.04,39.96
2020-06-29,11569.041,4.262,4.292,4.122,4.276,-0.05,40.64
2020-06-30,10508.149,4.245,4.28,4.19,4.238,-0.06,38.16
2020-07-01,8043.781,4.216,4.271,4.196,4.254,-0.07,40.5
2020-07-02,27720.537,4.251,4.365,4.116,4.19,-0.08,37.29
2020-07-03,11624.225,4.205,4.313,4.17,4.176,-0.09,40.05
2020-07-04,18208.114,4.176,4.24,4.119,4.216,-0.09,42.79
2020-07-05,10171.212,4.216,4.222,4.114,4.129,-0.1,39.71
2020-07-06,43262.246,4.142,4.33,4.121,4.33,-0.09,39.8
2020-07-07,55052.652,4.33,4.499,4.316,4.407,-0.08,37.53
2020-07-08,61808.395,4.407,4.77,4.39,4.712,-0.04,57.48
2020-07-09,80900.601,4.712,5.019,4.62,4.939,0.01,59.67
2020-07-10,415142.485,4.928,9.22,4.783,5.536,0.1,76.64
2020-07-11,137438.224,5.549,5.896,5.273,5.404,0.15,81.5
2020-07-12,67979.318,5.402,5.426,5.072,5.276,0.18,76.02
2020-07-13,144333.746,5.275,5.841,5.246,5.664,0.24,79.99
2020-07-14,57184.993,5.664,5.664,5.244,5.52,0.26,76.49
2020-07-15,61638.734,5.51,5.556,5.275,5.416,0.27,73.17
2020-07-16,89296.399,5.416,5.51,4.95,5.149,0.26,67.69
2020-07-17,43101.065,5.148,5.439,5.046,5.26,0.25,69.3
2020-07-18,30690.052,5.26,5.35,5.213,5.248,0.24,68.56
2020-07-19,50590.656,5.224,5.268,5.01,5.166,0.22,68.68
2020-07-20,96969.916,5.169,6.47,5.144,5.337,0.22,68.34
2020-07-21,120973.213,5.336,6.025,5.2,5.96,0.27,73.59
2020-07-22,82135.327,5.988,6.188,5.756,5.926,0.3,70.1
2020-07-23,75174.945,5.926,6.289,5.82,6.031,0.33,68.84
2020-07-24,48740.141,6.029,6.031,5.792,5.86,0.33,56.55
2020-07-25,43295.922,5.876,5.984,5.8,5.831,0.33,59.01
2020-07-26,86307.026,5.84,6.099,5.666,5.692,0.31,58.74
2020-07-27,120349.484,5.692,5.833,5.3,5.62,0.29,48.93
2020-07-28,58792.652,5.648,5.751,5.475,5.575,0.27,51.4
2020-07-29,48657.113,5.573,5.71,5.49,5.582,0.24,54.44
2020-07-30,35034.013,5.582,5.694,5.47,5.548,0.22,62.2
2020-07-31,29833.552,5.533,5.65,5.465,5.635,0.21,61.64
2020-08-01,262016.639,5.648,6.909,5.598,6.792,0.29,78.01
2020-08-02,225799.44,6.792,7.433,5.661,6.302,0.31,67.95
2020-08-03,89107.628,6.285,6.768,6.151,6.516,0.34,68.38
2020-08-04,72208.297,6.549,6.725,6.269,6.454,0.35,59.33
2020-08-05,87351.271,6.478,6.94,6.435,6.829,0.39,65.12
2020-08-06,132911.889,6.849,7.73,6.741,7.357,0.46,69.44
2020-08-07,102985.601,7.309,7.78,6.723,7.077,0.48,67.29
2020-08-08,194438.087,7.046,8.269,7.013,8.269,0.59,76.04
2020-08-09,120111.284,8.264,8.296,7.492,7.613,0.62,68.47
2020-08-10,181562.512,7.609,7.652,7.326,7.409,0.61,66.78
2020-08-11,172525.076,7.409,7.465,6.506,6.812,0.56,60.51
2020-08-12,105299.634,6.838,7.206,6.459,7.127,0.53,62.48
2020-08-13,118677.448,7.128,7.549,6.85,7.549,0.54,65.21
2020-08-14,88142.145,7.549,7.636,6.964,7.121,0.5,60.74
2020-08-15,112133.948,7.121,7.142,6.6,6.847,0.45,50.46
2020-08-16,78646.536,6.847,7.031,6.7,6.868,0.4,55.08
2020-08-17,109595.08,6.868,7.015,6.752,6.868,0.36,53.29
2020-08-18,80944.325,6.87,7.137,6.631,6.767,0.32,52.9
2020-08-19,101914.368,6.769,6.87,6.163,6.51,0.26,46.98
2020-08-20,54106.493,6.51,6.841,6.16,6.798,0.23,44.45
2020-08-21,128461.869,6.798,7.202,6.55,6.622,0.2,45.39
2020-08-22,102781.293,6.622,7.15,6.347,6.984,0.19,34.33
2020-08-23,68864.449,6.961,7.199,6.62,6.7,0.17,37.76
2020-08-24,88190.962,6.675,6.806,6.549,6.623,0.14,39.09
2020-08-25,75812.34,6.621,6.649,6.005,6.216,0.08,41.27
2020-08-26,45862.459,6.19,6.422,6.085,6.312,0.04,37.24
2020-08-27,64228.725,6.301,6.323,5.73,5.968,-0.01,24.62
2020-08-28,41522.297,5.94,6.284,5.838,6.148,-0.04,33.03
2020-08-29,54035.012,6.148,6.387,6.074,6.369,-0.05,41.51
2020-08-30,67475.265,6.36,6.732,6.305,6.542,-0.04,44.5
2020-08-31,56871.882,6.558,6.618,6.28,6.314,-0.05,41.33
2020-09-01,77599.516,6.31,6.72,6.213,6.263,-0.06,41.98
2020-09-02,108175.128,6.26,6.4,4.31,5.835,-0.1,39.82
2020-09-03,127399.159,5.836,5.88,4.32,4.498,-0.24,23.65
2020-09-04,133039.49,4.517,4.82,4.32,4.677,-0.33,27.73
2020-09-05,126174.938,4.677,5.683,3.953,4.39,-0.42,19.78
2020-09-06,83431.655,4.385,4.787,4.17,4.556,-0.48,24.32
2020-09-07,146672.215,4.534,4.958,4.114,4.775,-0.5,28.59
2020-09-08,167070.469,4.781,5.0,4.51,4.854,-0.5,32.92
2020-09-09,113683.197,4.846,5.1,4.602,4.822,-0.5,31.01
2020-09-10,197558.56,4.843,5.429,4.843,5.289,-0.45,41.61
2020-09-11,98722.306,5.306,5.384,4.84,5.289,-0.42,38.89
2020-09-12,68992.603,5.291,5.355,5.065,5.32,-0.38,35.74
2020-09-13,127247.918,5.307,5.321,4.74,4.942,-0.37,29.39
2020-09-14,82070.29,4.955,5.149,4.828,4.9,-0.37,30.87
2020-09-15,77912.944,4.905,5.0,4.531,4.56,-0.39,28.63
2020-09-16,70695.614,4.547,4.745,4.264,4.574,-0.4,32.34
2020-09-17,44378.203,4.571,4.758,4.507,4.606,-0.4,52.38
2020-09-18,46931.198,4.611,4.66,4.359,4.422,-0.41,44.39
2020-09-19,43496.354,4.414,4.46,4.274,4.304,-0.42,47.95
2020-09-20,35543.846,4.304,4.337,4.192,4.29,-0.43,43.18
2020-09-21,97369.019,4.278,4.396,3.701,3.861,-0.46,28.84
2020-09-22,34477.393,3.856,4.149,3.813,4.037,-0.47,31.9
2020-09-23,47134.205,4.022,4.127,3.684,3.733,-0.5,28.47
2020-09-24,40979.537,3.749,4.002,3.713,4.001,-0.49,22.36
2020-09-25,66301.943,4.005,4.222,3.851,4.183,-0.46,27.99
2020-09-26,27260.045,4.173,4.185,4.039,4.085,-0.45,26.06
2020-09-27,22034.177,4.087,4.15,3.935,3.979,-0.43,29.13
2020-09-28,38318.067,3.99,4.05,3.84,3.854,-0.43,28.12
2020-09-29,37107.638,3.848,3.941,3.8,3.941,-0.42,35.52
2020-09-30,61195.409,3.946,4.133,3.84,4.016,-0.39,37.31
2020-10-01,125598.234,4.023,4.209,3.776,3.912,-0.38,34.71
2020-10-02,57396.477,3.903,4.004,3.664,3.756,-0.38,35.15
2020-10-03,15578.295,3.756,3.834,3.712,3.775,-0.37,37.66
2020-10-04,13637.801,3.775,3.848,3.761,3.826,-0.36,39.36
2020-10-05,29283.724,3.839,4.01,3.83,3.928,-0.33,51.81
2020-10-06,29980.344,3.929,3.966,3.661,3.681,-0.33,40.75
2020-10-07,34680.393,3.682,3.682,3.477,3.633,-0.33,47.0
2020-10-08,28642.98,3.639,3.731,3.515,3.637,-0.32,37.04
2020-10-09,24127.42,3.659,3.799,3.63,3.755,-0.31,34.03
2020-10-10,43277.004,3.755,3.843,3.705,3.788,-0.29,38.35
2020-10-11,57855.284,3.773,4.066,3.751,4.008,-0.25,51.04
2020-10-12,223833.458,4.01,4.7,3.965,4.283,-0.2,63.94
2020-10-13,240054.289,4.278,5.165,4.178,4.267,-0.15,61.1
2020-10-14,63498.09,4.26,4.33,3.958,4.029,-0.14,50.4
2020-10-15,45710.011,4.008,4.159,3.907,4.018,-0.12,53.45
2020-10-16,41478.593,3.991,4.039,3.749,3.889,-0.12,54.4
2020-10-17,17138.033,3.862,3.95,3.832,3.888,-0.12,53.78
2020-10-18,22253.511,3.888,4.0,3.873,3.974,-0.11,54.84
2020-10-19,29802.107,3.973,3.975,3.821,3.881,-0.11,48.45
2020-10-20,48810.755,3.88,3.985,3.704,3.717,-0.12,51.25
2020-10-21,55999.378,3.717,4.0,3.697,3.769,-0.12,54.72
