date,volume,open,high,low,close,MACD,RSI
2020-10-21,31170.56,10.0,11.0,8.612,10.825,0.0,
2020-10-22,13810.67,10.675,10.86,8.987,10.177,-0.05,
2020-10-23,9311.45,10.161,10.161,8.089,8.406,-0.23,
2020-10-24,21903.58,8.565,8.666,7.312,8.065,-0.4,
2020-10-25,9022.87,8.109,9.007,7.983,8.75,-0.47,
2020-10-26,15120.59,9.007,10.337,8.559,9.737,-0.44,
2020-10-27,8748.22,9.471,10.165,9.007,10.165,-0.38,
2020-10-28,40145.45,9.996,12.145,9.711,11.099,-0.25,
2020-10-29,42024.35,11.247,15.323,10.497,14.7,0.14,
2020-10-30,158724.07,14.524,17.835,11.1,13.166,0.32,
2020-10-31,77544.04,13.37,15.296,12.37,14.644,0.57,
2020-11-01,62315.65,14.732,15.906,13.41,14.2,0.73,
2020-11-02,70477.45,14.2,16.03,12.889,15.921,0.99,
2020-11-03,72618.03,16.033,18.475,15.377,18.16,1.35,
2020-11-04,162649.66,18.2,23.5,16.622,22.029,1.93,77.09
2020-11-05,346710.73,21.94,28.107,14.296,19.85,2.19,71.78
2020-11-06,545065.06,19.842,20.342,8.3,8.503,1.46,50.15
2020-11-07,5396077.53,8.5,8.569,1.876,3.704,0.49,43.98
2020-11-08,3182565.66,3.744,4.342,2.751,3.014,-0.33,42.09
2020-11-09,2771206.81,2.996,3.551,2.77,3.077,-0.96,40.57
2020-11-10,7260413.04,3.045,3.19,1.745,1.922,-1.54,38.57
2020-11-11,6712204.94,1.921,2.331,1.655,2.09,-1.96,37.23
2020-11-12,4839048.21,2.071,2.618,1.888,2.419,-2.24,30.82
2020-11-13,4238900.44,2.425,2.515,1.575,1.68,-2.5,31.6
2020-11-14,3419833.2,1.684,2.078,1.672,1.825,-2.66,28.55
2020-11-15,4391656.69,1.829,1.89,1.551,1.712,-2.76,28.87
2020-11-16,4344800.0,1.715,1.8,1.411,1.486,-2.83,24.28
2020-11-17,10268489.59,1.488,1.519,0.71,0.795,-2.9,17.25
2020-11-18,23053029.37,0.791,1.055,0.638,0.682,-2.94,3.1
2020-11-19,27860477.18,0.681,0.751,0.476,0.549,-2.94,3.4
2020-11-20,25297926.93,0.551,0.645,0.463,0.603,-2.91,8.06
2020-11-21,25145991.62,0.604,0.768,0.548,0.715,-2.84,18.41
2020-11-22,42082153.73,0.714,0.92,0.49,0.623,-2.76,21.07
2020-11-23,31737108.71,0.623,0.69,0.528,0.58,-2.67,19.65
2020-11-24,25095800.73,0.58,0.709,0.517,0.604,-2.57,27.9
2020-11-25,14404683.77,0.606,0.849,0.599,0.782,-2.44,28.14
2020-11-26,23326230.57,0.782,1.125,0.623,0.623,-2.33,18.18
2020-11-27,27234440.22,0.622,0.622,0.47,0.534,-2.23,23.62
2020-11-28,10698435.58,0.533,0.573,0.491,0.541,-2.12,18.44
2020-11-29,9857587.46,0.541,0.562,0.469,0.484,-2.01,18.96
2020-11-30,23678366.12,0.485,0.485,0.377,0.395,-1.91,20.37
2020-12-01,31051280.52,0.394,0.442,0.324,0.397,-1.81,32.73
2020-12-02,34891964.79,0.396,0.41,0.258,0.279,-1.72,32.58
2020-12-03,26886474.48,0.279,0.313,0.264,0.285,-1.63,37.18
2020-12-04,26619132.61,0.284,0.378,0.263,0.367,-1.54,38.85
2020-12-05,19242338.96,0.369,0.376,0.275,0.283,-1.45,29.03
2020-12-06,12594413.13,0.284,0.322,0.279,0.297,-1.37,32.88
2020-12-07,8544101.46,0.297,0.32,0.281,0.304,-1.28,34.93
2020-12-08,21447610.59,0.304,0.409,0.301,0.392,-1.2,39.18
2020-12-09,22088979.64,0.393,0.458,0.363,0.382,-1.12,25.37
2020-12-10,18509050.84,0.384,0.447,0.373,0.442,-1.04,37.31
2020-12-11,25302481.9,0.44,0.529,0.429,0.462,-0.96,44.41
2020-12-12,19552983.67,0.463,0.466,0.368,0.385,-0.9,39.08
2020-12-13,13083212.33,0.385,0.386,0.332,0.352,-0.84,40.43
2020-12-14,10828748.16,0.354,0.394,0.354,0.369,-0.78,47.9
2020-12-15,8735582.25,0.367,0.408,0.348,0.4,-0.72,50.23
2020-12-16,24903042.19,0.401,0.42,0.308,0.332,-0.68,54.44
2020-12-17,19510033.66,0.332,0.353,0.3,0.339,-0.63,54.52
2020-12-18,20945372.41,0.339,0.36,0.28,0.301,-0.59,44.04
2020-12-19,7674202.41,0.3,0.315,0.278,0.307,-0.56,52.52
2020-12-20,8824215.21,0.309,0.364,0.309,0.343,-0.52,54.62
2020-12-21,14121903.39,0.345,0.393,0.316,0.379,-0.48,57.12
2020-12-22,16680206.56,0.379,0.449,0.357,0.365,-0.44,47.02
2020-12-23,36122715.95,0.366,0.6,0.349,0.49,-0.4,59.51
2020-12-24,31764746.23,0.492,0.523,0.348,0.348,-0.37,42.77
2020-12-25,15906756.54,0.348,0.388,0.314,0.356,-0.35,41.69
2020-12-26,12235528.27,0.357,0.42,0.344,0.392,-0.32,50.59
2020-12-27,21929173.28,0.393,0.432,0.297,0.374,-0.3,51.89
2020-12-28,15215680.15,0.373,0.387,0.317,0.374,-0.28,50.44
2020-12-29,8447548.12,0.374,0.443,0.359,0.404,-0.25,50.35
2020-12-30,5301842.3,0.403,0.432,0.38,0.417,-0.23,58.35
2020-12-31,6051819.0,0.416,0.441,0.348,0.38,-0.22,53.8
2021-01-01,3274017.12,0.378,0.426,0.352,0.414,-0.2,60.56
2021-01-02,2844126.04,0.414,0.437,0.392,0.431,-0.18,61.36
