date,volume,open,high,low,close,MACD,RSI
2020-09-01,33455.409457,3088.0,9865.0,3088.0,8549.64,0.0,
2020-09-02,22200.048934,8549.0,8550.0,6215.55,7325.0,-97.69,
2020-09-03,16346.072067,7339.34,7377.52,4416.37,4888.0,-367.52,
2020-09-04,15808.154439,4861.96,5482.75,3816.38,4296.7,-621.91,
2020-09-05,23181.067102,4296.58,5590.0,3270.0,3765.0,-856.54,
2020-09-06,18439.270491,3756.35,4241.37,2811.01,3871.57,-1022.11,
2020-09-07,10417.07649,3871.57,4050.0,3111.0,3703.0,-1153.63,
2020-09-08,6515.292049,3705.17,3749.0,3111.27,3214.0,-1282.53,
2020-09-09,12206.87733,3214.87,3746.27,2855.01,3563.55,-1341.02,
2020-09-10,14983.674821,3565.92,4241.36,3500.0,3959.22,-1340.0,
2020-09-11,16803.921566,3952.31,4949.0,3655.3,4925.0,-1246.89,
2020-09-12,41210.537927,4925.0,6930.0,4555.01,6471.59,-1036.36,
2020-09-13,25317.336598,6471.58,6512.51,4900.0,5539.56,-933.95,
2020-09-14,27140.065639,5539.55,6550.0,5028.0,5769.46,-824.73,
2020-09-15,17076.192126,5771.81,6123.0,4832.0,4914.75,-797.94,33.21
2020-09-16,16516.678548,4921.56,5225.26,4280.01,4659.16,-788.25,36.47
2020-09-17,12250.815921,4648.55,5187.31,4062.0,4345.64,-796.69,46.49
2020-09-18,12062.820322,4345.44,4655.17,3826.4,4110.44,-812.98,48.74
2020-09-19,8387.196087,4107.12,4110.67,3700.0,3911.68,-832.33,51.04
2020-09-20,12198.872464,3911.67,4287.68,3271.8,3538.79,-867.76,47.72
2020-09-21,12726.045071,3540.27,3624.58,2863.0,3066.43,-923.31,45.82
2020-09-22,7768.117516,3062.63,3350.0,2960.45,3166.0,-948.36,49.67
2020-09-23,9277.950196,3168.45,3330.0,2881.22,2893.0,-978.96,45.31
2020-09-24,7469.693952,2893.0,3247.92,2820.0,3245.0,-963.7,44.97
2020-09-25,8204.554061,3247.62,3486.03,3000.0,3344.88,-932.79,37.33
2020-09-26,11717.061718,3347.14,3899.0,3224.81,3800.56,-861.6,24.04
2020-09-27,12615.65896,3801.74,4090.0,3350.0,3536.78,-817.04,27.63
2020-09-28,7285.284075,3550.0,3676.79,3205.0,3243.22,-796.24,22.18
2020-09-29,6070.960793,3245.61,3317.01,3000.0,3142.09,-778.93,26.59
2020-09-30,4439.35789,3146.58,3151.0,2995.5,3087.19,-760.88,28.08
2020-10-01,6216.601187,3093.28,3260.0,2820.0,3041.1,-741.74,30.35
2020-10-02,8218.57941,3043.0,3055.66,2444.0,2612.65,-752.47,28.68
2020-10-03,5625.203757,2612.98,2655.0,2172.94,2198.49,-785.34,27.02
2020-10-04,12135.200328,2200.92,2274.4,1863.95,2135.77,-807.14,29.47
2020-10-05,9757.708471,2135.76,2159.98,1866.0,1945.67,-830.2,32.13
2020-10-06,11969.030377,1947.36,1986.0,1500.1,1559.94,-869.56,26.53
2020-10-07,21623.294558,1558.55,1559.64,1169.33,1415.0,-902.06,27.56
2020-10-08,30590.747922,1415.0,2050.0,1217.0,1904.0,-878.24,30.45
2020-10-09,45620.025629,1900.5,2585.0,1716.08,2395.01,-810.39,37.57
2020-10-10,27684.838047,2395.47,2550.0,1940.0,2010.0,-778.71,26.13
2020-10-11,26002.240293,2010.98,2335.0,1915.0,2192.94,-730.43,31.69
2020-10-12,23348.900368,2190.7,2548.41,2103.41,2359.9,-670.95,37.53
2020-10-13,17320.239826,2356.79,2480.0,2200.0,2294.17,-621.95,37.91
2020-10-14,14513.783391,2294.76,2367.39,1995.0,2150.12,-587.97,36.97
2020-10-15,14626.12645,2151.24,2256.0,2000.0,2153.99,-554.33,37.52
2020-10-16,12660.486424,2153.97,2153.97,1820.92,1883.58,-543.23,39.27
2020-10-17,9728.724512,1883.57,1959.7,1792.13,1909.15,-526.31,45.19
